rot_vec,mtk,2026-06-10_23-18-08.487_Active 10 Pro
imuTimestamp,accuracy(more=better),x*sin(a/2)[],y*sin(a/2)[],z*sin(a/2)[],cos(a/2)[],heading_accuracy[rad]
2013220297,3,0.062131,0.167652,0.979689,0.090783,0.0
2013220307,3,0.061849,0.168328,0.979971,0.086576,0.0
2013220317,3,0.06151,0.168396,0.979831,0.088254,0.0
2013220327,3,0.061872,0.169191,0.979558,0.089509,0.0
2013220337,3,0.061599,0.169196,0.979698,0.088146,0.0
2013220347,3,0.062514,0.168768,0.979968,0.085266,0.0
2013220357,3,0.061534,0.168216,0.980476,0.081128,0.0
2013220367,3,0.059857,0.169016,0.980986,0.074272,0.0
2013220377,3,0.060555,0.169227,0.980849,0.075026,0.0
2013220388,3,0.061819,0.170105,0.979616,0.087138,0.0
2013220398,3,0.060979,0.171152,0.979843,0.083037,0.0
2013220408,3,0.058429,0.172751,0.981012,0.066017,0.0
2013220418,3,0.058672,0.170234,0.98121,0.069304,0.0
2013220428,3,0.059623,0.167809,0.981046,0.076374,0.0
2013220438,3,0.059979,0.166681,0.980855,0.080889,0.0
2013220448,3,0.058355,0.166291,0.98119,0.078779,0.0
2013220458,3,0.058586,0.167875,0.980999,0.077617,0.0
2013220468,3,0.05307,0.167623,0.981096,0.080841,0.0
2013220478,3,0.047884,0.167365,0.981151,0.083886,0.0
2013220488,3,0.043198,0.167169,0.981181,0.086433,0.0
2013220498,3,0.039096,0.16706,0.981187,0.088508,0.0
2013220508,3,0.035414,0.167028,0.981177,0.09021,0.0
2013220519,3,0.032048,0.167044,0.981152,0.091704,0.0
2013220529,3,0.029023,0.167152,0.98111,0.092951,0.0
2013220539,3,0.02626,0.167365,0.981047,0.094049,0.0
2013220549,3,0.023617,0.167606,0.980968,0.095135,0.0
2013220559,3,0.021094,0.167909,0.980874,0.096156,0.0
2013220569,3,0.018703,0.168261,0.980777,0.097023,0.0
2013220579,3,0.016554,0.168552,0.980708,0.097607,0.0
2013220589,3,0.014573,0.168772,0.98066,0.09802,0.0
2013220599,3,0.01277,0.168981,0.980622,0.098295,0.0
2013220609,3,0.011043,0.1692,0.980581,0.09853,0.0
2013220619,3,0.009395,0.16935,0.98055,0.098752,0.0
2013220629,3,0.007884,0.169456,0.980528,0.09892,0.0
2013220639,3,0.006524,0.169544,0.980512,0.099034,0.0
2013220649,3,0.005277,0.169627,0.9805,0.099085,0.0
2013220660,3,0.004107,0.169687,0.980494,0.099099,0.0
2013220670,3,0.003071,0.169761,0.980495,0.098994,0.0
2013220680,3,0.00199,0.169856,0.980485,0.098957,0.0
2013220690,3,9.68E-4,0.16997,0.980471,0.098914,0.0
