timestamp_global[ms],timestampImu[ms],ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
252,2013444384,-0.0015125,0.0114124995,0.0196625,-0.38505003,4.6309505,8.86005,-4.93125,-34.275,-35.381252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,2013444394,-0.0037125,0.00935,0.021724999,-0.39900002,4.6210504,8.857051,-4.93125,-34.275,-35.381252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,2013444404,-0.0026125,0.00825,0.0248875,-0.38295,4.6260004,8.86005,-2.5125,-33.99375,-35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,2013444414,-0.0015125,0.00715,0.0270875,-0.37995002,4.638,8.85495,-2.5125,-33.99375,-35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,2013444424,0.00275,0.0028875,0.02915,-0.37500003,4.62405,8.862,-2.34375,-33.80625,-34.518753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,2013444434,0.009075,0.0028875,0.0281875,-0.37995002,4.6140003,8.853001,-2.34375,-33.80625,-34.518753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,2013444444,0.0176,0.0039875,0.0270875,-0.38700002,4.59705,8.817,-2.8500001,-34.256252,-33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,2013444454,0.0229625,0.0061875,0.0259875,-0.39000002,4.5810003,8.821051,-2.8500001,-34.256252,-33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,2013444464,0.026124999,0.01045,0.023924999,-0.37305,4.58505,8.818951,-3.91875,-33.99375,-33.506252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,2013444474,0.026124999,0.013612499,0.022824999,-0.39000002,4.605,8.818951,-3.91875,-33.99375,-33.506252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,2013444484,0.026124999,0.013612499,0.020624999,-0.402,4.617,8.830951,-2.5500002,-33.881252,-33.693752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,2013444494,0.026124999,0.0114124995,0.0196625,-0.39705002,4.6189504,8.84805,-2.5500002,-33.881252,-33.693752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,2013444504,0.028324999,0.00825,0.0185625,-0.402,4.617,8.829,-2.7375002,-33.975002,-33.693752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383,2013444515,0.029424999,0.00715,0.0163625,-0.39000002,4.59705,8.826,-2.7375002,-33.975002,-33.693752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,2013444525,0.0314875,0.00715,0.0143,-0.38505003,4.6069503,8.802,-3.91875,-34.275,-33.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,2013444535,0.034649998,0.00935,0.0121,-0.39495003,4.62405,8.781,-3.91875,-34.275,-33.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,2013444545,0.034649998,0.0125124995,0.0111375,-0.40395,4.6600504,8.72805,-4.125,-34.275,-33.506252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423,2013444555,0.03575,0.013612499,0.0132,-0.41400003,4.6909504,8.71905,-4.125,-34.275,-33.506252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433,2013444565,0.034649998,0.013612499,0.0163625,-0.39900002,4.71,8.68995,-5.2312503,-34.275,-33.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,2013444575,0.0303875,0.015675,0.0174625,-0.37500003,4.6740003,8.70405,-5.2312503,-34.275,-33.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,2013444585,0.0251625,0.014712499,0.0163625,-0.35595003,4.6260004,8.733001,-5.0437503,-34.59375,-32.98125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
463,2013444595,0.0229625,0.014712499,0.0100375,-0.36795002,4.6309505,8.71905,-5.0437503,-34.59375,-32.98125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,2013444605,0.0229625,0.014712499,0.006875,-0.37095,4.6480503,8.70705,-5.4375,-34.5,-33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483,2013444615,0.0209,0.018975,0.0015125,-0.39705002,4.64295,8.673,-5.4375,-34.5,-33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493,2013444625,0.0187,0.0232375,0.0015125,-0.40905002,4.66695,8.677951,-5.53125,-34.5,-32.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,2013444635,0.0155375,0.0264,0.0015125,-0.41805002,4.6810503,8.677951,-5.53125,-34.5,-32.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513,2013444645,0.0081124995,0.0264,0.004675,-0.423,4.6860003,8.710951,-5.5125003,-34.5,-32.831253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524,2013444656,5.5E-4,0.0232375,0.003575,-0.40695003,4.64295,8.7640505,-5.5125003,-34.5,-32.831253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
534,2013444666,-0.005775,0.0199375,0.003575,-0.39000002,4.59705,8.793,-5.5125003,-34.518753,-32.850002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,2013444676,-0.006875,0.016775,-6.875E-4,-0.39705002,4.59495,8.802,-5.5125003,-34.518753,-32.850002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554,2013444686,-0.005775,0.0125124995,-6.875E-4,-0.402,4.6000504,8.812051,-5.5125003,-34.537502,-32.831253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
564,2013444696,0.00165,0.00935,-6.875E-4,-0.41400003,4.59495,8.812051,-5.5125003,-34.537502,-32.831253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574,2013444706,0.0081124995,0.0039875,4.125E-4,-0.39705002,4.61205,8.7949505,-5.5125003,-34.55625,-32.831253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
584,2013444716,0.0166375,0.0050875,-6.875E-4,-0.39495003,4.6069503,8.74005,-5.5125003,-34.55625,-32.831253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594,2013444726,0.0229625,0.00715,-0.00165,-0.37305,4.59495,8.71395,-5.5125003,-34.575,-32.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604,2013444736,0.0251625,0.0114124995,-0.00385,-0.36600003,4.578,8.69505,-5.5125003,-34.575,-32.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,2013444746,0.0251625,0.018975,-0.00495,-0.36600003,4.6069503,8.677951,-5.5125003,-34.59375,-32.831253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
624,2013444756,0.0198,0.0253,-0.00165,-0.36795002,4.6069503,8.698951,-5.5125003,-34.59375,-32.831253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
634,2013444766,0.0155375,0.0264,-0.00385,-0.37800002,4.605,8.69205,-5.53125,-34.612503,-32.831253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
644,2013444776,0.0133375,0.0275,-0.00495,-0.41595003,4.62405,8.68995,-5.53125,-34.612503,-32.831253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655,2013444787,0.0070125,0.0264,-0.00385,-0.41595003,4.6090503,8.68995,-5.55,-34.631252,-32.850002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,2013444797,0.00165,0.0210375,-0.0070125,-0.41805002,4.6000504,8.685,-5.55,-34.631252,-32.850002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
675,2013444807,-0.004675,0.014712499,-0.011275,-0.411,4.6210504,8.71395,-5.5687504,-34.66875,-32.943752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
685,2013444817,-0.0111375,0.00935,-0.0166375,-0.41400003,4.6260004,8.68995,-5.5687504,-34.66875,-32.943752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
695,2013444827,-0.0165,0.0039875,-0.0187,-0.41805002,4.6480503,8.686951,-5.5875,-34.66875,-33.018753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
705,2013444837,-0.0207625,8.25E-4,-0.0198,-0.43500003,4.67205,8.665951,-5.5875,-34.66875,-33.018753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
715,2013444847,-0.0259875,-2.75E-4,-0.0187,-0.42105,4.6930504,8.677951,-5.625,-34.6875,-33.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
725,2013444857,-0.03025,-0.0045375,-0.0155375,-0.42600003,4.6980004,8.70705,-5.625,-34.6875,-33.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
735,2013444867,-0.0356125,-0.0119624995,-0.011275,-0.402,4.6930504,8.74005,-5.625,-34.706253,-33.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745,2013444877,-0.038775,-0.02255,-0.011275,-0.39000002,4.6740003,8.75895,-5.625,-34.706253,-33.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
755,2013444887,-0.042075,-0.02475,-0.011275,-0.38505003,4.68405,8.74995,-5.6625004,-34.725002,-33.206253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
765,2013444897,-0.0441375,-0.0204875,-0.010175,-0.37995002,4.662,8.73495,-5.6625004,-34.725002,-33.206253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
775,2013444907,-0.0441375,-0.013062499,-0.0092124995,-0.39195,4.66905,8.742001,-5.68125,-34.725002,-33.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
785,2013444917,-0.0441375,-0.0045375,-0.0070125,-0.41400003,4.69605,8.73795,-5.68125,-34.725002,-33.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
796,2013444928,-0.040975,0.001925,-0.00275,-0.43305,4.7080503,8.773951,-5.7000003,-34.74375,-33.318752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
806,2013444938,-0.0367125,0.0061875,4.125E-4,-0.42105,4.70505,8.809951,-5.7000003,-34.74375,-33.318752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
816,2013444948,-0.032449998,0.00715,0.0026125,-0.40905002,4.69995,8.841001,-5.7000003,-34.725002,-33.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826,2013444958,-0.0259875,0.00825,0.004675,-0.41595003,4.7119503,8.853001,-5.7000003,-34.725002,-33.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836,2013444968,-0.022824999,0.0039875,0.004675,-0.411,4.71495,8.87205,-5.7000003,-34.706253,-33.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846,2013444978,-0.0185625,-0.0023375,0.006875,-0.423,4.722,8.889001,-5.7000003,-34.706253,-33.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
856,2013444988,-0.0132,-0.0077,0.0111375,-0.43305,4.7320504,8.901,-5.6625004,-34.6875,-33.600002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
866,2013444998,-0.0089375,-0.014025,0.0111375,-0.42795002,4.72905,8.88405,-5.6625004,-34.6875,-33.600002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
876,2013445008,-0.0037125,-0.0182875,0.0121,-0.45405003,4.7389503,8.86005,-5.5875,-34.65,-33.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
886,2013445018,-4.125E-4,-0.0204875,0.0132,-0.46395,4.7320504,8.809951,-5.5875,-34.65,-33.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
896,2013445028,5.5E-4,-0.0204875,0.0143,-0.45000002,4.7200503,8.800051,-5.49375,-34.631252,-33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
906,2013445038,5.5E-4,-0.0215875,0.0111375,-0.44505003,4.72695,8.814,-5.49375,-34.631252,-33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
916,2013445048,-4.125E-4,-0.02365,0.0089375,-0.43995002,4.7200503,8.805,-5.49375,-34.631252,-34.050003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
926,2013445058,-0.0037125,-0.0279125,0.004675,-0.43995002,4.72695,8.806951,-5.49375,-34.631252,-34.050003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
937,2013445069,-0.006875,-0.031075,0.003575,-0.45195,4.71705,8.814,-5.49375,-34.59375,-34.18125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
