gravity,mtk,2026-06-10_23-21-52.699_Active 10 Pro
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
2013444454,3,0.319567,4.490811,8.706679
2013444464,3,0.369015,4.520732,8.694664
2013444474,3,0.383535,4.534809,8.686701
2013444484,3,0.394914,4.539541,8.68372
2013444494,3,0.390414,4.53518,8.686201
2013444504,3,0.39528,4.540429,8.683239
2013444515,3,0.384789,4.527761,8.690322
2013444525,3,0.380365,4.543389,8.682356
2013444535,3,0.389537,4.564706,8.670759
2013444545,3,0.400132,4.612402,8.644988
2013444555,3,0.409404,4.641175,8.62915
2013444565,3,0.397014,4.668067,8.615211
2013444575,3,0.373975,4.637968,8.632479
2013444585,3,0.354687,4.590269,8.658746
2013444595,3,0.36534,4.596774,8.65486
2013444605,3,0.368315,4.614199,8.645454
2013444615,3,0.352257,4.617254,8.644494
2013444625,3,0.351392,4.617373,8.644464
2013444635,3,0.349655,4.617604,8.644408
2013444645,3,0.347066,4.617903,8.644346
2013444656,3,0.343673,4.618178,8.644323
2013444666,3,0.339519,4.618356,8.644377
2013444676,3,0.334618,4.618428,8.644509
2013444686,3,0.328998,4.618399,8.644716
2013444696,3,0.322675,4.618301,8.644979
2013444706,3,0.315703,4.618181,8.645269
2013444716,3,0.30809,4.618095,8.645557
2013444726,3,0.299855,4.618072,8.645826
2013444736,3,0.290993,4.618115,8.646073
2013444746,3,0.281482,4.618251,8.646282
2013444756,3,0.271311,4.618445,8.646474
2013444766,3,0.260475,4.618679,8.646653
2013444776,3,0.24894,4.618958,8.646818
2013444787,3,0.236727,4.619243,8.64699
2013444797,3,0.223863,4.619504,8.647182
2013444807,3,0.209534,4.619831,8.647381
2013444817,3,0.195463,4.619984,8.647642
2013444827,3,0.18169,4.619954,8.647971
2013444837,3,0.168226,4.619757,8.648359
2013444847,3,0.155084,4.619426,8.648791
2013444857,3,0.14225,4.619029,8.649234
2013444867,3,0.129756,4.618598,8.649672
2013444877,3,0.117656,4.618108,8.650117
2013444887,3,0.105943,4.617555,8.650577
2013444897,3,0.094595,4.616891,8.651075
2013444907,3,0.083521,4.616072,8.651641
2013444917,3,0.07267,4.61507,8.652288
2013444928,3,0.061992,4.613867,8.653028
2013444938,3,0.051505,4.612464,8.653857
2013444948,3,0.041252,4.61084,8.654791
2013444958,3,0.031246,4.609063,8.65579
2013444968,3,0.021523,4.607162,8.656844
2013444978,3,0.012148,4.605149,8.657942
2013444988,3,0.003128,4.603094,8.659052
2013444998,3,-0.005521,4.601048,8.660147
2013445008,3,-0.013841,4.599076,8.661194
2013445018,3,-0.021846,4.597218,8.662172
2013445028,3,-0.02954,4.595479,8.66308
2013445038,3,-0.036919,4.593846,8.663925
2013445048,3,-0.044005,4.592322,8.664707
2013445058,3,-0.050816,4.590924,8.665419
2013445069,3,-0.057425,4.589664,8.66605
2013445079,3,-0.063881,4.588547,8.666604
2013445089,3,-0.070221,4.587556,8.667089
2013445099,3,-0.076455,4.586752,8.667468
2013445109,3,-0.082578,4.586141,8.667742
2013445119,3,-0.088544,4.585686,8.667929
2013445129,3,-0.094306,4.585353,8.668049
2013445139,3,-0.099844,4.585138,8.668104
2013445149,3,-0.105189,4.585086,8.668072
2013445159,3,-0.110355,4.585214,8.667942
2013445169,3,-0.115423,4.585551,8.667698
2013445179,3,-0.120436,4.586108,8.667336
2013445189,3,-0.125389,4.586852,8.666872
2013445200,3,-0.130246,4.587714,8.666345
2013445210,3,-0.134989,4.588647,8.665778
2013445220,3,-0.139629,4.589647,8.665174
2013445230,3,-0.1442,4.590713,8.664536
2013445240,3,-0.148708,4.591798,8.663884
2013445250,3,-0.153137,4.592858,8.663244
2013445260,3,-0.157454,4.593874,8.662629
2013445270,3,-0.161617,4.594851,8.662035
2013445280,3,-0.165626,4.595828,8.661443
2013445290,3,-0.169504,4.596854,8.660826
2013445300,3,-0.173333,4.597919,8.660189
2013445310,3,-0.177143,4.599007,8.659536
2013445320,3,-0.180951,4.600062,8.6589
2013445330,3,-0.184736,4.601033,8.658307
2013445341,3,-0.188458,4.601857,8.657792
2013445351,3,-0.192038,4.602439,8.657406
2013445361,3,-0.195397,4.602657,8.657217
2013445371,3,-0.198457,4.60242,8.657274
2013445381,3,-0.20123,4.601659,8.657614
2013445391,3,-0.203814,4.600342,8.658252
2013445401,3,-0.206342,4.598505,8.659163
2013445411,3,-0.208861,4.596125,8.66036
2013445421,3,-0.211403,4.593157,8.661863
2013445431,3,-0.213961,4.589572,8.663691
2013445441,3,-0.216542,4.585428,8.665807
2013445451,3,-0.219165,4.580797,8.668175
2013445461,3,-0.221814,4.575667,8.670798
2013445472,3,-0.224516,4.570062,8.673666
2013445482,3,-0.227305,4.563962,8.676786
2013445492,3,-0.230262,4.557138,8.680271
2013445502,3,-0.233321,4.549408,8.684217
2013445512,3,-0.236452,4.540585,8.688715
2013445522,3,-0.239664,4.530539,8.693827
2013445532,3,-0.243005,4.519112,8.69962
2013445542,3,-0.246516,4.506097,8.706191
2013445552,3,-0.25024,4.491214,8.713661
2013445562,3,-0.254198,4.474148,8.72217
2013445572,3,-0.258439,4.454494,8.731887
2013445582,3,-0.263064,4.431745,8.743018
2013445592,3,-0.268037,4.4054,8.755756
2013445602,3,-0.273278,4.374877,8.770316
2013445613,3,-0.278716,4.339576,8.786901
2013445623,3,-0.284259,4.298838,8.805706
2013445633,3,-0.289862,4.252063,8.826882
2013445643,3,-0.295517,4.198628,8.850556
2013445653,3,-0.301383,4.137905,8.876825
2013445663,3,-0.307942,4.069288,8.905722
2013445673,3,-0.315727,3.992065,8.937278
2013445683,3,-0.325294,3.905475,8.971491
2013445693,3,-0.337605,3.808989,9.008173
2013445703,3,-0.353388,3.701886,9.04714
2013445713,3,-0.372185,3.583738,9.088148
