linear_acc,mtk,2026-06-10_23-21-52.699_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_lin_x[m/s^2],acc_lin_y[m/s^2],acc_lin_z[m/s^2]
2013444464,3,0.179621,0.18212,-0.08083
2013444474,3,0.131183,0.160635,-0.064728
2013444484,3,0.095242,0.138276,-0.042528
2013444494,3,0.079577,0.112791,-0.020743
2013444504,3,0.060086,0.088445,-0.030959
2013444515,3,0.057199,0.055881,-0.027129
2013444525,3,0.049781,0.051599,-0.040283
2013444535,3,0.032546,0.054497,-0.049527
2013444545,3,0.018376,0.071816,-0.08093
2013444555,3,0.007039,0.082479,-0.073551
2013444565,3,0.016485,0.081626,-0.081315
2013444575,3,0.032086,0.038039,-0.054712
2013444585,3,0.041119,-0.007558,-0.021167
2013444595,3,0.024149,-0.003619,-0.027275
2013444605,3,0.017148,0.010193,-0.031462
2013444615,3,-0.006711,0.004898,-0.051412
2013444625,3,-0.005688,0.004557,-0.041002
2013444635,3,-0.005125,0.004667,-0.032674
2013444645,3,-0.004802,0.004883,-0.025117
2013444656,3,-0.004097,0.003906,-0.017667
2013444666,3,-0.003086,0.001912,-0.010942
2013444676,3,-0.002469,2.52E-4,-0.005305
2013444686,3,-0.002103,-9.46E-4,-5.41E-4
2013444696,3,-0.002129,-0.002034,0.003271
2013444706,3,-0.001703,-0.002457,0.005872
2013444716,3,-0.001298,-0.002923,0.006486
2013444726,3,-4.0E-4,-0.003615,0.006275
2013444736,3,5.09E-4,-0.004616,0.005595
2013444746,3,0.001237,-0.004651,0.004603
2013444756,3,0.001756,-0.004677,0.004384
2013444766,3,0.001915,-0.004764,0.004018
2013444776,3,0.001021,-0.004323,0.003661
2013444787,3,3.06E-4,-0.004351,0.003376
2013444797,3,-3.29E-4,-0.00463,0.00302
2013444807,3,-6.46E-4,-0.004279,0.0035
2013444817,3,-9.64E-4,-0.00387,0.003248
2013444827,3,-0.001345,-0.002969,0.002981
2013444837,3,-0.002098,-0.001608,0.002193
2013444847,3,-0.002317,5.3E-5,0.001882
2013444857,3,-0.002619,0.001511,0.002399
2013444867,3,-0.002223,0.00255,0.003705
2013444877,3,-0.001587,0.00287,0.005263
2013444887,3,-9.5E-4,0.003381,0.006254
2013444897,3,-3.13E-4,0.003216,0.006663
2013444907,3,-8.25E-4,0.003147,0.006288
2013444917,3,-0.001107,0.003921,0.006754
2013444928,3,-0.001524,0.004223,0.007957
2013444938,3,-0.001283,0.004017,0.009876
2013444948,3,-6.43E-4,0.003597,0.011349
2013444958,3,-7.7E-4,0.004729,0.011442
2013444968,3,-0.00119,0.006912,0.01126
2013444978,3,-0.001654,0.008913,0.011305
2013444988,3,-0.002153,0.010642,0.011407
2013444998,3,-0.002106,0.012089,0.011041
2013445008,3,-0.003217,0.013055,0.010556
2013445018,3,-0.004425,0.013764,0.010297
2013445028,3,-0.005583,0.014331,0.010536
2013445038,3,-0.006573,0.015423,0.011621
2013445048,3,-0.007238,0.015339,0.012681
2013445058,3,-0.007705,0.015463,0.013018
2013445069,3,-0.008143,0.015371,0.013669
2013445079,3,-0.007025,0.013957,0.013553
2013445089,3,-0.005939,0.012953,0.012822
2013445099,3,-0.004432,0.013682,0.011534
2013445109,3,-0.003163,0.013883,0.009801
2013445119,3,-0.0017,0.013659,0.010458
2013445129,3,-1.9E-5,0.012204,0.012389
2013445139,3,0.002346,0.009891,0.014381
2013445149,3,0.003792,0.007594,0.015207
2013445159,3,0.004694,0.005948,0.014272
