qmc6308,qst,2026-06-10_23-21-52.699_Active 10 Pro
imuTimestamp,accuracy(more=better),mfield_x[uT],mfield_y[uT],mfield_z[uT]
2013444340,3,-5.0437503,-34.162502,-36.28125
2013444360,3,-5.25,-34.3875,-35.23125
2013444380,3,-4.93125,-34.275,-35.381252
2013444400,3,-2.5125,-33.99375,-35.4
2013444420,3,-2.34375,-33.80625,-34.518753
2013444443,3,-2.8500001,-34.256252,-33.9
2013444463,3,-3.91875,-33.99375,-33.506252
2013444483,3,-2.5500002,-33.881252,-33.693752
2013444503,3,-2.7375002,-33.975002,-33.693752
2013444523,3,-3.91875,-34.275,-33.2625
2013444543,3,-4.125,-34.275,-33.506252
2013444563,3,-5.2312503,-34.275,-33.28125
2013444583,3,-5.0437503,-34.59375,-32.98125
2013444603,3,-5.4375,-34.5,-33.0
2013444623,3,-5.53125,-34.5,-32.8125
2013444643,3,-5.5125003,-34.5,-32.831253
2013444663,3,-5.5125003,-34.518753,-32.850002
2013444683,3,-5.5125003,-34.537502,-32.831253
2013444703,3,-5.5125003,-34.55625,-32.831253
2013444723,3,-5.5125003,-34.575,-32.8125
2013444743,3,-5.5125003,-34.59375,-32.831253
2013444763,3,-5.53125,-34.612503,-32.831253
2013444783,3,-5.55,-34.631252,-32.850002
2013444803,3,-5.5687504,-34.66875,-32.943752
2013444823,3,-5.5875,-34.66875,-33.018753
2013444843,3,-5.625,-34.6875,-33.09375
2013444863,3,-5.625,-34.706253,-33.15
2013444883,3,-5.6625004,-34.725002,-33.206253
2013444903,3,-5.68125,-34.725002,-33.2625
2013444923,3,-5.7000003,-34.74375,-33.318752
2013444943,3,-5.7000003,-34.725002,-33.375
2013444963,3,-5.7000003,-34.706253,-33.45
2013444983,3,-5.6625004,-34.6875,-33.600002
2013445003,3,-5.5875,-34.65,-33.75
2013445023,3,-5.49375,-34.631252,-33.9
2013445043,3,-5.49375,-34.631252,-34.050003
2013445063,3,-5.49375,-34.59375,-34.18125
2013445083,3,-5.49375,-34.575,-34.256252
2013445103,3,-5.4750004,-34.55625,-34.331253
2013445123,3,-5.4750004,-34.537502,-34.36875
2013445143,3,-5.49375,-34.537502,-34.443752
2013445163,3,-5.49375,-34.518753,-34.5
2013445183,3,-5.49375,-34.5,-34.575
2013445203,3,-5.5687504,-34.5,-34.65
2013445223,3,-5.625,-34.48125,-34.706253
2013445243,3,-5.6625004,-34.48125,-34.74375
2013445263,3,-5.71875,-34.5,-34.78125
2013445283,3,-5.775,-34.518753,-34.78125
2013445303,3,-5.8875003,-34.537502,-34.78125
2013445323,3,-6.0375004,-34.55625,-34.7625
2013445343,3,-6.0937505,-34.55625,-34.74375
2013445363,3,-6.0937505,-34.55625,-34.74375
2013445383,3,-6.15,-34.55625,-34.7625
2013445403,3,-6.20625,-34.55625,-34.78125
2013445423,3,-6.2250004,-34.537502,-34.78125
2013445443,3,-6.2250004,-34.518753,-34.800003
2013445463,3,-6.24375,-34.5,-34.818752
2013445483,3,-6.2250004,-34.4625,-34.85625
2013445503,3,-6.15,-34.3875,-34.93125
2013445523,3,-6.0937505,-34.331253,-35.006252
2013445543,3,-6.0750003,-34.275,-35.081253
2013445563,3,-6.05625,-34.18125,-35.175003
2013445583,3,-6.0375004,-34.050003,-35.268753
2013445603,3,-6.01875,-33.9,-35.381252
2013445623,3,-5.9812503,-33.693752,-35.550003
2013445643,3,-5.9437504,-33.412502,-35.775
2013445663,3,-5.8875003,-33.05625,-36.05625
2013445683,3,-5.8125,-32.5875,-36.45
2013445703,3,-5.7375,-32.006252,-36.862503
2013445723,3,-5.625,-31.275002,-37.3875
2013445743,3,-5.4750004,-30.4125,-37.96875
2013445763,3,-5.3250003,-29.400002,-38.662502
2013445783,3,-5.175,-28.29375,-39.3375
2013445803,3,-5.0625,-27.150002,-40.03125
2013445823,3,-4.93125,-26.00625,-40.706253
2013445843,3,-4.8,-24.91875,-41.362503
2013445863,3,-4.6875,-23.94375,-41.9625
2013445883,3,-4.5375004,-23.15625,-42.506252
2013445903,3,-4.40625,-22.518751,-42.9375
2013445923,3,-4.2937503,-22.10625,-43.237503
2013445943,3,-4.18125,-21.91875,-43.36875
2013445963,3,-4.1062503,-21.956251,-43.331253
2013445983,3,-4.0687504,-22.237501,-43.10625
