spl07,goermicro,2026-06-10_23-21-52.699_Active 10 Pro
imuTimestamp,accuracy(more=better),pressure[millibar]
2013444503,3,994.67
2013444603,3,994.67
2013444703,3,994.67
2013444803,3,994.68
2013444903,3,994.68
2013445003,3,994.69
2013445103,3,994.69
2013445203,3,994.69
2013445303,3,994.69
2013445403,3,994.69
2013445503,3,994.68
2013445603,3,994.62
2013445703,3,994.75
2013445803,3,995.00995
2013445903,3,994.94995
2013446003,3,994.86
2013446103,3,994.67
2013446203,3,994.61
2013446303,3,994.62
2013446403,3,994.98
2013446503,3,995.06
2013446603,3,995.0
2013446703,3,994.97
2013446803,3,994.8
2013446903,3,994.66
2013447003,3,994.63
2013447103,3,994.69995
2013447203,3,994.70996
2013447303,3,994.94
2013447403,3,994.83997
2013447503,3,994.74
2013447603,3,994.75
2013447703,3,994.75995
2013447803,3,994.75995
2013447903,3,994.79
2013448003,3,994.83997
2013448103,3,995.08997
2013448203,3,995.01996
2013448303,3,994.81995
2013448403,3,994.81995
2013448503,3,994.85
2013448603,3,994.85
2013448703,3,994.91
2013448803,3,995.00995
2013448903,3,994.94995
2013449003,3,994.70996
2013449103,3,994.76996
2013449203,3,994.81
2013449303,3,994.81
2013449403,3,994.8
2013449503,3,994.92
2013449603,3,995.08997
2013449703,3,994.88995
2013449803,3,994.76996
2013449903,3,994.77997
2013450003,3,994.76996
2013450103,3,994.8
2013450203,3,994.81995
2013450303,3,995.1
2013450403,3,994.94995
2013450503,3,994.70996
2013450603,3,994.64996
2013450703,3,994.72
2013450803,3,994.81995
2013450903,3,994.79
2013451003,3,995.04
2013451103,3,994.97
2013451203,3,994.73
2013451303,3,994.76996
2013451403,3,994.75995
2013451503,3,994.74
2013451603,3,994.75995
2013451703,3,994.95996
2013451803,3,994.81995
2013451903,3,994.63995
2013452003,3,994.63995
2013452103,3,994.74
2013452203,3,994.81995
2013452303,3,994.81
2013452403,3,994.85
2013452503,3,995.04
2013452603,3,994.82996
2013452703,3,994.76996
2013452803,3,994.75
2013452903,3,994.76996
2013453003,3,994.8
2013453103,3,994.83997
2013453203,3,994.98
2013453303,3,994.85
2013453403,3,994.68
2013453503,3,994.69995
2013453603,3,994.75995
2013453703,3,994.79
2013453803,3,994.83997
2013453903,3,995.06
2013454003,3,994.81
2013454103,3,994.8
2013454203,3,994.77997
2013454303,3,994.79
2013454403,3,994.81
2013454503,3,994.98
2013454603,3,995.06995
2013454703,3,994.79
2013454803,3,994.73
2013454903,3,994.73
2013455003,3,994.85
2013455103,3,994.86
2013455203,3,994.82996
2013455303,3,995.06995
2013455403,3,994.85
2013455503,3,994.79
2013455603,3,994.8
2013455703,3,994.82996
2013455803,3,994.77997
2013455903,3,994.86
2013456003,3,995.00995
2013456103,3,994.81995
2013456203,3,994.72
2013456303,3,994.69995
2013456403,3,994.76996
2013456503,3,994.81
2013456603,3,994.93
2013456703,3,995.04
2013456803,3,994.89996
2013456903,3,994.75995
2013457003,3,994.75
2013457103,3,994.76996
2013457203,3,994.81
2013457303,3,994.86
2013457403,3,995.02997
2013457503,3,994.86
2013457603,3,994.69
2013457703,3,994.73
2013457803,3,994.73
2013457903,3,994.88
2013458003,3,994.88995
2013458103,3,995.07996
2013458203,3,994.99
2013458303,3,994.8
2013458403,3,994.70996
2013458503,3,994.72
2013458603,3,994.86
2013458703,3,994.95996
2013458803,3,995.0
2013458903,3,994.74
2013459003,3,994.72
2013459103,3,994.8
2013459203,3,994.8
