step_count,mtk,2026-06-10_23-21-52.699_Active 10 Pro
imuTimestamp,accuracy(more=better),unknown
2013444496,3,1477.0
2013451617,3,1487.0
2013456619,3,1494.0
2013461615,3,1504.0
2013466616,3,1516.0
2013471618,3,1526.0
2013476619,3,1535.0
2013481615,3,1545.0
2013486618,3,1555.0
2013491618,3,1564.0
2013496615,3,1576.0
2013501617,3,1587.0
2013506617,3,1598.0
2013511619,3,1609.0
2013516616,3,1616.0
2013521617,3,1629.0
2013526619,3,1641.0
2013531615,3,1653.0
2013536616,3,1666.0
2013541618,3,1678.0
2013546619,3,1691.0
2013551615,3,1701.0
2013556618,3,1713.0
2013561618,3,1725.0
2013566615,3,1738.0
2013571617,3,1750.0
2013576617,3,1761.0
2013581620,3,1774.0
2013586616,3,1784.0
2013591617,3,1794.0
2013596619,3,1805.0
2013601620,3,1813.0
2013606616,3,1822.0
2013611618,3,1831.0
2013616619,3,1841.0
2013621615,3,1851.0
2013626617,3,1862.0
2013631618,3,1874.0
2013636620,3,1882.0
2013641616,3,1891.0
