step_detect,mtk,2026-06-10_23-21-52.699_Active 10 Pro
imuTimestamp,accuracy(more=better),unknown
2013447936,3,1.0
2013448298,3,1.0
2013449078,3,1.0
2013449376,3,1.0
2013449799,3,1.0
2013450176,3,1.0
2013450519,3,1.0
2013450817,3,1.0
2013451219,3,1.0
2013451617,3,1.0
2013452661,3,1.0
2013452680,3,1.0
2013453395,3,1.0
2013454075,3,1.0
2013454795,3,1.0
2013455475,3,1.0
2013455878,3,1.0
2013456895,3,1.0
2013457260,3,1.0
2013457838,3,1.0
2013458275,3,1.0
2013458996,3,1.0
2013459278,3,1.0
2013459655,3,1.0
2013460038,3,1.0
2013460658,3,1.0
2013461055,3,1.0
2013461756,3,1.0
2013462099,3,1.0
2013462456,3,1.0
2013462899,3,1.0
2013463461,3,1.0
2013463856,3,1.0
2013464260,3,1.0
2013464879,3,1.0
2013465236,3,1.0
2013465937,3,1.0
2013466219,3,1.0
2013466616,3,1.0
2013466979,3,1.0
2013467599,3,1.0
2013468016,3,1.0
2013468399,3,1.0
2013469376,3,1.0
2013469396,3,1.0
2013470077,3,1.0
2013470379,3,1.0
2013470736,3,1.0
2013471457,3,1.0
2013471739,3,1.0
2013472479,3,1.0
2013473079,3,1.0
2013474238,3,1.0
2013474258,3,1.0
2013474519,3,1.0
2013474917,3,1.0
2013475657,3,1.0
2013476317,3,1.0
2013477058,3,1.0
2013477380,3,1.0
2013477777,3,1.0
2013478176,3,1.0
2013478795,3,1.0
2013479218,3,1.0
2013479596,3,1.0
2013480276,3,1.0
2013480660,3,1.0
2013481420,3,1.0
2013482139,3,1.0
2013482538,3,1.0
2013483197,3,1.0
2013483595,3,1.0
2013484019,3,1.0
2013484657,3,1.0
2013485056,3,1.0
2013485479,3,1.0
2013486476,3,1.0
2013486496,3,1.0
2013486899,3,1.0
2013487518,3,1.0
2013488375,3,1.0
2013488979,3,1.0
2013489378,3,1.0
2013489855,3,1.0
2013490496,3,1.0
2013490919,3,1.0
2013491377,3,1.0
2013492078,3,1.0
2013492420,3,1.0
2013492877,3,1.0
2013493558,3,1.0
2013493975,3,1.0
2013494398,3,1.0
2013494757,3,1.0
2013495099,3,1.0
2013495496,3,1.0
2013495915,3,1.0
2013496278,3,1.0
2013496600,3,1.0
2013497038,3,1.0
2013497416,3,1.0
2013497799,3,1.0
2013498116,3,1.0
2013498539,3,1.0
2013498958,3,1.0
2013499657,3,1.0
2013500519,3,1.0
2013500539,3,1.0
2013501198,3,1.0
2013501617,3,1.0
2013502061,3,1.0
2013502739,3,1.0
2013503178,3,1.0
2013503555,3,1.0
2013504236,3,1.0
2013504679,3,1.0
2013505076,3,1.0
2013505439,3,1.0
2013505777,3,1.0
2013506214,3,1.0
2013506577,3,1.0
2013507258,3,1.0
2013507695,3,1.0
2013508098,3,1.0
2013508497,3,1.0
2013508799,3,1.0
2013509257,3,1.0
2013509619,3,1.0
2013509977,3,1.0
2013510261,3,1.0
2013510697,3,1.0
2013511116,3,1.0
2013511755,3,1.0
2013512657,3,1.0
2013513417,3,1.0
2013513761,3,1.0
2013514797,3,1.0
2013515418,3,1.0
2013516360,3,1.0
2013516737,3,1.0
2013517195,3,1.0
2013517416,3,1.0
2013517916,3,1.0
2013518278,3,1.0
2013518736,3,1.0
2013518977,3,1.0
2013519517,3,1.0
2013519880,3,1.0
2013520579,3,1.0
2013520599,3,1.0
2013521119,3,1.0
2013521536,3,1.0
2013521960,3,1.0
2013522217,3,1.0
2013522715,3,1.0
2013523118,3,1.0
2013523476,3,1.0
2013523758,3,1.0
2013524256,3,1.0
2013524619,3,1.0
2013525098,3,1.0
2013525380,3,1.0
2013526256,3,1.0
2013526276,3,1.0
2013526679,3,1.0
2013526915,3,1.0
2013527817,3,1.0
2013527838,3,1.0
2013528215,3,1.0
2013528537,3,1.0
2013529036,3,1.0
2013529439,3,1.0
2013529817,3,1.0
2013530160,3,1.0
2013530558,3,1.0
2013531015,3,1.0
2013531655,3,1.0
2013532099,3,1.0
2013532516,3,1.0
2013532879,3,1.0
2013533237,3,1.0
2013533661,3,1.0
2013534118,3,1.0
2013534456,3,1.0
2013534738,3,1.0
2013535196,3,1.0
2013535599,3,1.0
2013535977,3,1.0
2013536299,3,1.0
2013536697,3,1.0
2013537115,3,1.0
2013537519,3,1.0
2013537795,3,1.0
2013538616,3,1.0
2013538636,3,1.0
2013539019,3,1.0
2013539356,3,1.0
2013539739,3,1.0
2013540218,3,1.0
2013540837,3,1.0
2013541276,3,1.0
2013541699,3,1.0
2013542056,3,1.0
2013542398,3,1.0
2013542777,3,1.0
2013543220,3,1.0
2013543577,3,1.0
2013543879,3,1.0
2013544338,3,1.0
2013545160,3,1.0
2013545178,3,1.0
2013545416,3,1.0
2013546297,3,1.0
2013546317,3,1.0
2013547415,3,1.0
2013547435,3,1.0
2013547860,3,1.0
2013548256,3,1.0
2013548539,3,1.0
2013549439,3,1.0
2013549455,3,1.0
2013550175,3,1.0
2013550517,3,1.0
2013551319,3,1.0
2013551656,3,1.0
2013552079,3,1.0
2013552517,3,1.0
2013552874,3,1.0
2013553136,3,1.0
2013553636,3,1.0
2013554061,3,1.0
2013554416,3,1.0
2013555137,3,1.0
2013555157,3,1.0
2013555997,3,1.0
2013556017,3,1.0
2013556718,3,1.0
2013556739,3,1.0
2013557156,3,1.0
2013557836,3,1.0
2013558778,3,1.0
2013558798,3,1.0
2013559561,3,1.0
2013559855,3,1.0
2013560319,3,1.0
2013560697,3,1.0
2013560999,3,1.0
2013561417,3,1.0
2013562198,3,1.0
2013562218,3,1.0
2013562515,3,1.0
2013562938,3,1.0
2013563719,3,1.0
2013563739,3,1.0
2013564016,3,1.0
2013564877,3,1.0
2013564898,3,1.0
2013565255,3,1.0
2013565597,3,1.0
2013565955,3,1.0
2013566419,3,1.0
2013566776,3,1.0
2013567098,3,1.0
2013567496,3,1.0
2013567879,3,1.0
2013568297,3,1.0
2013568561,3,1.0
2013569038,3,1.0
2013569435,3,1.0
2013569818,3,1.0
2013570095,3,1.0
2013571360,3,1.0
2013571379,3,1.0
2013572094,3,1.0
2013572538,3,1.0
2013572856,3,1.0
2013573339,3,1.0
2013573595,3,1.0
2013574079,3,1.0
2013574397,3,1.0
2013575137,3,1.0
2013575535,3,1.0
2013575555,3,1.0
2013575898,3,1.0
2013576638,3,1.0
2013576660,3,1.0
2013577076,3,1.0
2013577439,3,1.0
2013577736,3,1.0
2013578160,3,1.0
2013578598,3,1.0
2013579655,3,1.0
2013579675,3,1.0
2013580415,3,1.0
2013580737,3,1.0
2013581116,3,1.0
2013581539,3,1.0
2013581896,3,1.0
2013582677,3,1.0
2013583135,3,1.0
2013583795,3,1.0
2013584198,3,1.0
2013584636,3,1.0
2013585296,3,1.0
2013585679,3,1.0
2013586117,3,1.0
2013586499,3,1.0
2013587200,3,1.0
2013587617,3,1.0
2013588016,3,1.0
2013588298,3,1.0
2013588695,3,1.0
2013589118,3,1.0
2013589799,3,1.0
2013590237,3,1.0
2013590579,3,1.0
2013591320,3,1.0
2013591697,3,1.0
2013592116,3,1.0
2013593160,3,1.0
2013593178,3,1.0
