icm4n607_acc,iven_sense,2026-05-28_22-10-22.697_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_x[m/s^2],acc_y[m/s^2],acc_z[m/s^2],utcTimestamp(millis)
885954290,3,-0.29205,0.27600002,9.802951,1779995425867
885954300,3,-0.28395,0.27105,9.798,1779995425877
885954310,3,-0.28395,0.26895002,9.81,1779995425887
885954320,3,-0.29205,0.27600002,9.79605,1779995425897
885954331,3,-0.28695002,0.26595002,9.79395,1779995425908
885954341,3,-0.282,0.27600002,9.7890005,1779995425918
885954351,3,-0.28005,0.27105,9.801001,1779995425927
885954361,3,-0.27705002,0.27105,9.802951,1779995425939
885954371,3,-0.294,0.27600002,9.790951,1779995425947
885954381,3,-0.28395,0.27405003,9.790951,1779995425956
885954391,3,-0.29595003,0.26895002,9.790951,1779995425967
885954401,3,-0.29595003,0.27105,9.801001,1779995425978
885954411,3,-0.294,0.26595002,9.79605,1779995425987
885954421,3,-0.28695002,0.26595002,9.786,1779995426002
885954431,3,-0.29205,0.27105,9.81,1779995426008
885954441,3,-0.282,0.27795002,9.802951,1779995426018
885954451,3,-0.294,0.28095,9.817051,1779995426028
885954462,3,-0.282,0.27405003,9.79395,1779995426038
885954472,3,-0.28695002,0.26205,9.801001,1779995426048
885954482,3,-0.27495003,0.28095,9.79395,1779995426058
885954492,3,-0.27705002,0.264,9.798,1779995426069
885954502,3,-0.28695002,0.27105,9.79395,1779995426080
885954512,3,-0.282,0.27405003,9.80595,1779995426089
885954522,3,-0.282,0.26895002,9.81,1779995426099
885954532,3,-0.28905,0.28095,9.801001,1779995426111
885954542,3,-0.28005,0.27795002,9.801001,1779995426120
885954552,3,-0.28005,0.27600002,9.79395,1779995426130
885954562,3,-0.27495003,0.28305,9.79395,1779995426140
885954572,3,-0.29205,0.26595002,9.80805,1779995426150
885954582,3,-0.28395,0.26205,9.798,1779995426160
885954592,3,-0.28395,0.27405003,9.798,1779995426170
885954603,3,-0.28695002,0.27795002,9.80595,1779995426180
885954613,3,-0.28905,0.27600002,9.802951,1779995426191
885954623,3,-0.28395,0.28095,9.81,1779995426201
885954633,3,-0.28005,0.28305,9.80595,1779995426211
885954643,3,-0.28905,0.27405003,9.81,1779995426221
885954653,3,-0.28395,0.27600002,9.81,1779995426231
885954663,3,-0.282,0.28095,9.802951,1779995426241
885954673,3,-0.28905,0.27600002,9.81,1779995426252
885954683,3,-0.29595003,0.264,9.801001,1779995426261
885954693,3,-0.29205,0.27405003,9.814951,1779995426271
885954703,3,-0.28005,0.28305,9.80805,1779995426282
885954713,3,-0.28695002,0.27105,9.81,1779995426292
885954723,3,-0.28395,0.27600002,9.79605,1779995426302
885954733,3,-0.28005,0.26895002,9.798,1779995426312
885954744,3,-0.28695002,0.27105,9.802951,1779995426321
885954754,3,-0.28905,0.26895002,9.79605,1779995426331
885954764,3,-0.282,0.26895002,9.802951,1779995426341
885954774,3,-0.282,0.27795002,9.80595,1779995426351
885954784,3,-0.29205,0.27795002,9.817051,1779995426363
885954794,3,-0.28395,0.264,9.798,1779995426373
885954804,3,-0.27705002,0.27795002,9.8220005,1779995426382
885954814,3,-0.26805001,0.27105,9.79395,1779995426393
885954824,3,-0.28695002,0.27405003,9.81,1779995426402
885954834,3,-0.282,0.27600002,9.79605,1779995426412
885954844,3,-0.28395,0.26595002,9.813001,1779995426421
885954854,3,-0.29595003,0.27105,9.798,1779995426431
885954864,3,-0.282,0.28305,9.814951,1779995426442
885954875,3,-0.28695002,0.27600002,9.798,1779995426452
885954885,3,-0.28395,0.264,9.80595,1779995426463
885954895,3,-0.294,0.27405003,9.786,1779995426473
885954905,3,-0.29205,0.28305,9.79605,1779995426482
885954915,3,-0.282,0.26895002,9.82005,1779995426493
885954925,3,-0.27195,0.27105,9.81,1779995426502
885954935,3,-0.27495003,0.27600002,9.80595,1779995426513
885954945,3,-0.294,0.27105,9.78195,1779995426524
885954955,3,-0.28905,0.27795002,9.813001,1779995426532
885954965,3,-0.28395,0.264,9.80595,1779995426542
