timestamp_global[ms],timestampImu[ms],ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
241,885954371,1.375E-4,-8.25E-4,-4.125E-4,-0.294,0.27600002,9.790951,9.993751,48.24375,-14.137501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,885954381,-0.0020625,-8.25E-4,-4.125E-4,-0.28395,0.27405003,9.790951,11.56875,48.656254,-14.231251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,885954391,-9.625E-4,-8.25E-4,-0.0015125,-0.29595003,0.26895002,9.790951,11.56875,48.656254,-14.231251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,885954401,-9.625E-4,-8.25E-4,-4.125E-4,-0.29595003,0.27105,9.801001,11.981251,48.675003,-13.687501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,885954411,-9.625E-4,-8.25E-4,-4.125E-4,-0.294,0.26595002,9.79605,11.981251,48.675003,-13.687501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,885954421,-9.625E-4,2.75E-4,-4.125E-4,-0.28695002,0.26595002,9.786,11.19375,48.375004,-12.900001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,885954431,1.375E-4,-8.25E-4,-0.0015125,-0.29205,0.27105,9.81,11.19375,48.375004,-12.900001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,885954441,1.375E-4,-8.25E-4,-4.125E-4,-0.282,0.27795002,9.802951,11.53125,48.487503,-13.275001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,885954451,1.375E-4,-0.001925,-4.125E-4,-0.294,0.28095,9.817051,11.53125,48.487503,-13.275001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,885954462,1.375E-4,2.75E-4,-0.0015125,-0.282,0.27405003,9.79395,10.9125,48.393753,-13.181251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,885954472,-9.625E-4,2.75E-4,-4.125E-4,-0.28695002,0.26205,9.801001,10.9125,48.393753,-13.181251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,885954482,-9.625E-4,-8.25E-4,-4.125E-4,-0.27495003,0.28095,9.79395,11.4375,48.581253,-12.76875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,885954492,-9.625E-4,-8.25E-4,-4.125E-4,-0.27705002,0.264,9.798,11.4375,48.581253,-12.76875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,885954502,1.375E-4,-8.25E-4,-4.125E-4,-0.28695002,0.27105,9.79395,10.725,48.581253,-13.181251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,885954512,0.0012375,2.75E-4,-0.0015125,-0.282,0.27405003,9.80595,10.725,48.581253,-13.181251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,885954522,1.375E-4,-8.25E-4,-0.0015125,-0.282,0.26895002,9.81,10.8,48.393753,-12.993751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,885954532,1.375E-4,-8.25E-4,-4.125E-4,-0.28905,0.28095,9.801001,10.8,48.393753,-12.993751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,885954542,-9.625E-4,-8.25E-4,-4.125E-4,-0.28005,0.27795002,9.801001,10.425,48.581253,-12.20625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,885954552,-9.625E-4,-0.001925,-4.125E-4,-0.28005,0.27600002,9.79395,10.425,48.581253,-12.20625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,885954562,-9.625E-4,2.75E-4,-4.125E-4,-0.27495003,0.28305,9.79395,9.918751,48.2625,-11.962501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,885954572,-9.625E-4,-8.25E-4,6.875E-4,-0.29205,0.26595002,9.80805,9.918751,48.2625,-11.962501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,885954582,-9.625E-4,2.75E-4,-4.125E-4,-0.28395,0.26205,9.798,9.731251,48.24375,-12.093751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462,885954592,1.375E-4,-0.001925,6.875E-4,-0.28395,0.27405003,9.798,9.731251,48.24375,-12.093751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,885954603,-9.625E-4,-8.25E-4,-4.125E-4,-0.28695002,0.27795002,9.80595,9.731251,48.16875,-11.681251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483,885954613,-9.625E-4,-8.25E-4,-4.125E-4,-0.28905,0.27600002,9.802951,9.731251,48.16875,-11.681251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493,885954623,0.0012375,-8.25E-4,-0.0015125,-0.28395,0.28095,9.81,9.4125,48.15,-11.587501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,885954633,1.375E-4,2.75E-4,-4.125E-4,-0.28005,0.28305,9.80595,9.4125,48.15,-11.587501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513,885954643,1.375E-4,-8.25E-4,6.875E-4,-0.28905,0.27405003,9.81,9.39375,48.15,-11.587501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523,885954653,1.375E-4,-8.25E-4,-4.125E-4,-0.28395,0.27600002,9.81,9.39375,48.15,-11.587501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
533,885954663,-9.625E-4,-8.25E-4,-4.125E-4,-0.282,0.28095,9.802951,9.3,48.15,-11.56875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
543,885954673,-9.625E-4,-8.25E-4,-4.125E-4,-0.28905,0.27600002,9.81,9.3,48.15,-11.56875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553,885954683,-9.625E-4,-8.25E-4,-4.125E-4,-0.29595003,0.264,9.801001,9.28125,48.131252,-11.587501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
563,885954693,1.375E-4,2.75E-4,-4.125E-4,-0.29205,0.27405003,9.814951,9.28125,48.131252,-11.587501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
573,885954703,1.375E-4,-8.25E-4,-4.125E-4,-0.28005,0.28305,9.80805,9.262501,48.15,-11.606251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
583,885954713,1.375E-4,-8.25E-4,-4.125E-4,-0.28695002,0.27105,9.81,9.262501,48.15,-11.606251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
593,885954723,-9.625E-4,2.75E-4,-4.125E-4,-0.28395,0.27600002,9.79605,9.262501,48.15,-11.6625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603,885954733,-9.625E-4,-0.001925,-4.125E-4,-0.28005,0.26895002,9.798,9.262501,48.15,-11.6625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,885954744,1.375E-4,-8.25E-4,-0.0026125,-0.28695002,0.27105,9.802951,9.243751,48.15,-11.75625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
624,885954754,1.375E-4,-0.001925,6.875E-4,-0.28905,0.26895002,9.79605,9.243751,48.15,-11.75625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
634,885954764,-9.625E-4,-8.25E-4,-4.125E-4,-0.282,0.26895002,9.802951,9.243751,48.187504,-11.83125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
644,885954774,-9.625E-4,-0.001925,6.875E-4,-0.282,0.27795002,9.80595,9.243751,48.187504,-11.83125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
654,885954784,1.375E-4,2.75E-4,6.875E-4,-0.29205,0.27795002,9.817051,9.225,48.187504,-11.90625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
664,885954794,0.0012375,-8.25E-4,-4.125E-4,-0.28395,0.264,9.798,9.225,48.187504,-11.90625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
674,885954804,-9.625E-4,-8.25E-4,-4.125E-4,-0.27705002,0.27795002,9.8220005,9.225,48.16875,-11.962501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
684,885954814,-9.625E-4,2.75E-4,-0.0015125,-0.26805001,0.27105,9.79395,9.225,48.16875,-11.962501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
694,885954824,-9.625E-4,-0.001925,-4.125E-4,-0.28695002,0.27405003,9.81,9.243751,48.16875,-12.01875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
704,885954834,1.375E-4,-8.25E-4,-0.0026125,-0.282,0.27600002,9.79605,9.243751,48.16875,-12.01875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
714,885954844,1.375E-4,-8.25E-4,-4.125E-4,-0.28395,0.26595002,9.813001,9.225,48.187504,-12.093751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
724,885954854,1.375E-4,-8.25E-4,-4.125E-4,-0.29595003,0.27105,9.798,9.225,48.187504,-12.093751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
734,885954864,1.375E-4,-8.25E-4,-4.125E-4,-0.282,0.28305,9.814951,9.225,48.16875,-12.13125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745,885954875,-9.625E-4,-0.0028875,-4.125E-4,-0.28695002,0.27600002,9.798,9.225,48.16875,-12.13125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
755,885954885,-9.625E-4,-8.25E-4,6.875E-4,-0.28395,0.264,9.80595,9.243751,48.187504,-12.13125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
