gravity,mtk,2026-05-28_22-10-22.697_Active 10 Pro
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
885954431,3,0.262458,0.270574,9.798571
885954441,3,0.282821,0.278312,9.798617
885954451,3,0.293292,0.280565,9.798247
885954462,3,0.28319,0.274479,9.798716
885954472,3,0.286992,0.262594,9.798929
885954482,3,0.276038,0.280376,9.798751
885954492,3,0.277606,0.265322,9.799128
885954502,3,0.286937,0.271406,9.798695
885954512,3,0.282548,0.273708,9.798758
885954522,3,0.282158,0.269178,9.798896
885954532,3,0.289233,0.280524,9.798368
885954542,3,0.280528,0.278865,9.798672
885954552,3,0.280245,0.276668,9.798738
885954562,3,0.275671,0.283396,9.798677
885954572,3,0.290967,0.267446,9.79868
885954582,3,0.285261,0.262279,9.798993
885954592,3,0.284891,0.273429,9.798697
885954603,3,0.286964,0.278378,9.798498
885954613,3,0.276093,0.278439,9.79881
885954623,3,0.275531,0.278446,9.798825
885954633,3,0.274418,0.278456,9.798855
885954643,3,0.272759,0.278459,9.798899
885954653,3,0.27057,0.278459,9.798955
885954663,3,0.267863,0.278455,9.799024
885954673,3,0.264641,0.278442,9.799103
885954683,3,0.260906,0.278409,9.799194
885954693,3,0.256669,0.27837,9.799295
885954703,3,0.251955,0.278335,9.799406
885954713,3,0.246768,0.278292,9.799525
885954723,3,0.241112,0.278241,9.799653
885954733,3,0.235012,0.278175,9.799789
885954744,3,0.228464,0.278103,9.799932
885954754,3,0.221479,0.278021,9.80008
885954764,3,0.214068,0.277924,9.800235
885954774,3,0.206245,0.277823,9.800395
885954784,3,0.197997,0.277722,9.800561
885954794,3,0.189345,0.277612,9.800731
885954804,3,0.179726,0.277489,9.800921
885954814,3,0.170307,0.277363,9.8011
885954824,3,0.161071,0.277221,9.801265
885954834,3,0.152014,0.277076,9.80142
885954844,3,0.143135,0.276925,9.801564
885954854,3,0.134413,0.276773,9.801697
885954864,3,0.125859,0.276631,9.801819
885954875,3,0.117481,0.276492,9.801931
885954885,3,0.109276,0.276355,9.802035
885954895,3,0.101235,0.276221,9.80213
885954905,3,0.093346,0.27609,9.802217
885954915,3,0.085614,0.275954,9.802294
885954925,3,0.078041,0.275815,9.802364
885954935,3,0.070614,0.275685,9.802428
885954945,3,0.063316,0.275559,9.802485
885954955,3,0.056158,0.275443,9.802535
885954965,3,0.04913,0.275331,9.80258
885954975,3,0.042236,0.275198,9.802619
885954985,3,0.035481,0.275042,9.802653
885954995,3,0.028852,0.274887,9.802682
885955005,3,0.02232,0.274755,9.802705
885955016,3,0.015892,0.274633,9.802723
885955026,3,0.009575,0.274515,9.802736
885955036,3,0.003373,0.274395,9.802746
885955046,3,-0.002732,0.274266,9.802752
885955056,3,-0.008719,0.274171,9.802753
885955066,3,-0.014586,0.274064,9.802752
885955076,3,-0.020336,0.273942,9.802748
885955086,3,-0.025984,0.273841,9.802739
885955096,3,-0.031491,0.273748,9.802728
885955106,3,-0.036901,0.273675,9.802712
885955116,3,-0.042173,0.273606,9.802694
885955126,3,-0.047332,0.273498,9.802676
885955136,3,-0.052406,0.273424,9.802654
885955146,3,-0.05734,0.273348,9.80263
885955157,3,-0.062173,0.273262,9.802606
885955167,3,-0.066895,0.273173,9.80258
885955177,3,-0.071512,0.273107,9.80255
885955187,3,-0.076057,0.273072,9.802519
885955197,3,-0.080522,0.273042,9.802486
885955207,3,-0.08488,0.272987,9.802453
885955217,3,-0.089167,0.27291,9.802418
885955227,3,-0.093399,0.272816,9.802382
885955237,3,-0.09755,0.272747,9.802344
885955247,3,-0.101546,0.272628,9.802308
885955257,3,-0.105502,0.2725,9.802271
885955267,3,-0.109376,0.272366,9.802233
885955277,3,-0.11317,0.272251,9.802193
885955288,3,-0.116902,0.272148,9.802153
885955298,3,-0.120595,0.27202,9.802111
885955308,3,-0.124213,0.271886,9.802071
885955318,3,-0.12768,0.271906,9.802027
885955328,3,-0.130806,0.272285,9.801976
885955338,3,-0.133401,0.273004,9.801924
885955348,3,-0.135411,0.274157,9.801866
885955358,3,-0.136748,0.275777,9.801802
885955368,3,-0.137461,0.277886,9.801729
885955378,3,-0.137647,0.280434,9.801649
885955388,3,-0.137309,0.283346,9.801564
885955398,3,-0.13647,0.286591,9.801473
885955408,3,-0.135169,0.290216,9.801374
885955418,3,-0.133392,0.294265,9.801265
885955429,3,-0.131123,0.298737,9.801146
885955439,3,-0.128403,0.303528,9.80102
885955449,3,-0.125337,0.308671,9.800883
885955459,3,-0.121857,0.31406,9.800743
885955469,3,-0.118072,0.319634,9.800599
885955479,3,-0.114078,0.325301,9.800453
885955489,3,-0.109878,0.331032,9.800309
885955499,3,-0.105475,0.336888,9.800161
885955509,3,-0.100838,0.342942,9.800009
885955519,3,-0.096084,0.349106,9.79985
885955529,3,-0.091394,0.355168,9.799692
885955539,3,-0.086997,0.361018,9.799532
885955549,3,-0.08305,0.366533,9.799376
885955559,3,-0.07968,0.371565,9.799226
885955570,3,-0.076909,0.376021,9.799088
885955580,3,-0.074699,0.379837,9.798969
885955590,3,-0.073056,0.382962,9.798869
885955600,3,-0.072112,0.385284,9.798793
885955610,3,-0.071977,0.386604,9.798746
885955620,3,-0.072656,0.386674,9.798737
885955630,3,-0.07422,0.385249,9.79877
885955640,3,-0.076774,0.381967,9.798855
885955650,3,-0.080358,0.376213,9.799001
885955660,3,-0.084841,0.367706,9.799201
885955670,3,-0.089754,0.356743,9.799448
885955680,3,-0.095128,0.344207,9.799711
885955690,3,-0.100853,0.330144,9.79999
885955700,3,-0.107048,0.31427,9.800281
885955711,3,-0.11384,0.296094,9.800578
885955721,3,-0.121111,0.27486,9.800878
885955731,3,-0.128546,0.250055,9.801163
885955741,3,-0.13549,0.22202,9.801425
885955751,3,-0.141224,0.19119,9.801664
885955761,3,-0.146233,0.15809,9.801859
885955771,3,-0.149633,0.124014,9.802044
885955781,3,-0.150795,0.089086,9.802214
885955791,3,-0.15014,0.053257,9.802346
885955801,3,-0.147137,0.016931,9.802439
885955811,3,-0.141154,-0.019922,9.802469
885955821,3,-0.132761,-0.056516,9.802444
885955831,3,-0.121683,-0.092453,9.802353
885955842,3,-0.107104,-0.12714,9.802174
885955852,3,-0.088335,-0.159533,9.80188
885955862,3,-0.065903,-0.189503,9.801457
885955872,3,-0.041142,-0.21626,9.800969
885955882,3,-0.013997,-0.240761,9.800422
885955892,3,0.016234,-0.26313,9.799776
885955902,3,0.049387,-0.282561,9.799051
885955912,3,0.084573,-0.298352,9.798299
885955922,3,0.121906,-0.309563,9.797508
885955932,3,0.161009,-0.316082,9.796679
885955942,3,0.200998,-0.317966,9.795826
885955952,3,0.240943,-0.315397,9.794963
885955962,3,0.281125,-0.308804,9.794112
885955972,3,0.320481,-0.299485,9.793247
885955983,3,0.358309,-0.287495,9.792368
