icm4n607_gyro,iven_sense,2026-05-28_22-10-22.697_Active 10 Pro
imuTimestamp,accuracy(more=better),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
885954371,3,1.375E-4,-8.25E-4,-4.125E-4
885954381,3,-0.0020625,-8.25E-4,-4.125E-4
885954391,3,-9.625E-4,-8.25E-4,-0.0015125
885954401,3,-9.625E-4,-8.25E-4,-4.125E-4
885954411,3,-9.625E-4,-8.25E-4,-4.125E-4
885954421,3,-9.625E-4,2.75E-4,-4.125E-4
885954431,3,1.375E-4,-8.25E-4,-0.0015125
885954441,3,1.375E-4,-8.25E-4,-4.125E-4
885954451,3,1.375E-4,-0.001925,-4.125E-4
885954462,3,1.375E-4,2.75E-4,-0.0015125
885954472,3,-9.625E-4,2.75E-4,-4.125E-4
885954482,3,-9.625E-4,-8.25E-4,-4.125E-4
885954492,3,-9.625E-4,-8.25E-4,-4.125E-4
885954502,3,1.375E-4,-8.25E-4,-4.125E-4
885954512,3,0.0012375,2.75E-4,-0.0015125
885954522,3,1.375E-4,-8.25E-4,-0.0015125
885954532,3,1.375E-4,-8.25E-4,-4.125E-4
885954542,3,-9.625E-4,-8.25E-4,-4.125E-4
885954552,3,-9.625E-4,-0.001925,-4.125E-4
885954562,3,-9.625E-4,2.75E-4,-4.125E-4
885954572,3,-9.625E-4,-8.25E-4,6.875E-4
885954582,3,-9.625E-4,2.75E-4,-4.125E-4
885954592,3,1.375E-4,-0.001925,6.875E-4
885954603,3,-9.625E-4,-8.25E-4,-4.125E-4
885954613,3,-9.625E-4,-8.25E-4,-4.125E-4
885954623,3,0.0012375,-8.25E-4,-0.0015125
885954633,3,1.375E-4,2.75E-4,-4.125E-4
885954643,3,1.375E-4,-8.25E-4,6.875E-4
885954653,3,1.375E-4,-8.25E-4,-4.125E-4
885954663,3,-9.625E-4,-8.25E-4,-4.125E-4
885954673,3,-9.625E-4,-8.25E-4,-4.125E-4
885954683,3,-9.625E-4,-8.25E-4,-4.125E-4
885954693,3,1.375E-4,2.75E-4,-4.125E-4
885954703,3,1.375E-4,-8.25E-4,-4.125E-4
885954713,3,1.375E-4,-8.25E-4,-4.125E-4
885954723,3,-9.625E-4,2.75E-4,-4.125E-4
885954733,3,-9.625E-4,-0.001925,-4.125E-4
885954744,3,1.375E-4,-8.25E-4,-0.0026125
885954754,3,1.375E-4,-0.001925,6.875E-4
885954764,3,-9.625E-4,-8.25E-4,-4.125E-4
885954774,3,-9.625E-4,-0.001925,6.875E-4
885954784,3,1.375E-4,2.75E-4,6.875E-4
885954794,3,0.0012375,-8.25E-4,-4.125E-4
885954804,3,-9.625E-4,-8.25E-4,-4.125E-4
885954814,3,-9.625E-4,2.75E-4,-0.0015125
885954824,3,-9.625E-4,-0.001925,-4.125E-4
885954834,3,1.375E-4,-8.25E-4,-0.0026125
885954844,3,1.375E-4,-8.25E-4,-4.125E-4
885954854,3,1.375E-4,-8.25E-4,-4.125E-4
885954864,3,1.375E-4,-8.25E-4,-4.125E-4
885954875,3,-9.625E-4,-0.0028875,-4.125E-4
