stk3a5x_als,sensortek,2026-05-28_22-10-22.697_Active 10 Pro
imuTimestamp,accuracy(more=better),ambient_brightness[lux]
885954321,3,1992.0
885954321,3,1992.0
885954395,3,1992.0
885954405,3,1992.0
885954415,3,1992.0
885954425,3,1992.0
885954435,3,1992.0
885954445,3,1992.0
885954455,3,1992.0
885954465,3,1992.0
885954475,3,1992.0
885954485,3,1992.0
885954495,3,1992.0
885954505,3,1992.0
885954515,3,1992.0
885954525,3,1993.0
885954535,3,1993.0
885954545,3,1993.0
885954555,3,1993.0
885954565,3,1993.0
885954575,3,1993.0
885954585,3,1993.0
885954595,3,1993.0
885954605,3,1993.0
885954615,3,1993.0
885954625,3,1992.0
885954635,3,1992.0
885954645,3,1992.0
885954655,3,1992.0
885954665,3,1992.0
885954675,3,1992.0
885954685,3,1992.0
885954695,3,1992.0
885954705,3,1992.0
885954715,3,1992.0
885954725,3,1993.0
885954735,3,1993.0
885954745,3,1993.0
885954755,3,1993.0
885954765,3,1993.0
885954775,3,1992.0
885954785,3,1992.0
885954795,3,1992.0
885954805,3,1992.0
885954815,3,1992.0
885954825,3,1992.0
885954835,3,1992.0
885954845,3,1992.0
885954855,3,1992.0
885954865,3,1992.0
885954875,3,1992.0
885954885,3,1992.0
885954895,3,1992.0
885954905,3,1992.0
885954915,3,1992.0
885954925,3,1992.0
885954935,3,1993.0
885954945,3,1993.0
885954955,3,1993.0
885954965,3,1993.0
885954975,3,1993.0
885954985,3,1993.0
885954995,3,1993.0
885955005,3,1993.0
885955015,3,1993.0
885955025,3,1993.0
885955035,3,1992.0
885955045,3,1992.0
885955055,3,1992.0
885955065,3,1992.0
885955075,3,1992.0
885955085,3,1990.0
885955095,3,1990.0
885955105,3,1990.0
885955115,3,1990.0
885955125,3,1990.0
885955135,3,1990.0
885955145,3,1993.0
885955155,3,1993.0
885955165,3,1993.0
885955175,3,1993.0
885955185,3,1993.0
885955195,3,1995.0
885955205,3,1995.0
885955215,3,1995.0
885955225,3,1995.0
885955235,3,1995.0
885955245,3,1993.0
885955255,3,1993.0
