linear_acc,mtk,2026-05-28_22-10-22.697_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_lin_x[m/s^2],acc_lin_y[m/s^2],acc_lin_z[m/s^2]
885954441,3,0.0106,0.010323,-0.00135
885954451,3,-5.21E-4,0.010301,0.00984
885954462,3,0.008521,0.00275,-0.010259
885954472,3,0.003433,-0.007248,-0.003294
885954482,3,0.011876,0.008694,-0.007995
885954492,3,0.007968,-0.005494,-0.002888
885954502,3,-0.001094,7.11E-4,-0.005883
885954512,3,0.002571,0.002612,0.004422
885954522,3,0.002185,-0.001549,0.007559
885954532,3,-0.003806,0.00789,-0.001232
885954542,3,0.004169,0.00478,-0.00124
885954552,3,0.00359,0.001908,-0.006544
885954562,3,0.006575,0.007017,-0.005426
885954572,3,-0.007572,-0.007154,0.006766
885954582,3,-9.5E-4,-0.009873,-0.001611
885954592,3,-5.68E-4,0.00123,-0.001544
885954603,3,-0.002306,0.005006,0.00432
885954613,3,-0.00376,0.002281,0.001794
885954623,3,-0.00288,0.001953,0.001626
885954633,3,-0.002049,0.001753,0.001365
885954643,3,-0.001639,0.001339,0.001283
885954653,3,-0.001183,0.001071,0.001218
885954663,3,-7.55E-4,9.84E-4,9.74E-4
885954673,3,-6.04E-4,7.87E-4,9.7E-4
885954683,3,-6.75E-4,3.11E-4,7.13E-4
885954693,3,-6.03E-4,1.85E-4,8.9E-4
885954703,3,-2.27E-4,3.39E-4,8.41E-4
885954713,3,-1.18E-4,1.43E-4,8.64E-4
885954723,3,3.3E-5,1.15E-4,5.0E-4
885954733,3,2.81E-4,-9.9E-5,2.72E-4
885954744,3,2.89E-4,-2.07E-4,2.18E-4
885954754,3,2.31E-4,-3.57E-4,-1.6E-5
885954764,3,3.76E-4,-4.77E-4,-1.3E-5
885954774,3,4.92E-4,-3.18E-4,5.3E-5
885954784,3,3.3E-4,-1.9E-4,4.25E-4
885954794,3,3.92E-4,-4.71E-4,2.13E-4
885954804,3,6.32E-4,-3.13E-4,6.8E-4
885954814,3,0.00108,-3.78E-4,2.88E-4
885954824,3,9.28E-4,-3.66E-4,4.21E-4
885954834,3,9.34E-4,-2.93E-4,1.45E-4
885954844,3,8.75E-4,-4.9E-4,3.71E-4
885954854,3,5.08E-4,-5.19E-4,1.69E-4
885954864,3,5.98E-4,-2.24E-4,4.53E-4
885954875,3,5.42E-4,-1.79E-4,2.35E-4
885954885,3,5.61E-4,-4.62E-4,2.53E-4
