location due to GPS and WiFi+Cell,2026-05-28_22-10-22.697_Active 10 Pro
time,provider,lat (deg),long (deg),has accuracy,accuracy (m),has altitude,altitude (m above sea level),has bearing,bearing (degrees),has speed,speed (m/s over ground),UTC,realtime
885955654,network,55.5231139,37.5097614,1,17.723,1,187.40000915527344,0,0.0,0,0.0,1779995426318,885954960000000
885955664,network,55.5231139,37.5097614,1,22.637,1,187.40000915527344,0,0.0,0,0.0,1779995427236,885955662527679
885964717,gps,55.523041666666664,37.50964666666666,1,8.1,1,175.79999999999998,1,0.0,1,0.0,1779995436000,885964657551911
885965712,gps,55.523043333333334,37.509611666666665,1,8.1,1,174.79999999999998,1,0.0,1,0.0,1779995437000,885965653593218
885966709,gps,55.523063333333326,37.5096,1,8.1,1,171.4,1,0.0,1,0.0,1779995438000,885966650195295
885967705,gps,55.52308333333334,37.50958666666667,1,8.1,1,168.2,1,0.0,1,0.0,1779995439000,885967649901219
885968715,gps,55.523105,37.50957166666667,1,8.0,1,169.6,1,0.0,1,0.0,1779995440000,885968649979065
885969713,gps,55.52311833333333,37.50955166666667,1,8.1,1,170.79999999999998,1,0.0,1,0.0,1779995441000,885969650660526
885970722,gps,55.523125,37.50955166666667,1,8.1,1,171.2,1,0.0,1,0.0,1779995442000,885970651943680
885971713,gps,55.52312833333334,37.50956333333333,1,8.1,1,169.29999999999998,1,0.0,1,0.0,1779995443000,885971651813526
885972715,gps,55.52312666666667,37.509585,1,8.1,1,168.5,1,0.0,1,0.0,1779995444000,885972651029527
885973716,gps,55.523123333333324,37.509618333333336,1,8.1,1,168.5,1,0.0,1,0.0,1779995445000,885973651138988
885974712,gps,55.52311833333333,37.509654999999995,1,8.2,1,167.6,1,0.0,1,0.0,1779995446000,885974650720604
885975699,network,55.5231155,37.5097612,1,15.84,1,187.40000915527344,0,0.0,0,0.0,1779995443699,885972341000000
885975701,gps,55.523108333333326,37.50971166666667,1,8.2,1,170.5,1,0.0,1,0.0,1779995447000,885975648643988
885976705,gps,55.52310166666666,37.509725,1,8.2,1,171.2,1,0.0,1,0.0,1779995448000,885976650094681
885977708,gps,55.52310166666666,37.50971833333333,1,8.3,1,172.5,1,0.0,1,0.0,1779995449000,885977651675988
885978710,gps,55.52310166666666,37.50972,1,8.3,1,173.6,1,0.0,1,0.0,1779995450000,885978650857219
885979711,gps,55.52306166666667,37.509885000000004,1,8.3,1,181.29999999999998,1,0.0,1,0.0,1779995451000,885979651164527
885980704,gps,55.52306166666667,37.509885000000004,1,8.1,1,182.1,1,0.0,1,0.0,1779995452000,885980650028296
885981710,gps,55.52306166666667,37.509885000000004,1,8.1,1,182.4,1,0.0,1,0.0,1779995453000,885981650664219
885982710,gps,55.52306166666667,37.509885000000004,1,8.1,1,180.0,1,0.0,1,0.0,1779995454000,885982652236219
885983705,gps,55.52304833333333,37.50984833333334,1,8.0,1,181.0,1,0.0,1,0.0,1779995455000,885983650298681
885984697,gps,55.52305500000001,37.509879999999995,1,8.0,1,180.7,1,0.0,1,0.0,1779995456000,885984646744220
