qmc6308,qst,2026-05-28_22-10-22.697_Active 10 Pro
imuTimestamp,accuracy(more=better),mfield_x[uT],mfield_y[uT],mfield_z[uT]
885954317,3,8.6625,48.16875,-13.875001
885954337,3,9.5625,48.15,-13.762501
885954357,3,9.993751,48.24375,-14.137501
885954377,3,11.56875,48.656254,-14.231251
885954397,3,11.981251,48.675003,-13.687501
885954418,3,11.19375,48.375004,-12.900001
885954439,3,11.53125,48.487503,-13.275001
885954459,3,10.9125,48.393753,-13.181251
885954479,3,11.4375,48.581253,-12.76875
885954499,3,10.725,48.581253,-13.181251
885954519,3,10.8,48.393753,-12.993751
885954539,3,10.425,48.581253,-12.20625
885954559,3,9.918751,48.2625,-11.962501
885954579,3,9.731251,48.24375,-12.093751
885954599,3,9.731251,48.16875,-11.681251
885954619,3,9.4125,48.15,-11.587501
885954639,3,9.39375,48.15,-11.587501
885954659,3,9.3,48.15,-11.56875
885954679,3,9.28125,48.131252,-11.587501
885954699,3,9.262501,48.15,-11.606251
885954719,3,9.262501,48.15,-11.6625
885954739,3,9.243751,48.15,-11.75625
885954759,3,9.243751,48.187504,-11.83125
885954779,3,9.225,48.187504,-11.90625
885954799,3,9.225,48.16875,-11.962501
885954819,3,9.243751,48.16875,-12.01875
885954839,3,9.225,48.187504,-12.093751
885954859,3,9.225,48.16875,-12.13125
885954879,3,9.243751,48.187504,-12.13125
885954899,3,9.243751,48.187504,-12.13125
885954919,3,9.3,48.187504,-12.150001
885954939,3,9.356251,48.206253,-12.150001
885954959,3,9.4875,48.206253,-12.150001
885954979,3,9.5625,48.225002,-12.168751
885954999,3,9.6,48.206253,-12.150001
885955019,3,9.65625,48.206253,-12.1125
885955039,3,9.675,48.187504,-12.056251
885955059,3,9.637501,48.15,-12.0375
885955079,3,9.618751,48.15,-12.0375
885955099,3,9.6,48.16875,-12.0375
885955119,3,9.58125,48.16875,-12.0375
885955139,3,9.618751,48.15,-12.01875
885955159,3,9.618751,48.15,-12.056251
885955179,3,9.58125,48.15,-12.13125
885955199,3,9.543751,48.16875,-12.187501
885955219,3,9.46875,48.15,-12.225
885955239,3,9.4125,48.131252,-12.3
885955259,3,9.31875,48.131252,-12.356251
885955278,3,9.225,48.131252,-12.39375
885955298,3,9.075001,48.131252,-12.431251
885955319,3,9.0,48.131252,-12.4875
885955339,3,8.962501,48.15,-12.525001
885955359,3,8.981251,48.15,-12.525001
885955379,3,9.0375,48.15,-12.525001
885955399,3,9.09375,48.15,-12.543751
885955419,3,9.1875,48.131252,-12.58125
885955439,3,9.337501,48.131252,-12.6
885955459,3,9.5625,48.131252,-12.618751
885955479,3,9.900001,48.093754,-12.6
885955499,3,10.293751,48.037502,-12.6
885955519,3,10.78125,48.0,-12.618751
885955539,3,11.34375,47.925003,-12.656251
885955559,3,12.0,47.850002,-12.69375
885955579,3,12.712501,47.71875,-12.712501
885955599,3,13.63125,47.5875,-12.76875
885955619,3,14.55,47.4375,-12.806251
885955639,3,15.50625,47.287502,-12.843751
885955659,3,16.518751,47.1375,-12.900001
885955679,3,17.475,46.96875,-12.975
885955699,3,18.243752,46.8375,-13.012501
885955719,3,18.806252,46.7625,-13.05
885955739,3,19.125,46.725002,-13.106251
885955759,3,19.10625,46.7625,-13.14375
885955779,3,18.581251,46.875,-13.218751
885955799,3,17.4375,47.025,-13.25625
885955819,3,15.543751,47.100002,-13.33125
885955839,3,12.900001,46.893753,-13.33125
885955859,3,9.543751,46.256252,-13.312501
885955879,3,5.64375,44.943752,-13.25625
