orientation,mtk,2026-05-28_22-10-22.697_Active 10 Pro
imuTimestamp,accuracy(more=better),azimuth[deg],pitch[deg],roll[deg]
885954522,3,349.4101,-1.572997,-1.648778
885954532,3,348.83533,-1.641116,-1.690789
885954542,3,348.393,-1.629981,-1.638201
885954552,3,348.05295,-1.617141,-1.637506
885954562,3,347.70532,-1.657299,-1.610468
885954572,3,347.4048,-1.561785,-1.70186
885954582,3,347.73154,-1.532875,-1.666123
885954592,3,347.85315,-1.599605,-1.664726
885954603,3,348.0029,-1.627828,-1.67703
885954613,3,348.25986,-1.615589,-1.691371
885954623,3,348.3924,-1.616482,-1.690397
885954633,3,348.432,-1.617867,-1.688519
885954643,3,348.50146,-1.617361,-1.688478
885954653,3,348.5589,-1.617322,-1.687505
885954663,3,348.61844,-1.618254,-1.686107
885954673,3,348.66348,-1.618214,-1.686066
885954683,3,348.72565,-1.615897,-1.687479
885954693,3,348.74512,-1.615365,-1.687876
885954703,3,348.764,-1.616737,-1.685985
885954713,3,348.78345,-1.615766,-1.685479
885954723,3,348.8022,-1.615805,-1.684588
885954733,3,348.81448,-1.614433,-1.682754
885954744,3,348.82227,-1.613502,-1.682289
885954754,3,348.8278,-1.612143,-1.682331
885954764,3,348.83374,-1.610745,-1.680935
885954774,3,348.84012,-1.611198,-1.679523
885954784,3,348.84555,-1.611585,-1.679907
885954794,3,348.85077,-1.609281,-1.679004
885954804,3,348.85425,-1.609643,-1.676566
885954814,3,348.85507,-1.608763,-1.67243
885954824,3,348.85388,-1.608258,-1.671924
885954834,3,348.85446,-1.608298,-1.670567
885954844,3,348.85602,-1.606381,-1.669583
885954854,3,348.85736,-1.605475,-1.671008
885954864,3,348.85797,-1.606808,-1.669542
885954875,3,348.85648,-1.606834,-1.669103
885954885,3,348.85455,-1.604491,-1.66816
885954895,3,348.85306,-1.604117,-1.669187
885954905,3,348.8526,-1.605101,-1.670172
885954915,3,348.84808,-1.603612,-1.668681
885954925,3,348.83752,-1.601748,-1.666354
885954935,3,348.82278,-1.60035,-1.665423
885954945,3,348.8043,-1.60004,-1.666518
885954955,3,348.77765,-1.600493,-1.667436
885954965,3,348.74283,-1.597218,-1.66789
885954975,3,348.70312,-1.59349,-1.664633
885954985,3,348.6596,-1.591108,-1.662252
885954995,3,348.61618,-1.588921,-1.659607
885955005,3,348.574,-1.589814,-1.663758
885955016,3,348.53168,-1.592493,-1.665497
885955026,3,348.49042,-1.591082,-1.66595
885955036,3,348.45636,-1.591962,-1.665896
885955046,3,348.43063,-1.589607,-1.668665
885955056,3,348.4132,-1.597179,-1.669713
885955066,3,348.40094,-1.598382,-1.668576
885955076,3,348.39297,-1.593554,-1.667938
