spl07,goermicro,2026-05-28_22-10-22.697_Active 10 Pro
imuTimestamp,accuracy(more=better),pressure[millibar]
885954481,3,977.25995
885954581,3,977.25995
885954681,3,977.25995
885954781,3,977.25995
885954881,3,977.25995
885954981,3,977.25995
885955081,3,977.25
885955181,3,977.25
885955281,3,977.25
885955381,3,977.25
885955481,3,977.24
885955581,3,977.24
885955681,3,977.24
885955781,3,977.22
885955881,3,977.25995
885955981,3,977.25
885956081,3,977.25
885956181,3,977.26996
885956281,3,977.25995
885956381,3,977.26996
885956481,3,977.23
885956581,3,977.22
885956681,3,977.19
885956781,3,977.19
885956881,3,977.18
885956981,3,977.18
885957081,3,977.20996
885957181,3,977.23
885957281,3,977.25
885957381,3,977.22
885957481,3,977.24
885957581,3,977.25995
885957681,3,977.26996
885957781,3,977.25995
885957881,3,977.25995
885957981,3,977.26996
885958081,3,977.25995
885958181,3,977.26996
885958281,3,977.25995
885958381,3,977.26996
885958481,3,977.25995
885958581,3,977.25995
885958681,3,977.25
885958781,3,977.24
885958881,3,977.25
885958981,3,977.25995
885959081,3,977.25995
885959181,3,977.25
885959281,3,977.25
885959381,3,977.24
885959481,3,977.24
885959581,3,977.25
885959681,3,977.25
885959781,3,977.26996
885959881,3,977.29
885959981,3,977.25995
885960081,3,977.26996
885960181,3,977.26996
885960281,3,977.26996
885960381,3,977.25
885960481,3,977.25995
885960581,3,977.27997
885960681,3,977.24
885960781,3,977.25
885960881,3,977.25995
885960981,3,977.25995
885961081,3,977.27997
885961181,3,977.29
885961281,3,977.29
885961381,3,977.26996
885961481,3,977.24
885961581,3,977.25
885961681,3,977.25995
885961781,3,977.27997
885961881,3,977.26996
885961981,3,977.24
885962081,3,977.23
885962181,3,977.23
885962281,3,977.25
885962381,3,977.25995
885962481,3,977.25995
885962581,3,977.25995
885962681,3,977.25995
885962781,3,977.23
885962881,3,977.16
885962981,3,977.39996
885963081,3,977.44995
885963181,3,977.43
885963281,3,977.13995
885963381,3,977.01996
885963481,3,976.94995
885963581,3,976.8
885963681,3,976.79
885963781,3,976.81995
885963881,3,976.81995
885963981,3,976.81
885964081,3,976.85
885964181,3,976.85
885964281,3,976.94995
885964381,3,976.99
885964481,3,977.11
885964581,3,977.11
885964681,3,977.22
885964781,3,977.3
885964881,3,977.38995
885964981,3,977.49
885965081,3,977.52997
885965181,3,977.55
885965281,3,977.5
885965381,3,977.51996
885965481,3,977.38995
885965581,3,977.49
885965681,3,977.6
885965781,3,977.13995
885965881,3,977.17
885965981,3,977.11
885966081,3,977.06995
885966181,3,976.98
885966281,3,977.00995
885966381,3,976.97
885966481,3,976.95996
885966581,3,976.95996
885966681,3,976.99
885966781,3,977.1
885966881,3,977.08997
885966981,3,977.25
885967081,3,977.31995
885967181,3,977.38
885967281,3,977.29
885967381,3,977.18
885967481,3,977.22
885967581,3,977.13
885967681,3,977.06995
885967781,3,977.01996
885967881,3,977.01996
885967981,3,976.97
885968081,3,976.95996
885968181,3,976.83997
885968281,3,976.85
885968381,3,976.81995
885968481,3,976.66
885968581,3,976.50995
885968681,3,976.55
885968781,3,976.74
885968881,3,976.73
885968981,3,976.61
885969081,3,976.62
885969181,3,976.69995
885969281,3,976.72
885969381,3,976.74
885969481,3,976.5
885969581,3,976.72
885969681,3,976.91
885969781,3,976.74
885969881,3,976.49
885969981,3,976.58997
885970081,3,976.88
885970181,3,976.61
885970281,3,976.43
885970381,3,976.87
885970481,3,976.98
885970581,3,976.73
885970681,3,976.52997
885970781,3,976.75
885970881,3,977.02997
885970981,3,976.87
885971081,3,976.50995
885971181,3,976.99
885971281,3,976.97
885971381,3,976.85
885971481,3,976.86
885971581,3,976.91
885971681,3,977.04
885971781,3,977.1
885971881,3,977.19995
885971981,3,977.19
885972081,3,977.29
885972181,3,977.26996
885972281,3,977.29
885972381,3,977.27997
885972481,3,977.41
885972581,3,977.42
885972681,3,977.5
885972781,3,977.55
885972881,3,977.55
885972981,3,977.56
885973081,3,977.44995
885973181,3,977.43
885973281,3,977.35
885973381,3,977.31995
885973481,3,977.42
885973581,3,977.61
885973681,3,977.79
885973781,3,977.99
885973881,3,977.99
885973981,3,977.98
885974081,3,977.75995
885974181,3,977.61
885974281,3,977.64996
885974381,3,977.69995
885974481,3,977.67
885974581,3,977.69
885974681,3,977.64996
885974781,3,977.64996
885974881,3,977.61
885974981,3,977.51996
885975081,3,977.50995
885975181,3,977.5
885975281,3,977.6
885975381,3,977.72
885975481,3,977.57996
885975581,3,977.87
885975681,3,978.13
885975781,3,978.31995
885975881,3,978.29
885975981,3,978.3
885976081,3,978.25995
885976181,3,978.38995
885976281,3,978.38995
885976381,3,978.3
885976481,3,978.18
885976581,3,978.16
885976681,3,978.18
885976781,3,978.14996
885976881,3,978.13995
885976981,3,978.04
885977081,3,978.02997
885977181,3,978.02997
885977281,3,978.18
885977381,3,978.23
885977481,3,978.19
885977581,3,978.14996
885977681,3,978.11
885977781,3,978.1
885977881,3,978.14996
885977981,3,978.24
885978081,3,978.32996
885978181,3,978.39996
885978281,3,978.68
885978381,3,978.77997
885978481,3,978.27997
885978581,3,976.73
885978681,3,976.70996
885978781,3,976.70996
885978881,3,976.69995
885978981,3,979.17
885979081,3,976.54
885979181,3,976.58997
885979281,3,976.94
885979381,3,976.79
885979481,3,976.70996
885979581,3,976.83997
885979681,3,976.77997
885979781,3,976.76996
885979881,3,976.79
885979981,3,976.8
885980081,3,976.8
885980181,3,976.81
885980281,3,976.81995
885980381,3,976.81995
885980481,3,976.83997
885980581,3,976.83997
885980681,3,976.85
885980781,3,976.85
885980881,3,976.86
885980981,3,976.87
885981081,3,976.87
885981181,3,976.88
885981281,3,976.88995
885981381,3,976.88995
885981481,3,976.89996
885981581,3,976.89996
885981681,3,976.91
885981781,3,976.92
885981881,3,976.92
885981981,3,976.93
885982081,3,976.94
885982181,3,976.94
885982281,3,976.94995
885982381,3,976.94995
885982481,3,976.94995
885982581,3,976.95996
885982681,3,976.97
885982781,3,976.97
885982881,3,976.97
885982981,3,976.98
885983081,3,976.98
885983181,3,976.99
885983281,3,976.99
885983381,3,976.99
885983481,3,976.98
885983581,3,977.08997
885983681,3,977.44995
885983781,3,977.64996
885983881,3,977.74
885983981,3,977.48
885984081,3,977.06995
885984181,3,976.88
885984281,3,977.13
885984381,3,977.06
885984481,3,977.01996
885984581,3,977.13
885984681,3,977.05
