rot_vec,mtk,2026-05-28_22-10-22.697_Active 10 Pro
imuTimestamp,accuracy(more=better),x*sin(a/2)[],y*sin(a/2)[],z*sin(a/2)[],cos(a/2)[],heading_accuracy[rad]
885954451,3,0.015832,-0.013371,0.10691,0.994052,0.0
885954462,3,0.015434,-0.012844,0.106335,0.994127,0.0
885954472,3,0.014942,-0.013028,0.113913,0.993292,0.0
885954482,3,0.01582,-0.012364,0.111104,0.993605,0.0
885954492,3,0.014927,-0.012635,0.107244,0.99404,0.0
885954502,3,0.015308,-0.013137,0.104012,0.994371,0.0
885954512,3,0.015376,-0.012874,0.103368,0.99444,0.0
885954522,3,0.015155,-0.012861,0.105481,0.994222,0.0
885954532,3,0.015874,-0.013102,0.109958,0.993723,0.0
885954542,3,0.015589,-0.012766,0.101311,0.99465,0.0
885954552,3,0.015398,-0.012886,0.094995,0.995275,0.0
885954562,3,0.015769,-0.01257,0.097359,0.995044,0.0
885954572,3,0.014953,-0.013513,0.095482,0.995227,0.0
885954582,3,0.014688,-0.013188,0.095344,0.995248,0.0
885954592,3,0.015283,-0.013144,0.094352,0.995334,0.0
885954603,3,0.015543,-0.013213,0.09562,0.995208,0.0
885954613,3,0.015424,-0.011998,0.095791,0.995209,0.0
885954623,3,0.015323,-0.01089,0.095721,0.99523,0.0
885954633,3,0.015231,-0.009794,0.095825,0.995233,0.0
885954643,3,0.015118,-0.008763,0.095774,0.995249,0.0
885954653,3,0.014995,-0.007936,0.095017,0.99533,0.0
885954663,3,0.014889,-0.007107,0.094443,0.995393,0.0
885954673,3,0.014788,-0.006187,0.094366,0.995408,0.0
885954683,3,0.014671,-0.00525,0.094471,0.995405,0.0
885954693,3,0.014582,-0.004358,0.094548,0.995403,0.0
885954703,3,0.014517,-0.00355,0.094541,0.995408,0.0
885954713,3,0.014429,-0.002759,0.09454,0.995412,0.0
885954723,3,0.01435,-0.00199,0.094551,0.995414,0.0
885954733,3,0.01426,-0.00128,0.094551,0.995417,0.0
885954744,3,0.01418,-6.1E-4,0.094442,0.995429,0.0
885954754,3,0.014103,1.22E-4,0.094541,0.995421,0.0
885954764,3,0.014022,7.22E-4,0.094513,0.995424,0.0
885954774,3,0.013963,0.00132,0.094464,0.995429,0.0
885954784,3,0.013909,0.001937,0.094486,0.995427,0.0
885954794,3,0.013836,0.002495,0.094437,0.995431,0.0
885954804,3,0.013789,0.003068,0.094604,0.995414,0.0
885954814,3,0.013732,0.003631,0.094865,0.995388,0.0
885954824,3,0.013675,0.004148,0.094927,0.995381,0.0
885954834,3,0.013628,0.004585,0.094727,0.995399,0.0
885954844,3,0.013561,0.004995,0.094511,0.995418,0.0
885954854,3,0.013507,0.005446,0.094412,0.995426,0.0
885954864,3,0.013485,0.005893,0.094491,0.995416,0.0
885954875,3,0.013447,0.006341,0.094669,0.995397,0.0
885954885,3,0.013383,0.006774,0.094836,0.995379,0.0
885954895,3,0.013346,0.007205,0.09499,0.995362,0.0
885954905,3,0.01333,0.007592,0.095072,0.995352,0.0
885954915,3,0.013282,0.00799,0.095331,0.995325,0.0
885954925,3,0.013241,0.00836,0.095579,0.995298,0.0
885954935,3,0.013213,0.008723,0.095873,0.995267,0.0
885954945,3,0.013177,0.009106,0.096116,0.995241,0.0
885954955,3,0.013157,0.009436,0.096291,0.995221,0.0
885954965,3,0.01311,0.009784,0.0966,0.995188,0.0
885954975,3,0.013048,0.010109,0.096973,0.99515,0.0
885954985,3,0.012978,0.010395,0.097135,0.995132,0.0
885954995,3,0.012937,0.010636,0.097172,0.995126,0.0
885955005,3,0.012944,0.010914,0.097207,0.99512,0.0
885955016,3,0.012933,0.011177,0.097296,0.995108,0.0
885955026,3,0.012901,0.011412,0.097378,0.995098,0.0
885955036,3,0.012879,0.011603,0.097349,0.995099,0.0
885955046,3,0.012817,0.011763,0.09707,0.995125,0.0
885955056,3,0.012859,0.01187,0.096641,0.995165,0.0
885955066,3,0.012834,0.011904,0.096121,0.995215,0.0
885955076,3,0.012774,0.011933,0.095608,0.995265,0.0
885955086,3,0.012764,0.012034,0.095185,0.995304,0.0
885955096,3,0.012766,0.012096,0.094851,0.995336,0.0
885955106,3,0.012814,0.012236,0.094572,0.99536,0.0
885955116,3,0.012795,0.012326,0.09448,0.995368,0.0
885955126,3,0.012682,0.012489,0.094621,0.995354,0.0
885955136,3,0.01273,0.012668,0.094639,0.995349,0.0
885955146,3,0.012721,0.012755,0.094593,0.995353,0.0
885955157,3,0.012703,0.012833,0.094452,0.995365,0.0
885955167,3,0.012661,0.012904,0.094252,0.995384,0.0
885955177,3,0.012646,0.012942,0.093997,0.995408,0.0
885955187,3,0.012643,0.013056,0.093805,0.995424,0.0
885955197,3,0.012628,0.013154,0.093618,0.995441,0.0
885955207,3,0.01261,0.013236,0.093404,0.99546,0.0
885955217,3,0.012561,0.013316,0.093118,0.995486,0.0
885955227,3,0.012504,0.013413,0.092843,0.995511,0.0
885955237,3,0.012561,0.013533,0.092643,0.995528,0.0
885955247,3,0.012432,0.013467,0.092418,0.995551,0.0
885955257,3,0.012448,0.013576,0.092088,0.99558,0.0
885955267,3,0.012429,0.013566,0.091729,0.995614,0.0
885955277,3,0.012415,0.013569,0.091431,0.995641,0.0
885955288,3,0.012439,0.013615,0.09105,0.995675,0.0
885955298,3,0.012395,0.013508,0.090245,0.99575,0.0
885955308,3,0.012435,0.013392,0.089476,0.995821,0.0
885955318,3,0.012744,0.013182,0.089235,0.995841,0.0
885955328,3,0.013414,0.012733,0.08958,0.995807,0.0
885955338,3,0.014213,0.012007,0.090323,0.995738,0.0
885955348,3,0.015116,0.011141,0.091544,0.995623,0.0
885955358,3,0.016046,0.010212,0.093226,0.995463,0.0
885955368,3,0.016958,0.009418,0.095399,0.99525,0.0
885955378,3,0.01776,0.008828,0.098082,0.99498,0.0
885955388,3,0.018382,0.008329,0.10105,0.994676,0.0
885955398,3,0.0189,0.007865,0.104325,0.994332,0.0
885955408,3,0.019472,0.007456,0.107909,0.993942,0.0
885955418,3,0.02009,0.007101,0.111862,0.993495,0.0
885955429,3,0.02069,0.006784,0.11617,0.99299,0.0
885955439,3,0.021159,0.006517,0.120875,0.99242,0.0
885955449,3,0.021474,0.006302,0.12572,0.991813,0.0
885955459,3,0.021732,0.006189,0.130833,0.991146,0.0
885955469,3,0.021799,0.006138,0.136084,0.990438,0.0
885955479,3,0.021669,0.006261,0.141582,0.989669,0.0
885955489,3,0.021493,0.006491,0.147388,0.988823,0.0
885955499,3,0.021397,0.00675,0.153368,0.987914,0.0
885955509,3,0.021539,0.006924,0.159348,0.986963,0.0
885955519,3,0.021746,0.007027,0.165191,0.985996,0.0
885955529,3,0.021852,0.007166,0.171313,0.984948,0.0
885955539,3,0.021836,0.007439,0.177629,0.983827,0.0
885955549,3,0.021659,0.007731,0.183654,0.982721,0.0
885955559,3,0.021242,0.00813,0.189748,0.981569,0.0
885955570,3,0.020654,0.008567,0.19556,0.980436,0.0
885955580,3,0.019874,0.009085,0.201181,0.97931,0.0
885955590,3,0.018863,0.009621,0.206474,0.978222,0.0
885955600,3,0.017539,0.010395,0.211608,0.977141,0.0
885955610,3,0.015897,0.01144,0.21653,0.976079,0.0
885955620,3,0.013875,0.012301,0.22055,0.975199,0.0
885955630,3,0.011389,0.013039,0.223484,0.974553,0.0
885955640,3,0.008124,0.013772,0.225403,0.974134,0.0
885955650,3,0.003604,0.0144,0.225952,0.974025,0.0
885955660,3,-0.001268,0.014713,0.22482,0.974288,0.0
885955670,3,-0.005359,0.014353,0.22223,0.974873,0.0
885955680,3,-0.007759,0.014521,0.218429,0.975713,0.0
885955690,3,-0.009994,0.014351,0.212348,0.977037,0.0
885955700,3,-0.012683,0.014124,0.204092,0.978767,0.0
885955711,3,-0.01602,0.013867,0.19349,0.980873,0.0
885955721,3,-0.020556,0.013015,0.179217,0.983508,0.0
885955731,3,-0.025776,0.011549,0.161762,0.986425,0.0
885955741,3,-0.029992,0.009214,0.140275,0.989615,0.0
885955751,3,-0.033095,0.006235,0.115116,0.992781,0.0
885955761,3,-0.035403,0.004715,0.084802,0.995757,0.0
885955771,3,-0.03609,0.002786,0.050902,0.998047,0.0
885955781,3,-0.036773,1.22E-4,0.012736,0.999242,0.0
885955791,3,-0.037652,-0.002309,-0.030145,0.998833,0.0
885955801,3,-0.038293,-0.004801,-0.076645,0.996311,0.0
885955811,3,-0.039132,-0.008364,-0.128968,0.990841,0.0
885955821,3,-0.03935,-0.010943,-0.183008,0.982262,0.0
885955831,3,-0.039396,-0.013817,-0.23924,0.970062,0.0
885955842,3,-0.039564,-0.016889,-0.294787,0.954594,0.0
885955852,3,-0.039514,-0.021012,-0.351309,0.935189,0.0
885955862,3,-0.039612,-0.024374,-0.405594,0.912868,0.0
885955872,3,-0.038207,-0.027642,-0.45884,0.887266,0.0
885955882,3,-0.03708,-0.030315,-0.508211,0.859899,0.0
885955892,3,-0.036284,-0.033736,-0.555478,0.830053,0.0
885955902,3,-0.034802,-0.037189,-0.5999,0.798451,0.0
885955912,3,-0.032964,-0.03931,-0.63952,0.76706,0.0
885955922,3,-0.031356,-0.04148,-0.675709,0.735331,0.0
885955932,3,-0.031023,-0.042231,-0.707175,0.705093,0.0
885955942,3,-0.031673,-0.041588,-0.733774,0.677378,0.0
885955952,3,-0.033987,-0.038932,-0.754953,0.653738,0.0
885955962,3,-0.038264,-0.033848,-0.769769,0.636274,0.0
885955972,3,-0.043579,-0.02732,-0.77747,0.626813,0.0
885955983,3,-0.045533,-0.025099,-0.773489,0.631672,0.0
885955993,3,-0.036754,-0.042851,-0.764873,0.641702,0.0
885956003,3,-0.013357,-0.071686,-0.774176,0.628755,0.0
885956013,3,-0.00887,-0.082878,-0.79297,0.60353,0.0
885956023,3,-0.019581,-0.088376,-0.810554,0.578625,0.0
885956033,3,-0.044797,-0.096609,-0.828717,0.549442,0.0
885956043,3,-0.077434,-0.105514,-0.846951,0.515308,0.0
885956053,3,-0.125398,-0.117322,-0.864162,0.473004,0.0
885956063,3,-0.160605,-0.123624,-0.881343,0.426797,0.0
885956073,3,-0.193233,-0.127239,-0.897718,0.374929,0.0
885956083,3,-0.234064,-0.130574,-0.908345,0.321048,0.0
885956093,3,-0.256464,-0.12973,-0.92024,0.265619,0.0
885956103,3,-0.273832,-0.127587,-0.929867,0.209961,0.0
885956113,3,-0.286153,-0.124283,-0.937487,0.154232,0.0
885956124,3,-0.293297,-0.120397,-0.943108,0.100133,0.0
885956134,3,-0.296644,-0.116761,-0.946569,0.048736,0.0
885956144,3,-0.295942,-0.113172,-0.948477,9.13E-4,0.0
