icm4n607_acc,iven_sense,2026-06-11_18-56-46.727_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_x[m/s^2],acc_y[m/s^2],acc_z[m/s^2],utcTimestamp(millis)
2083938322,3,0.555,8.842051,4.34205,1781193409898
2083938332,3,0.53805,8.875951,4.1119504,1781193409909
2083938342,3,0.50205004,8.93595,4.05705,1781193409919
2083938352,3,0.52395004,8.95005,4.2460504,1781193409929
2083938362,3,0.44505003,9.07005,4.512,1781193409940
2083938372,3,0.39705002,9.17805,4.63395,1781193409950
2083938383,3,0.363,9.217951,4.5550504,1781193409961
2083938393,3,0.33705002,9.184951,4.4430003,1781193409969
2083938403,3,0.33705002,9.142051,4.26105,1781193409979
2083938413,3,0.39195,9.040951,4.191,1781193409989
2083938423,3,0.39195,9.027,4.32795,1781193409999
2083938433,3,0.23700002,9.099,4.47795,1781193410010
2083938443,3,0.246,9.007951,4.7299504,1781193410020
2083938453,3,0.25995,8.89995,4.9549503,1781193410030
2083938463,3,0.30600002,8.719951,5.09595,1781193410040
2083938473,3,0.28695002,8.6650505,5.118,1781193410049
2083938483,3,0.30105,8.658,4.96005,1781193410060
2083938493,3,0.36600003,8.656051,4.83795,1781193410069
2083938503,3,0.32505003,8.72295,4.79895,1781193410080
2083938514,3,0.29895002,8.727,4.7590504,1781193410090
2083938524,3,0.31800002,8.719951,4.617,1781193410100
2083938534,3,0.294,8.727,4.3560004,1781193410110
2083938544,3,0.31605002,8.719951,4.01595,1781193410121
2083938554,3,0.342,8.706,3.7530003,1781193410131
2083938564,3,0.33,8.74695,3.75795,1781193410141
2083938574,3,0.36105,8.65305,4.0669503,1781193410151
2083938584,3,0.31095,8.64105,4.4380503,1781193410162
2083938594,3,0.31605002,8.577001,4.701,1781193410172
2083938604,3,0.342,8.497951,4.761,1781193410183
2083938614,3,0.38295,8.41605,4.71105,1781193410191
2083938624,3,0.37800002,8.43105,4.62405,1781193410202
2083938634,3,0.34905002,8.493,4.656,1781193410211
2083938645,3,0.25095,8.598001,4.8229504,1781193410221
2083938655,3,0.201,8.72295,5.0989504,1781193410233
2083938665,3,0.17205001,8.809051,5.18505,1781193410241
2083938675,3,0.21300001,8.814,5.142,1781193410252
2083938685,3,0.186,8.842051,4.881,1781193410263
2083938695,3,0.21495001,8.83005,4.44495,1781193410273
2083938705,3,0.26505002,8.811001,4.1719503,1781193410283
2083938715,3,0.25800002,8.814,4.12605,1781193410293
2083938725,3,0.246,8.85,4.48605,1781193410302
2083938735,3,0.22905001,8.854051,4.9549503,1781193410314
2083938745,3,0.21495001,8.883,5.1940503,1781193410323
2083938755,3,0.165,8.995951,5.0869503,1781193410333
2083938765,3,0.124050006,9.08205,4.668,1781193410343
2083938775,3,0.124050006,9.142051,4.263,1781193410353
2083938786,3,0.17400001,9.055051,4.05705,1781193410365
2083938796,3,0.18900001,8.976001,4.05705,1781193410374
2083938806,3,0.162,8.95995,4.32,1781193410385
2083938816,3,0.126,9.03195,4.57905,1781193410395
2083938826,3,0.016050002,9.199051,4.7130003,1781193410404
2083938836,3,-0.009000001,9.312,4.63605,1781193410414
2083938846,3,-0.00705,9.23295,4.5220504,1781193410424
2083938856,3,-0.0139500005,9.18,4.4110503,1781193410433
2083938866,3,-0.010950001,9.108001,4.3660502,1781193410445
2083938876,3,0.01905,9.09105,4.3969502,1781193410454
2083938886,3,-0.0139500005,9.17805,4.4380503,1781193410465
2083938896,3,-0.021000002,9.228001,4.431,1781193410474
2083938906,3,-0.034950003,9.217951,4.4230504,1781193410486
2083938917,3,0.0,9.160951,4.3110003,1781193410496
2083938927,3,0.01905,9.084001,4.2319503,1781193410504
2083938937,3,-0.07395,9.168,4.0690503,1781193410515
2083938947,3,-0.08295,9.23505,3.9469502,1781193410525
2083938957,3,-0.043050002,9.22305,3.9450002,1781193410536
2083938967,3,-0.031050002,9.168,4.04505,1781193410544
2083938977,3,-0.009000001,9.051001,4.24095,1781193410555
2083938987,3,-0.03795,8.95005,4.452,1781193410564
2083938997,3,0.0,8.81805,4.5480003,1781193410575
2083939007,3,0.064050004,8.78505,4.5529504,1781193410584
2083939017,3,0.076050006,8.751,4.5480003,1781193410594
2083939027,3,0.117000006,8.680051,4.51905,1781193410604
2083939037,3,0.10695001,8.674951,4.3660502,1781193410614
2083939047,3,0.126,8.65305,4.23705,1781193410624
2083939058,3,0.10695001,8.766001,4.18905,1781193410634
2083939068,3,0.093,8.964001,4.1410503,1781193410645
2083939078,3,0.081,9.154051,4.02105,1781193410655
2083939088,3,0.102000006,9.19005,3.9060001,1781193410666
2083939098,3,0.105000004,9.123,3.9160502,1781193410675
2083939108,3,0.12900001,9.048,3.9130502,1781193410685
2083939118,3,0.17400001,9.043051,3.9400501,1781193410695
2083939128,3,0.19800001,9.09405,3.9760501,1781193410705
2083939138,3,0.186,9.184951,3.9060001,1781193410715
2083939148,3,0.177,9.23505,3.801,1781193410727
2083939158,3,0.19800001,9.184951,3.66,1781193410735
2083939168,3,0.282,9.004951,3.8440502,1781193410746
2083939178,3,0.23895001,8.955001,4.1410503,1781193410755
2083939189,3,0.22200002,8.9740505,4.45695,1781193410765
2083939199,3,0.25605002,8.983951,4.584,1781193410775
2083939209,3,0.246,9.055051,4.56495,1781193410787
2083939219,3,0.177,9.154051,4.43295,1781193410797
2083939229,3,0.13095,9.216001,4.1599503,1781193410805
