icm4n607_gyro,iven_sense,2026-06-11_18-56-46.727_Active 10 Pro
imuTimestamp,accuracy(more=better),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
2083938383,3,-0.007425,0.1755875,0.0946
2083938393,3,-0.0138875,0.1628,0.1084875
2083938403,3,-0.0116875,0.1744875,0.119075
2083938413,3,-0.0127875,0.205425,0.11275
2083938423,3,-0.0116875,0.2330625,0.089237496
2083938433,3,-0.01485,0.238425,0.0721875
2083938443,3,-0.01485,0.2193125,0.0605
2083938453,3,0.0,0.1841125,0.045649998
2083938463,3,0.027775,0.1351625,0.0286
2083938473,3,0.0650375,0.0829125,0.01265
2083938483,3,0.0906125,0.0306625,-0.0055
2083938493,3,0.0969375,-0.0171875,-0.0290125
2083938503,3,0.0884125,-0.073699996,-0.0512875
2083938514,3,0.0713625,-0.12595,-0.0620125
2083938524,3,0.061875,-0.15675,-0.062975
2083938534,3,0.0628375,-0.150425,-0.05555
2083938544,3,0.059675,-0.102437496,-0.047025
2083938554,3,0.033,-0.031075,-0.048125
2083938564,3,-0.0127875,0.038225,-0.0545875
2083938574,3,-0.056375,0.0807125,-0.056649998
2083938584,3,-0.0724625,0.089237496,-0.0512875
2083938594,3,-0.0532125,0.07975,-0.0290125
2083938604,3,-0.0127875,0.070125,-0.0086624995
2083938614,3,0.0352,0.0743875,0.001925
2083938624,3,0.0746625,0.091437496,-1.375E-4
2083938634,3,0.100099996,0.0988625,-0.015125
2083938645,3,0.109725,0.0818125,-0.031075
2083938655,3,0.11935,0.0297,-0.0396
2083938665,3,0.1247125,-0.047025,-0.0364375
2083938675,3,0.13213749,-0.1205875,-0.032175
2083938685,3,0.1480875,-0.1610125,-0.0268125
2083938695,3,0.160875,-0.149325,-0.0268125
2083938705,3,0.161975,-0.09185,-0.0460625
2083938715,3,0.1640375,-0.0119624995,-0.0790625
2083938725,3,0.1651375,0.038225,-0.1078
2083938735,3,0.1716,0.0221375,-0.12375
2083938745,3,0.1885125,-0.0385,-0.1302125
2083938755,3,0.194975,-0.1194875,-0.12485
2083938765,3,0.1810875,-0.176,-0.117425
2083938775,3,0.15455,-0.176,-0.114125
2083938786,3,0.1332375,-0.12485,-0.1216875
2083938796,3,0.1225125,-0.05555,-0.132275
2083938806,3,0.11715,-0.0077,-0.1408
2083938816,3,0.110825,-0.0023375,-0.1387375
2083938826,3,0.091575,-0.0374,-0.12265
2083938836,3,0.0661375,-0.081125,-0.0961125
2083938846,3,0.042625,-0.102437496,-0.0768625
2083938856,3,0.0363,-0.0939125,-0.065175
2083938866,3,0.0383625,-0.0715,-0.0598125
2083938876,3,0.0372625,-0.056649998,-0.0598125
2083938886,3,0.0287375,-0.0609125,-0.05775
2083938896,3,0.01595,-0.0779625,-0.0407
2083938906,3,0.0138875,-0.0864875,-0.0204875
2083938917,3,0.025575,-0.0748,0.004125
2083938927,3,0.041525,-0.047025,0.0169125
2083938937,3,0.0490875,-0.014025,0.0317625
2083938947,3,0.043725,0.0221375,0.043449998
2083938957,3,0.025575,0.054175,0.0466125
2083938967,3,0.0031625,0.07645,0.0466125
2083938977,3,-0.009625,0.0818125,0.0499125
2083938987,3,-0.0105875,0.069025,0.0573375
2083938997,3,0.007425,0.0488125,0.0669625
2083939007,3,0.0287375,0.0169125,0.0669625
2083939017,3,0.0468875,-0.0257125,0.0605
2083939027,3,0.0798875,-0.0683375,0.051975
