stk3a5x_als,sensortek,2026-06-11_18-56-46.727_Active 10 Pro
imuTimestamp,accuracy(more=better),ambient_brightness[lux]
2083938317,3,5644.0
2083938317,3,5644.0
2083938429,3,6097.0
2083938438,3,6097.0
2083938448,3,6097.0
2083938459,3,6097.0
2083938469,3,6097.0
2083938479,3,6259.0
2083938489,3,6259.0
2083938499,3,6259.0
2083938508,3,6259.0
2083938518,3,6259.0
2083938529,3,6251.0
2083938539,3,6251.0
2083938549,3,6251.0
2083938559,3,6251.0
2083938569,3,6251.0
2083938579,3,6251.0
2083938589,3,6186.0
2083938599,3,6186.0
2083938609,3,6186.0
2083938619,3,6186.0
2083938629,3,6186.0
2083938638,3,6326.0
2083938649,3,6326.0
2083938659,3,6326.0
2083938669,3,6326.0
2083938679,3,6326.0
2083938688,3,6407.0
2083938699,3,6407.0
2083938709,3,6407.0
2083938719,3,6407.0
2083938729,3,6407.0
2083938738,3,6347.0
2083938749,3,6347.0
2083938759,3,6347.0
2083938769,3,6347.0
2083938779,3,6347.0
2083938788,3,6316.0
2083938799,3,6316.0
2083938809,3,6316.0
2083938819,3,6316.0
2083938829,3,6316.0
2083938838,3,6284.0
2083938849,3,6284.0
2083938859,3,6284.0
2083938869,3,6284.0
2083938879,3,6284.0
2083938888,3,6284.0
2083938899,3,6281.0
2083938908,3,6281.0
2083938918,3,6281.0
2083938928,3,6281.0
2083938938,3,6281.0
2083938948,3,6267.0
2083938958,3,6267.0
2083938968,3,6267.0
2083938978,3,6267.0
2083938988,3,6267.0
2083938998,3,6321.0
2083939008,3,6321.0
2083939018,3,6321.0
2083939028,3,6321.0
2083939038,3,6321.0
2083939048,3,6349.0
2083939058,3,6349.0
2083939068,3,6349.0
2083939078,3,6349.0
2083939088,3,6349.0
2083939098,3,6193.0
2083939108,3,6193.0
2083939118,3,6193.0
2083939129,3,6193.0
2083939139,3,6193.0
2083939149,3,6056.0
2083939159,3,6056.0
2083939169,3,6056.0
2083939179,3,6056.0
2083939189,3,6056.0
2083939199,3,6056.0
2083939209,3,6035.0
2083939219,3,6035.0
2083939229,3,6035.0
2083939239,3,6035.0
2083939249,3,6035.0
2083939259,3,5993.0
2083939269,3,5993.0
2083939279,3,5993.0
2083939289,3,5993.0
2083939299,3,5993.0
2083939309,3,6008.0
2083939319,3,6008.0
2083939329,3,6008.0
2083939339,3,6008.0
2083939349,3,6008.0
2083939359,3,6129.0
2083939369,3,6129.0
2083939379,3,6129.0
2083939389,3,6129.0
