qmc6308,qst,2026-06-11_18-56-46.727_Active 10 Pro
imuTimestamp,accuracy(more=better),mfield_x[uT],mfield_y[uT],mfield_z[uT]
2083938343,3,1.06875,-50.268753,18.337502
2083938363,3,1.10625,-50.60625,19.837502
2083938383,3,1.3125,-50.68125,19.650002
2083938403,3,1.9875001,-50.5875,20.41875
2083938424,3,4.33125,-50.100002,20.71875
2083938444,3,3.35625,-50.362503,20.94375
2083938469,3,3.3375,-50.268753,20.643751
2083938489,3,4.9875,-50.081253,20.643751
2083938509,3,2.9625,-50.362503,20.94375
2083938529,3,1.4250001,-50.5875,21.84375
2083938549,3,0.73125005,-50.49375,22.63125
2083938569,3,-0.88125,-50.86875,22.85625
2083938589,3,-0.58125,-50.98125,22.837502
2083938609,3,-0.58125,-51.075,22.95
2083938629,3,-0.3,-50.8875,22.931252
2083938649,3,-0.39375,-50.8875,22.96875
2083938669,3,-0.46875003,-50.906254,22.987501
2083938689,3,-0.46875003,-50.906254,22.96875
2083938709,3,-0.6,-50.943752,23.025002
2083938729,3,-0.73125005,-50.98125,23.0625
2083938749,3,-0.80625004,-51.037502,23.1
2083938769,3,-0.90000004,-51.093754,23.175001
2083938789,3,-0.95625,-51.15,23.25
2083938809,3,-0.99375004,-51.187504,23.34375
2083938829,3,-1.06875,-51.2625,23.456251
2083938849,3,-1.1437501,-51.3375,23.550001
2083938869,3,-1.1812501,-51.393753,23.681252
2083938889,3,-1.06875,-51.43125,23.775002
2083938909,3,-0.93750006,-51.487503,23.8875
2083938929,3,-0.84375006,-51.54375,23.98125
2083938949,3,-0.65625,-51.581253,24.093752
2083938969,3,-0.45000002,-51.600002,24.16875
2083938989,3,-0.31875002,-51.61875,24.281252
2083939009,3,-0.075,-51.6375,24.31875
2083939029,3,0.20625001,-51.61875,24.375002
2083939049,3,0.5625,-51.581253,24.431252
2083939069,3,0.75,-51.600002,24.487501
2083939089,3,0.80625004,-51.61875,24.6
2083939109,3,0.80625004,-51.656254,24.675001
2083939129,3,0.84375006,-51.675003,24.768751
2083939149,3,0.8625,-51.693752,24.862501
2083939169,3,0.88125,-51.73125,24.993752
2083939189,3,0.7875,-51.787502,25.087502
2083939209,3,0.69375,-51.843754,25.2
2083939229,3,0.63750005,-51.881252,25.331251
2083939249,3,0.58125,-51.956253,25.44375
2083939269,3,0.5625,-52.050003,25.593752
2083939289,3,0.50625,-52.125004,25.706251
2083939309,3,0.4875,-52.2,25.837502
2083939329,3,0.46875003,-52.275,25.9125
2083939349,3,0.3375,-52.3875,25.968752
2083939369,3,0.35625002,-52.4625,25.987501
2083939389,3,0.45000002,-52.500004,25.95
2083939409,3,0.5625,-52.575,25.837502
2083939429,3,0.69375,-52.631252,25.7625
2083939449,3,0.84375006,-52.66875,25.650002
2083939469,3,0.95625,-52.725002,25.518751
2083939489,3,0.975,-52.781254,25.462502
2083939509,3,1.03125,-52.800003,25.406252
2083939529,3,1.0125,-52.818752,25.312502
2083939549,3,1.0125,-52.85625,25.218752
2083939569,3,0.99375004,-52.85625,25.125002
2083939589,3,0.975,-52.875004,25.0125
2083939609,3,0.95625,-52.875004,24.900002
2083939629,3,0.90000004,-52.85625,24.806252
2083939649,3,0.8625,-52.8375,24.750002
2083939669,3,0.7875,-52.800003,24.73125
2083939689,3,0.75,-52.781254,24.750002
2083939709,3,0.675,-52.74375,24.862501
2083939729,3,0.54375005,-52.74375,24.937502
2083939749,3,0.4875,-52.725002,25.06875
2083939769,3,0.41250002,-52.725002,25.25625
2083939789,3,0.375,-52.725002,25.5375
2083939809,3,0.31875002,-52.74375,25.931252
2083939829,3,0.3,-52.800003,26.475
2083939849,3,0.24375,-52.8375,27.187502
2083939869,3,0.24375,-52.8375,28.06875
2083939889,3,0.28125,-52.8375,29.175001
2083939909,3,0.24375,-52.818752,30.54375
2083939929,3,0.15,-52.781254,32.15625
2083939949,3,0.112500004,-52.706253,33.881252
2083939969,3,0.13125001,-52.575,35.662502
2083939989,3,0.1875,-52.425003,37.55625
2083940009,3,0.31875002,-52.256252,39.46875
2083940029,3,0.50625,-52.050003,41.4
2083940049,3,0.6,-51.862503,43.29375
2083940069,3,0.675,-51.693752,45.09375
2083940089,3,0.73125005,-51.525,46.6875
2083940109,3,0.75,-51.375004,48.075
2083940129,3,0.7875,-51.24375,49.18125
2083940149,3,0.7875,-51.112503,49.93125
2083940169,3,0.61875004,-51.037502,50.4
2083940189,3,0.31875002,-51.018753,50.568752
2083940209,3,0.09375,-50.98125,50.4
2083940229,3,-0.16875,-50.98125,49.95
2083940249,3,-0.46875003,-51.000004,49.331253
2083940269,3,-0.7875,-51.037502,48.6375
2083940289,3,-1.1625,-51.075,47.8875
2083940309,3,-1.5375,-51.131252,47.11875
2083940329,3,-1.9687501,-51.15,46.350002
2083940349,3,-2.3625002,-51.16875,45.600002
2083940369,3,-2.7375002,-51.112503,44.86875
2083940389,3,-3.075,-51.05625,44.23125
2083940409,3,-3.3937502,-50.925003,43.66875
2083940429,3,-3.6937501,-50.812504,43.18125
2083940449,3,-3.9562502,-50.662502,42.768753
2083940469,3,-4.125,-50.49375,42.46875
2083940489,3,-4.18125,-50.343754,42.16875
2083940509,3,-4.2562504,-50.193752,41.943752
2083940529,3,-4.3125,-50.062504,41.737503
2083940549,3,-4.3875003,-49.93125,41.49375
2083940569,3,-4.4812503,-49.800003,41.2125
2083940589,3,-4.59375,-49.65,40.875
2083940609,3,-4.8,-49.500004,40.4625
