rot_vec,mtk,2026-06-11_18-56-46.727_Active 10 Pro
imuTimestamp,accuracy(more=better),x*sin(a/2)[],y*sin(a/2)[],z*sin(a/2)[],cos(a/2)[],heading_accuracy[rad]
2083938503,3,0.009985,0.508913,0.859365,0.048979,0.0
2083938514,3,7.01E-4,0.510633,0.859251,0.03067,0.0
2083938524,3,-0.005734,0.515858,0.856378,0.021745,0.0
2083938534,3,-0.008169,0.526043,0.850277,0.015474,0.0
2083938544,3,-0.008798,0.53931,0.841893,0.016761,0.0
2083938554,3,-0.015846,0.549483,0.835308,0.008751,0.0
2083938564,3,0.023653,-0.549707,-0.83501,0.004374,0.0
2083938574,3,0.027088,-0.535484,-0.844077,0.007421,0.0
2083938584,3,0.022823,-0.520741,-0.853383,0.006651,0.0
2083938594,3,0.021408,-0.509244,-0.860344,0.004456,0.0
2083938604,3,0.024189,-0.50514,-0.862673,0.006539,0.0
2083938614,3,0.025478,-0.5053,-0.862556,0.004221,0.0
2083938624,3,0.024501,-0.505807,-0.862281,0.005304,0.0
2083938634,3,0.023696,-0.506404,-0.861946,0.006342,0.0
2083938645,3,0.023056,-0.506836,-0.861703,0.007308,0.0
2083938655,3,0.022289,-0.506963,-0.861636,0.008553,0.0
2083938665,3,0.02129,-0.507062,-0.861594,0.009431,0.0
2083938675,3,0.019989,-0.507277,-0.861496,0.009662,0.0
2083938685,3,0.018652,-0.507978,-0.861118,0.009274,0.0
2083938695,3,0.017367,-0.509365,-0.860329,0.008831,0.0
2083938705,3,0.016247,-0.511099,-0.859318,0.009255,0.0
2083938715,3,0.015537,-0.512813,-0.858296,0.010451,0.0
2083938725,3,0.0152,-0.513926,-0.857624,0.011348,0.0
2083938735,3,0.014938,-0.514327,-0.857385,0.011619,0.0
2083938745,3,0.014478,-0.514463,-0.857311,0.011549,0.0
2083938755,3,0.013773,-0.514879,-0.85708,0.011123,0.0
2083938765,3,0.012875,-0.515902,-0.856482,0.010766,0.0
2083938775,3,0.011995,-0.517431,-0.855576,0.010429,0.0
2083938786,3,0.011309,-0.519069,-0.854598,0.010033,0.0
2083938796,3,0.010955,-0.520537,-0.853714,0.00961,0.0
2083938806,3,0.010893,-0.521495,-0.853137,0.009027,0.0
2083938816,3,0.010876,-0.522039,-0.852807,0.008694,0.0
2083938826,3,0.010807,-0.522399,-0.852589,0.008574,0.0
2083938836,3,0.01054,-0.522837,-0.852326,0.008318,0.0
2083938846,3,0.010152,-0.523275,-0.852066,0.007887,0.0
2083938856,3,0.009757,-0.523792,-0.851754,0.007792,0.0
2083938866,3,0.00945,-0.524314,-0.851436,0.007803,0.0
2083938876,3,0.009223,-0.524758,-0.851169,0.00729,0.0
2083938886,3,0.009112,-0.525148,-0.85094,0.00599,0.0
2083938896,3,0.008911,-0.52551,-0.850729,0.00437,0.0
2083938906,3,0.008579,-0.525858,-0.850522,0.00322,0.0
2083938917,3,0.008145,-0.526374,-0.85021,0.002325,0.0
2083938927,3,0.007747,-0.527005,-0.849824,0.001826,0.0
2083938937,3,0.007631,-0.527951,-0.849239,0.00117,0.0
2083938947,3,0.007635,-0.529075,-0.84854,7.32E-4,0.0
2083938957,3,0.007692,-0.530072,-0.847917,3.66E-4,0.0
2083938967,3,0.007826,-0.530738,-0.847499,4.4E-4,0.0
2083938977,3,0.007918,-0.530936,-0.847374,2.44E-4,0.0
2083938987,3,-0.007991,0.530722,0.847508,0.0,0.0
2083938997,3,-0.007884,0.530345,0.847744,6.45E-4,0.0
2083939007,3,-0.007519,0.530041,0.847938,8.88E-4,0.0
2083939017,3,-0.006927,0.529809,0.848087,9.37E-4,0.0
2083939027,3,-0.006152,0.529711,0.848154,0.001337,0.0
2083939037,3,-0.005413,0.529998,0.847977,0.002492,0.0
2083939047,3,-0.004785,0.530653,0.847565,0.004054,0.0
2083939058,3,-0.004341,0.531693,0.846908,0.005452,0.0
2083939068,3,-0.003964,0.533044,0.846055,0.006094,0.0
2083939078,3,-0.003474,0.534629,0.845061,0.005505,0.0
2083939088,3,-0.002957,0.536223,0.844056,0.004884,0.0
2083939098,3,-0.002516,0.537575,0.843199,0.004493,0.0
2083939108,3,-0.0021,0.538765,0.842443,0.003989,0.0
2083939118,3,-0.001637,0.5398,0.841785,0.00332,0.0
2083939128,3,-0.001244,0.540736,0.841186,0.002652,0.0
2083939138,3,-9.91E-4,0.541785,0.840512,0.002335,0.0
2083939148,3,-8.88E-4,0.542913,0.839786,0.001651,0.0
2083939158,3,-9.76E-4,0.544084,0.839028,0.001035,0.0
2083939168,3,-0.001244,0.544734,0.838607,4.22E-4,0.0
2083939178,3,-0.001794,0.544821,0.83855,3.45E-4,0.0
2083939189,3,-0.002319,0.544417,0.838811,3.22E-4,0.0
2083939199,3,-0.00256,0.543868,0.839166,4.22E-4,0.0
2083939209,3,-0.002563,0.543491,0.839409,9.99E-4,0.0
2083939219,3,-0.002489,0.543523,0.839389,0.00117,0.0
2083939229,3,-0.002516,0.544146,0.838984,0.001756,0.0
2083939239,3,-0.002685,0.545278,0.838247,0.0021,0.0
2083939249,3,-0.003059,0.54649,0.837456,0.002501,0.0
2083939259,3,-0.003653,0.547391,0.836863,0.003,0.0
2083939269,3,-0.004391,0.54801,0.836451,0.003674,0.0
2083939279,3,-0.005134,0.548261,0.836279,0.00444,0.0
2083939289,3,-0.005893,0.54823,0.836292,0.004944,0.0
2083939299,3,-0.006628,0.548139,0.836344,0.005166,0.0
2083939309,3,-0.007283,0.547941,0.836468,0.005309,0.0
2083939320,3,-0.007965,0.547555,0.836712,0.005591,0.0
2083939330,3,-0.008623,0.547004,0.837062,0.00625,0.0
2083939340,3,-0.009032,0.54637,0.837466,0.00685,0.0
2083939350,3,-0.009086,0.545728,0.83788,0.0074,0.0
2083939360,3,-0.008826,0.545312,0.838148,0.007997,0.0
2083939370,3,-0.008477,0.545277,0.838167,0.008701,0.0
2083939380,3,-0.007903,0.545647,0.83793,0.008896,0.0
2083939390,3,-0.007375,0.546446,0.837414,0.008901,0.0
2083939400,3,-0.007052,0.547574,0.836681,0.00879,0.0
2083939410,3,-0.006943,0.548869,0.835834,0.008611,0.0
2083939420,3,-0.007076,0.550161,0.834986,0.00836,0.0
2083939430,3,-0.007474,0.551323,0.834218,0.008099,0.0
2083939440,3,-0.008064,0.552401,0.833504,0.007614,0.0
2083939450,3,-0.008691,0.553246,0.832943,0.006937,0.0
2083939461,3,-0.009278,0.553791,0.83258,0.006237,0.0
2083939471,3,-0.009686,0.554085,0.832384,0.005581,0.0
2083939481,3,-0.009957,0.554271,0.832262,0.00494,0.0
2083939491,3,-0.010123,0.554401,0.832177,0.004148,0.0
2083939501,3,-0.010243,0.554403,0.832177,0.003431,0.0
2083939511,3,-0.010352,0.554269,0.832269,0.002615,0.0
2083939521,3,-0.010461,0.55423,0.832295,0.0015,0.0
2083939531,3,-0.010643,0.554432,0.83216,5.03E-4,0.0
2083939541,3,-0.010925,0.554695,0.831981,0.0,0.0
2083939551,3,0.011294,-0.55506,-0.831733,0.0,0.0
2083939561,3,0.011626,-0.555369,-0.831522,4.88E-4,0.0
2083939571,3,0.011818,-0.555153,-0.831663,0.001057,0.0
2083939581,3,0.011789,-0.554295,-0.832234,0.001563,0.0
2083939592,3,0.011493,-0.552983,-0.83311,0.001871,0.0
2083939602,3,0.010866,-0.551646,-0.834003,0.002489,0.0
2083939612,3,0.009993,-0.550658,-0.834664,0.003243,0.0
2083939622,3,0.00908,-0.550114,-0.835031,0.00378,0.0
2083939632,3,0.008267,-0.550074,-0.835063,0.004307,0.0
2083939642,3,0.007591,-0.55043,-0.834831,0.004967,0.0
2083939652,3,0.007182,-0.550812,-0.834577,0.005947,0.0
2083939662,3,0.007182,-0.551119,-0.834366,0.006946,0.0
2083939672,3,0.007431,-0.551286,-0.834244,0.008058,0.0
2083939682,3,0.007808,-0.551334,-0.8342,0.008876,0.0
2083939692,3,0.008141,-0.551506,-0.834075,0.009565,0.0
2083939702,3,0.008271,-0.551988,-0.833746,0.010327,0.0
2083939712,3,0.008309,-0.552993,-0.833075,0.01071,0.0
2083939722,3,0.008258,-0.554429,-0.832118,0.010923,0.0
2083939733,3,0.008271,-0.556404,-0.830801,0.010717,0.0
2083939743,3,0.008485,-0.559019,-0.82905,0.009979,0.0
2083939753,3,0.008875,-0.562455,-0.82673,0.009005,0.0
2083939763,3,0.009442,-0.56703,-0.823601,0.008261,0.0
2083939773,3,0.009923,-0.573854,-0.818859,0.007827,0.0
2083939783,3,0.010823,-0.581475,-0.813458,0.007431,0.0
2083939793,3,0.012343,-0.589997,-0.807279,0.00707,0.0
2083939803,3,0.014444,-0.599494,-0.800213,0.007455,0.0
2083939813,3,0.016879,-0.610007,-0.792173,0.008192,0.0
2083939823,3,0.01924,-0.621277,-0.783303,0.008924,0.0
2083939833,3,0.02115,-0.632902,-0.773886,0.009301,0.0
2083939843,3,0.022934,-0.642538,-0.765863,0.008419,0.0
2083939853,3,0.023921,-0.652463,-0.757405,0.007494,0.0
2083939864,3,0.02444,-0.66346,-0.747787,0.006099,0.0
2083939874,3,0.024212,-0.675131,-0.737291,0.003413,0.0
2083939884,3,-0.024404,0.686368,0.726843,5.32E-4,0.0
2083939894,3,-0.023987,0.697043,0.716623,0.002465,0.0
2083939904,3,-0.022013,0.706983,0.70688,0.00297,0.0
2083939914,3,-0.019361,0.716247,0.697564,0.004438,0.0
2083939924,3,-0.016023,0.724679,0.688866,0.006709,0.0
2083939934,3,-0.012073,0.732174,0.680948,0.009119,0.0
2083939944,3,-0.007706,0.73878,0.673794,0.012062,0.0
2083939954,3,-0.003145,0.744565,0.667364,0.015384,0.0
2083939964,3,0.001434,0.749543,0.661683,0.018905,0.0
2083939974,3,0.005925,0.753688,0.656838,0.021934,0.0
2083939984,3,0.010197,0.756854,0.653013,0.025305,0.0
2083939995,3,0.014178,0.758925,0.650379,0.028927,0.0
