timestamp_global[ms],timestampImu[ms],ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
222,2083938383,-0.007425,0.1755875,0.0946,0.363,9.217951,4.5550504,1.3125,-50.68125,19.650002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,2083938393,-0.0138875,0.1628,0.1084875,0.33705002,9.184951,4.4430003,1.3125,-50.68125,19.650002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,2083938403,-0.0116875,0.1744875,0.119075,0.33705002,9.142051,4.26105,1.9875001,-50.5875,20.41875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,2083938413,-0.0127875,0.205425,0.11275,0.39195,9.040951,4.191,1.9875001,-50.5875,20.41875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,2083938423,-0.0116875,0.2330625,0.089237496,0.39195,9.027,4.32795,1.9875001,-50.5875,20.41875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,2083938433,-0.01485,0.238425,0.0721875,0.23700002,9.099,4.47795,4.33125,-50.100002,20.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,2083938443,-0.01485,0.2193125,0.0605,0.246,9.007951,4.7299504,4.33125,-50.100002,20.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,2083938453,0.0,0.1841125,0.045649998,0.25995,8.89995,4.9549503,3.35625,-50.362503,20.94375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,2083938463,0.027775,0.1351625,0.0286,0.30600002,8.719951,5.09595,3.35625,-50.362503,20.94375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,2083938473,0.0650375,0.0829125,0.01265,0.28695002,8.6650505,5.118,3.3375,-50.268753,20.643751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
