gravity,mtk,2026-06-11_18-56-46.727_Active 10 Pro
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
2083938483,3,-0.295501,8.502159,4.878067
2083938493,3,-0.35874,8.552031,4.785788
2083938503,3,-0.32263,8.585683,4.727801
2083938514,3,-0.296395,8.605074,4.694163
2083938524,3,-0.315242,8.659317,4.592009
2083938534,3,-0.296947,8.764814,4.388346
2083938544,3,-0.321288,8.895772,4.114351
2083938554,3,-0.352347,8.994693,3.890877
2083938564,3,-0.340832,9.004506,3.869506
2083938574,3,-0.369013,8.875761,4.153301
2083938584,3,-0.316863,8.726473,4.462384
2083938594,3,-0.316566,8.601158,4.699674
2083938604,3,-0.34309,8.552263,4.786551
2083938614,3,-0.38695,8.550547,4.786301
2083938624,3,-0.378564,8.555279,4.77852
2083938634,3,-0.378129,8.555578,4.778016
2083938645,3,-0.377399,8.556143,4.777061
2083938655,3,-0.376347,8.556898,4.775785
2083938665,3,-0.37481,8.557839,4.77421
2083938675,3,-0.372565,8.558999,4.77229
2083938685,3,-0.369529,8.560524,4.769762
2083938695,3,-0.365715,8.562617,4.766249
2083938705,3,-0.361306,8.56538,4.761547
2083938715,3,-0.356653,8.568817,4.755618
2083938725,3,-0.352019,8.572762,4.748745
2083938735,3,-0.347457,8.577024,4.741276
2083938745,3,-0.342869,8.581545,4.733325
2083938755,3,-0.338094,8.586403,4.724755
2083938765,3,-0.33301,8.591741,4.715298
2083938775,3,-0.327609,8.597664,4.704753
2083938786,3,-0.322,8.604179,4.693091
2083938796,3,-0.316376,8.611232,4.680401
2083938806,3,-0.310913,8.618682,4.666935
2083938816,3,-0.305089,8.626663,4.652511
2083938826,3,-0.299977,8.63461,4.638064
2083938836,3,-0.295258,8.642462,4.623722
2083938846,3,-0.290658,8.650232,4.609488
2083938856,3,-0.286186,8.65801,4.595201
2083938866,3,-0.282031,8.665804,4.580824
2083938876,3,-0.278423,8.673562,4.566445
2083938886,3,-0.275461,8.681113,4.552371
2083938896,3,-0.273031,8.688238,4.539016
2083938906,3,-0.270859,8.694831,4.526599
2083938917,3,-0.268486,8.700949,4.515043
2083938927,3,-0.265643,8.706804,4.503964
2083938937,3,-0.262386,8.712687,4.492822
2083938947,3,-0.258857,8.71869,4.481417
2083938957,3,-0.255242,8.724693,4.469974
2083938967,3,-0.251702,8.730442,4.458972
2083938977,3,-0.248227,8.735701,4.44888
2083938987,3,-0.24468,8.740355,4.439941
2083938997,3,-0.240748,8.744437,4.432118
2083939007,3,-0.236128,8.748127,4.425082
2083939017,3,-0.230717,8.751572,4.418553
2083939027,3,-0.224474,8.754909,4.412257
2083939037,3,-0.217607,8.758286,4.405889
2083939047,3,-0.210325,8.761877,4.399081
2083939058,3,-0.202829,8.765821,4.391538
2083939068,3,-0.195229,8.770209,4.383059
2083939078,3,-0.187587,8.775112,4.373498
2083939088,3,-0.179916,8.780519,4.362865
2083939098,3,-0.172393,8.786356,4.3513
2083939108,3,-0.165149,8.792572,4.3389
2083939118,3,-0.15829,8.799053,4.325884
2083939128,3,-0.151852,8.805715,4.312423
2083939138,3,-0.145806,8.812483,4.298656
2083939148,3,-0.140193,8.819317,4.284662
2083939158,3,-0.135114,8.826253,4.270373
2083939168,3,-0.130673,8.833253,4.255879
2083939178,3,-0.127102,8.840302,4.241231
2083939189,3,-0.124451,8.847379,4.22649
2083939199,3,-0.122696,8.854473,4.211684
2083939209,3,-0.121848,8.861597,4.196774
2083939219,3,-0.121908,8.868842,4.181557
2083939229,3,-0.122946,8.876313,4.165785
2083939239,3,-0.124998,8.884003,4.149444
2083939249,3,-0.128111,8.891748,4.132863
2083939259,3,-0.132253,8.899254,4.116657
2083939269,3,-0.13736,8.906294,4.101328
2083939279,3,-0.143339,8.912683,4.087289
2083939289,3,-0.150132,8.918372,4.074673
2083939299,3,-0.157619,8.923445,4.063317
2083939309,3,-0.165688,8.927933,4.053168
2083939320,3,-0.174351,8.931852,4.044201
2083939330,3,-0.183542,8.935217,4.036402
2083939340,3,-0.193047,8.938004,4.029825
2083939350,3,-0.202591,8.94024,4.024439
2083939360,3,-0.211866,8.942022,4.020047
2083939370,3,-0.220623,8.943614,4.016081
2083939380,3,-0.228487,8.945298,4.011945
2083939390,3,-0.235388,8.94732,4.007091
2083939400,3,-0.241499,8.949808,4.00122
2083939410,3,-0.246957,8.952762,3.994321
2083939420,3,-0.251888,8.95606,3.986642
2083939430,3,-0.256387,8.959505,3.978613
2083939440,3,-0.260455,8.962947,3.97056
2083939450,3,-0.263955,8.966345,3.96259
2083939461,3,-0.266686,8.96974,3.954628
2083939471,3,-0.268449,8.973174,3.946609
2083939481,3,-0.269188,8.976731,3.938358
2083939491,3,-0.268864,8.98045,3.929789
2083939501,3,-0.26748,8.984294,3.920995
2083939511,3,-0.2651,8.98826,3.911979
2083939521,3,-0.261736,8.992429,3.902556
2083939531,3,-0.257477,8.996881,3.892535
2083939541,3,-0.252523,9.001598,3.881935
2083939551,3,-0.24714,9.006535,3.870859
2083939561,3,-0.241499,9.011526,3.859662
2083939571,3,-0.23565,9.016268,3.849062
2083939581,3,-0.229632,9.02043,3.839803
2083939592,3,-0.223291,9.023783,3.832423
2083939602,3,-0.216353,9.026257,3.827082
2083939612,3,-0.208588,9.027935,3.823588
2083939622,3,-0.199837,9.028969,3.821594
2083939632,3,-0.190029,9.029554,3.820649
2083939642,3,-0.179175,9.02984,3.820407
2083939652,3,-0.167481,9.029929,3.820626
2083939662,3,-0.155261,9.029953,3.820994
2083939672,3,-0.142833,9.030042,3.821192
2083939682,3,-0.130379,9.030311,3.82094
2083939692,3,-0.118022,9.030915,3.819862
2083939702,3,-0.105797,9.032051,3.817475
2083939712,3,-0.093737,9.033931,3.813253
2083939722,3,-0.081856,9.036682,3.806858
2083939733,3,-0.070189,9.040462,3.797847
2083939743,3,-0.058803,9.045549,3.785462
2083939753,3,-0.047754,9.052275,3.768735
2083939763,3,-0.037196,9.061076,3.746352
2083939773,3,-0.027014,9.072733,3.715912
2083939783,3,-0.017534,9.087619,3.675949
2083939793,3,-0.009259,9.10602,3.625029
2083939803,3,-0.002692,9.128042,3.56191
2083939813,3,0.001926,9.153613,3.4855
2083939823,3,0.004686,9.18247,3.395035
2083939833,3,0.005905,9.214164,3.29024
2083939843,3,0.005382,9.247938,3.172556
2083939853,3,0.003516,9.283425,3.041742
2083939864,3,7.52E-4,9.320296,2.896896
2083939874,3,-0.002118,9.358119,2.737405
2083939884,3,-0.005744,9.396331,2.564008
2083939894,3,-0.010033,9.434368,2.377487
2083939904,3,-0.014025,9.471688,2.178748
2083939914,3,-0.017726,9.507757,1.969032
2083939924,3,-0.021379,9.542139,1.74978
2083939934,3,-0.025283,9.574434,1.522742
2083939944,3,-0.029596,9.604277,1.289814
2083939954,3,-0.034423,9.63131,1.052995
2083939964,3,-0.039906,9.655187,0.81452
2083939974,3,-0.046547,9.675383,0.577502
2083939984,3,-0.054367,9.691875,0.344365
2083939995,3,-0.063071,9.704729,0.117888
2083940005,3,-0.072327,9.714058,-0.099155
2083940015,3,-0.081867,9.720038,-0.304019
2083940025,3,-0.091308,9.722997,-0.494435
2083940035,3,-0.100437,9.723391,-0.668803
2083940045,3,-0.108633,9.721999,-0.827334
2083940055,3,-0.115738,9.719263,-0.968947
2083940065,3,-0.12156,9.715544,-1.092042
2083940075,3,-0.126421,9.711306,-1.195223
2083940085,3,-0.129462,9.707114,-1.278316
2083940095,3,-0.130749,9.70345,-1.34101
2083940105,3,-0.131681,9.700354,-1.386208
2083940115,3,-0.132489,9.698245,-1.413658
2083940125,3,-0.132281,9.697438,-1.42342
2083940136,3,-0.129286,9.69816,-1.4151
2083940146,3,-0.123235,9.700366,-1.390306
2083940156,3,-0.114052,9.703962,-1.350702
2083940166,3,-0.101573,9.708851,-1.297306
2083940176,3,-0.085403,9.714849,-1.23182
2083940186,3,-0.064984,9.721698,-1.156456
2083940196,3,-0.040938,9.729089,-1.075753
2083940206,3,-0.013698,9.73676,-0.992595
2083940216,3,0.016162,9.74446,-0.909733
2083940226,3,0.047933,9.751956,-0.829654
2083940236,3,0.081041,9.75904,-0.754341
2083940246,3,0.114822,9.765518,-0.68557
2083940256,3,0.148352,9.771253,-0.624536
2083940267,3,0.180999,9.776149,-0.571618
2083940277,3,0.212306,9.780114,-0.527384
2083940287,3,0.242149,9.783063,-0.492506
2083940297,3,0.270791,9.784924,-0.467684
2083940307,3,0.298946,9.786036,-0.450169
2083940317,3,0.326985,9.786335,-0.440472
2083940327,3,0.354321,9.78581,-0.438986
2083940337,3,0.379706,9.784452,-0.446598
2083940347,3,0.403353,9.782477,-0.462061
2083940357,3,0.4257,9.780081,-0.483977
2083940367,3,0.447146,9.777392,-0.511824
2083940377,3,0.467704,9.774557,-0.544581
2083940387,3,0.486608,9.771728,-0.581156
2083940398,3,0.503883,9.769057,-0.618085
2083940408,3,0.51913,9.766662,-0.653318
2083940418,3,0.532082,9.764622,-0.684833
2083940428,3,0.542572,9.762987,-0.710808
2083940438,3,0.550617,9.761782,-0.72987
2083940448,3,0.556752,9.761004,-0.740976
2083940458,3,0.561953,9.760623,-0.743539
2083940468,3,0.566858,9.760607,-0.737607
2083940478,3,0.572002,9.760921,-0.723107
2083940488,3,0.577745,9.761535,-0.699983
2083940498,3,0.584265,9.762416,-0.668281
2083940508,3,0.591814,9.763497,-0.628555
2083940518,3,0.60096,9.764678,-0.581778
2083940528,3,0.612334,9.765848,-0.529135
2083940539,3,0.626474,9.766909,-0.472991
2083940549,3,0.643714,9.76773,-0.414648
2083940559,3,0.664182,9.768186,-0.355203
2083940569,3,0.687849,9.768167,-0.295346
