linear_acc,mtk,2026-06-11_18-56-46.727_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_lin_x[m/s^2],acc_lin_y[m/s^2],acc_lin_z[m/s^2]
2083938493,3,0.514395,1.539206,-1.515535
2083938503,3,0.381764,1.283143,-1.245307
2083938514,3,0.283959,1.032005,-1.028744
2083938524,3,0.241277,0.820176,-0.93332
2083938534,3,0.175017,0.661505,-0.952239
2083938544,3,0.156039,0.523839,-1.031664
2083938554,3,0.145772,0.407773,-1.038065
2083938564,3,0.108062,0.357309,-0.833771
2083938574,3,0.1102,0.214726,-0.428043
2083938584,3,0.050108,0.16003,-0.047213
2083938594,3,0.042449,0.077717,0.17579
2083938604,3,0.054453,-6.5E-4,0.193944
2083938614,3,0.07574,-0.06558,0.117867
2083938624,3,0.057975,-0.043523,0.026299
2083938634,3,0.045613,-0.033159,0.021869
2083938645,3,0.033107,-0.022058,0.022794
2083938655,3,0.021761,-0.009858,0.030877
2083938665,3,0.011918,0.002201,0.039641
2083938675,3,0.005129,0.011976,0.045503
2083938685,3,-0.001004,0.020562,0.043234
2083938695,3,-0.005144,0.027112,0.029799
2083938705,3,-0.007116,0.03184,0.011772
2083938715,3,-0.008885,0.035687,-0.003861
2083938725,3,-0.010619,0.039722,-0.006793
2083938735,3,-0.012454,0.043078,0.003376
2083938745,3,-0.014304,0.046529,0.017896
2083938755,3,-0.017126,0.05229,0.026639
2083938765,3,-0.020468,0.059198,0.02246
2083938775,3,-0.023142,0.06632,0.008327
2083938786,3,-0.02394,0.06972,-0.008469
2083938796,3,-0.024196,0.070333,-0.021906
2083938806,3,-0.025103,0.070375,-0.025633
2083938816,3,-0.026786,0.072325,-0.02172
2083938826,3,-0.031069,0.078355,-0.015013
2083938836,3,-0.035198,0.086179,-0.011692
2083938846,3,-0.038438,0.090331,-0.012098
2083938856,3,-0.041221,0.092248,-0.015361
2083938866,3,-0.043383,0.091867,-0.019184
2083938876,3,-0.044283,0.091115,-0.021412
2083938886,3,-0.045897,0.092811,-0.02211
2083938896,3,-0.04738,0.09551,-0.02286
2083938906,3,-0.048949,0.097414,-0.023651
2083938917,3,-0.049374,0.097786,-0.029582
2083938927,3,-0.049076,0.095659,-0.034136
2083938937,3,-0.050561,0.094532,-0.042951
2083938947,3,-0.049387,0.092608,-0.057728
2083938957,3,-0.046022,0.08743,-0.076956
2083938967,3,-0.042244,0.07952,-0.091956
2083938977,3,-0.039733,0.069936,-0.09757
2083938987,3,-0.037788,0.058822,-0.089484
2083938997,3,-0.035976,0.046739,-0.068841
2083939007,3,-0.034144,0.036689,-0.044922
2083939017,3,-0.032167,0.027689,-0.024701
2083939027,3,-0.029181,0.01762,-0.018867
2083939037,3,-0.026601,0.009307,-0.030799
2083939047,3,-0.023643,0.001317,-0.050178
2083939058,3,-0.020447,-0.005075,-0.064084
2083939068,3,-0.017187,-0.007188,-0.065313
2083939078,3,-0.014899,-0.005431,-0.058699
2083939088,3,-0.013834,-7.68E-4,-0.050982
2083939098,3,-0.013302,0.003279,-0.044552
2083939108,3,-0.011535,0.004985,-0.046495
2083939118,3,-0.007951,0.004306,-0.054243
2083939128,3,-0.001509,6.35E-4,-0.063058
2083939138,3,0.004028,-0.002874,-0.06992
2083939148,3,0.008138,-0.002236,-0.075153
2083939158,3,0.012193,-0.00166,-0.08017
2083939168,3,0.017607,-0.004074,-0.078054
2083939178,3,0.019959,-0.006898,-0.069275
2083939189,3,0.022288,-0.010946,-0.054909
2083939199,3,0.025236,-0.01527,-0.039841
2083939209,3,0.027723,-0.016557,-0.028106
2083939219,3,0.026903,-0.013437,-0.019228
2083939229,3,0.024523,-0.007238,-0.017298
2083939239,3,0.024598,-0.002599,-0.019074
2083939249,3,0.024403,7.29E-4,-0.021069
2083939259,3,0.020991,0.005245,-0.021771
2083939269,3,0.015643,0.011985,-0.024695
2083939279,3,0.010344,0.019356,-0.030673
2083939289,3,0.00636,0.026658,-0.03801
2083939299,3,0.002725,0.035117,-0.045412
2083939309,3,-4.37E-4,0.041246,-0.05012
2083939320,3,-0.003988,0.047107,-0.049673
2083939330,3,-0.008937,0.05422,-0.043888
2083939340,3,-0.01264,0.05972,-0.031662
2083939350,3,-0.015411,0.063419,-0.016264
2083939360,3,-0.01667,0.06293,-0.004264
2083939370,3,-0.019593,0.059218,0.003547
2083939380,3,-0.021101,0.050887,0.008073
2083939390,3,-0.024031,0.044858,0.009012
2083939400,3,-0.028291,0.04374,0.00523
2083939410,3,-0.03304,0.045207,-4.12E-4
2083939420,3,-0.038754,0.046636,-0.006012
2083939430,3,-0.045496,0.04695,-0.009661
2083939440,3,-0.052294,0.045349,-0.009581
2083939450,3,-0.057477,0.042472,-0.003642
2083939461,3,-0.062645,0.042469,0.008322
2083939471,3,-0.06844,0.047382,0.014575
2083939481,3,-0.072182,0.051186,0.010319
2083939491,3,-0.074217,0.050589,-0.004002
2083939501,3,-0.07559,0.046856,-0.019227
2083939511,3,-0.075284,0.040613,-0.02847
2083939521,3,-0.07255,0.032811,-0.032352
2083939531,3,-0.069085,0.02695,-0.031054
2083939541,3,-0.066313,0.022262,-0.024459
2083939551,3,-0.065117,0.020427,-0.019631
2083939561,3,-0.060585,0.017427,-0.020812
2083939571,3,-0.052362,0.011197,-0.019459
2083939581,3,-0.042975,0.003211,-0.014035
2083939592,3,-0.032912,-0.006368,-0.006695
2083939602,3,-0.023009,-0.017098,3.25E-4
2083939612,3,-0.01413,-0.026639,0.002686
2083939622,3,-0.004855,-0.036762,-0.003085
2083939632,3,0.003776,-0.045498,-0.01645
2083939642,3,0.011832,-0.053508,-0.034548
2083939652,3,0.017382,-0.0603,-0.049538
2083939662,3,0.019332,-0.066436,-0.0554
2083939672,3,0.022936,-0.074346,-0.049619
2083939682,3,0.025052,-0.08176,-0.032161
2083939692,3,0.026937,-0.089734,-0.007533
2083939702,3,0.029913,-0.098409,0.017851
2083939712,3,0.031273,-0.104969,0.038159
2083939722,3,0.03153,-0.111747,0.052808
2083939733,3,0.032311,-0.121001,0.059868
2083939743,3,0.033766,-0.132043,0.062451
2083939753,3,0.033716,-0.142601,0.058453
2083939763,3,0.032591,-0.152963,0.044463
2083939773,3,0.030542,-0.164828,0.018332
2083939783,3,0.031776,-0.179491,-0.012404
2083939793,3,0.03238,-0.190454,-0.042612
2083939803,3,0.027308,-0.1945,-0.064288
2083939813,3,0.017505,-0.192887,-0.0755
2083939823,3,0.005959,-0.182593,-0.087215
2083939833,3,-0.002191,-0.171868,-0.095693
2083939843,3,-0.008712,-0.160607,-0.102284
2083939853,3,-0.015141,-0.146299,-0.11126
2083939864,3,-0.019966,-0.133064,-0.134529
2083939874,3,-0.026699,-0.124647,-0.180024
2083939884,3,-0.038469,-0.104697,-0.228933
2083939894,3,-0.052483,-0.078075,-0.280703
2083939904,3,-0.060501,-0.066482,-0.321926
2083939914,3,-0.058169,-0.075149,-0.351713
2083939924,3,-0.046472,-0.098425,-0.380139
2083939934,3,-0.038326,-0.122346,-0.411691
2083939944,3,-0.038961,-0.139696,-0.448616
2083939954,3,-0.039596,-0.157469,-0.494628
2083939964,3,-0.031549,-0.190139,-0.544079
2083939974,3,-0.022047,-0.219278,-0.601516
2083939984,3,-0.023192,-0.227712,-0.679389
2083939995,3,-0.026598,-0.232416,-0.757904
2083940005,3,-0.024534,-0.240138,-0.822759
2083940015,3,-0.030098,-0.258381,-0.883581
2083940025,3,-0.034677,-0.280638,-0.931665
2083940035,3,-0.025762,-0.298316,-0.975047
2083940045,3,-0.016077,-0.298987,-1.01218
2083940055,3,-0.013244,-0.280115,-1.032308
2083940065,3,-0.011234,-0.255312,-1.03411
2083940075,3,-0.005412,-0.233299,-1.01493
2083940085,3,0.001927,-0.209687,-0.986752
2083940095,3,0.008117,-0.178539,-0.951633
2083940105,3,8.75E-4,-0.13268,-0.935349
2083940115,3,-0.018261,-0.080733,-0.924875
2083940125,3,-0.027314,-0.049008,-0.89032
2083940136,3,-0.018148,-0.041249,-0.837903
2083940146,3,0.005592,-0.047428,-0.774008
2083940156,3,0.030267,-0.051796,-0.698438
2083940166,3,0.041196,-0.031669,-0.600633
2083940176,3,0.052174,0.011503,-0.482805
2083940186,3,0.078578,0.049936,-0.367665
2083940196,3,0.113811,0.086556,-0.260421
2083940206,3,0.146403,0.137112,-0.169519
2083940216,3,0.16175,0.208714,-0.088242
2083940226,3,0.156917,0.293002,-0.014984
2083940236,3,0.15452,0.366881,0.051602
2083940246,3,0.175011,0.41762,0.109788
2083940256,3,0.183232,0.454826,0.1481
2083940267,3,0.179658,0.503811,0.187241
2083940277,3,0.177883,0.558768,0.229344
2083940287,3,0.173974,0.614034,0.275221
2083940297,3,0.165547,0.675868,0.299345
2083940307,3,0.155996,0.724698,0.302172
2083940317,3,0.16751,0.769825,0.316948
2083940327,3,0.176912,0.817356,0.330875
2083940337,3,0.16994,0.859338,0.344698
2083940347,3,0.16232,0.877219,0.350713
2083940357,3,0.158395,0.879839,0.349651
2083940367,3,0.154999,0.886853,0.341395
2083940377,3,0.155794,0.894506,0.32349
2083940387,3,0.157963,0.892968,0.299015
2083940398,3,0.162634,0.875328,0.279945
2083940408,3,0.186547,0.833509,0.291504
2083940418,3,0.218063,0.779813,0.315883
2083940428,3,0.234209,0.732771,0.327022
2083940438,3,0.224334,0.706757,0.318887
2083940448,3,0.192619,0.70178,0.290161
2083940458,3,0.1638,0.685602,0.244323
2083940468,3,0.155429,0.629884,0.186265
2083940478,3,0.150392,0.549748,0.121941
2083940488,3,0.136402,0.464187,0.053627
2083940498,3,0.115442,0.377734,-0.013728
2083940508,3,0.084182,0.301165,-0.078148
2083940518,3,0.054704,0.229759,-0.143921
2083940528,3,0.034122,0.159866,-0.202413
2083940539,3,0.019509,0.091565,-0.243014
2083940549,3,-0.003865,0.034242,-0.258001
2083940559,3,-0.008391,-0.014232,-0.238387
2083940569,3,-0.005181,-0.063547,-0.216376
2083940579,3,-0.003123,-0.124706,-0.194872
2083940589,3,0.014228,-0.208047,-0.173199
2083940599,3,0.041964,-0.303833,-0.136516
2083940609,3,0.069389,-0.386528,-0.092741
2083940619,3,0.084241,-0.450767,-0.059444
2083940629,3,0.097337,-0.499797,-0.030636
2083940639,3,0.111133,-0.531997,0.007413
2083940649,3,0.122872,-0.542881,0.056432
2083940659,3,0.133221,-0.549355,0.101648
2083940670,3,0.144756,-0.571133,0.129713
2083940680,3,0.1506,-0.598324,0.145015
2083940690,3,0.147806,-0.620204,0.150361
2083940700,3,0.138995,-0.63758,0.127886
2083940710,3,0.124858,-0.648481,0.083666
2083940720,3,0.11987,-0.657201,0.025816
2083940730,3,0.122392,-0.649302,-0.020718
2083940740,3,0.125686,-0.615465,-0.041666
2083940750,3,0.128768,-0.566114,-0.049932
2083940760,3,0.132703,-0.50384,-0.05297
2083940770,3,0.138532,-0.428163,-0.05291
2083940780,3,0.1393,-0.348212,-0.054012
2083940790,3,0.132701,-0.277357,-0.051956
2083940800,3,0.121164,-0.218884,-0.04546
2083940811,3,0.11053,-0.175682,-0.03624
2083940821,3,0.100618,-0.146036,-0.01003
2083940831,3,0.090646,-0.11153,0.031815
2083940841,3,0.08203,-0.065984,0.071484
2083940851,3,0.074945,-0.01531,0.098048
2083940861,3,0.069533,0.031166,0.104232
2083940871,3,0.063798,0.073966,0.097815
2083940881,3,0.056082,0.09965,0.078699
2083940891,3,0.046079,0.116559,0.055489
2083940901,3,0.029074,0.122936,0.02262
2083940911,3,0.006276,0.122546,-0.014145
2083940921,3,-0.022432,0.114316,-0.033087
2083940931,3,-0.049421,0.10071,-0.039239
2083940942,3,-0.070438,0.075653,-0.048055
2083940952,3,-0.089869,0.037409,-0.056895
2083940962,3,-0.108862,-0.001675,-0.058796
2083940972,3,-0.127887,-0.025664,-0.053229
2083940982,3,-0.140999,-0.035408,-0.052352
2083940992,3,-0.144594,-0.035733,-0.052288
2083941002,3,-0.140894,-0.030118,-0.044831
2083941012,3,-0.130656,-0.027798,-0.039823
2083941022,3,-0.120486,-0.026004,-0.032305
2083941032,3,-0.116691,-0.03351,-0.034336
2083941042,3,-0.117806,-0.065179,-0.043685
2083941052,3,-0.120102,-0.118162,-0.029457
2083941062,3,-0.13043,-0.177721,0.007845
