location due to GPS and WiFi+Cell,2026-06-11_18-56-46.727_Active 10 Pro
time,provider,lat (deg),long (deg),has accuracy,accuracy (m),has altitude,altitude (m above sea level),has bearing,bearing (degrees),has speed,speed (m/s over ground),UTC,realtime
2083939040,network,55.6098571,37.5193954,1,28.531,1,255.60000610351562,0,0.0,0,0.0,1781193395793,2083924442000000
2083939046,network,55.6098571,37.5193954,1,130.752,1,255.60000610351562,0,0.0,0,0.0,1781193410619,2083939045355265
2083940623,gps,55.610098333333326,37.51963333333333,1,6.5,1,244.9,1,311.6,1,1.0922406,1781193411920,2083940563641727
2083941633,gps,55.610099999999996,37.51960333333333,1,2.8,1,242.7,1,303.16,1,0.84157085,1781193412920,2083941569956804
2083942710,gps,55.61011,37.51959166666666,1,2.7,1,243.1,1,317.47,1,0.5044278,1781193414000,2083942651680189
2083943705,gps,55.61011499999999,37.51958666666667,1,2.7,1,244.1,1,317.47,1,0.10551806,1781193415000,2083943650470650
2083944722,gps,55.61011833333334,37.51959166666666,1,2.5,1,244.2,1,33.46,1,0.64855,1781193416000,2083944652317189
2083945716,gps,55.61012666666667,37.519585,1,2.5,1,243.6,1,33.46,1,0.08647333,1781193417000,2083945652683650
2083946721,gps,55.610143333333326,37.51954666666666,1,2.4,1,241.6,1,33.46,1,0.102429725,1781193418000,2083946654268266
2083947713,gps,55.61015333333333,37.519533333333335,1,2.3,1,241.7,1,33.46,1,0.17552027,1781193419000,2083947650185497
2083948714,gps,55.61015666666667,37.519535,1,2.3,1,242.6,1,33.46,1,0.1415486,1781193420000,2083948653657420
2083949705,gps,55.610155,37.519535,1,2.2,1,243.0,1,33.46,1,0.18478528,1781193421000,2083949650108574
2083950715,gps,55.61015333333333,37.51953666666667,1,2.2,1,243.0,1,33.46,1,0.05301639,1781193422000,2083950652353804
2083951709,gps,55.610148333333335,37.51954166666667,1,2.2,1,243.2,1,33.46,1,0.24397834,1781193423000,2083951651323266
2083952713,gps,55.61013500000001,37.519545,1,1.9,1,244.1,1,131.76,1,0.21155083,1781193424000,2083952652375266
2083953710,gps,55.61012666666667,37.51954833333333,1,1.8,1,244.2,1,138.1,1,0.56928277,1781193425000,2083953649754112
2083954712,gps,55.610113333333324,37.519553333333334,1,1.7,1,244.1,1,145.03,1,1.5951241,1781193426000,2083954652001112
2083955710,gps,55.61009666666667,37.519576666666666,1,1.7,1,244.1,1,132.4,1,2.5859644,1781193427000,2083955651181805
2083956714,gps,55.61007500000001,37.519615,1,1.7,1,244.5,1,137.43,1,3.646807,1781193428000,2083956652993728
2083957703,gps,55.61004500000001,37.519663333333334,1,1.7,1,244.79999999999998,1,137.86,1,4.777137,1781193429000,2083957647050343
2083958515,network,55.6098936,37.5194504,1,21.762,1,261.6000061035156,0,0.0,0,0.0,1781193414334,2083942983000000
2083958724,gps,55.610013333333335,37.51971666666667,1,1.7,1,245.0,1,134.57,1,4.9871435,1781193430000,2083958654338113
2083959716,gps,55.60998333333334,37.51977333333333,1,1.7,1,245.0,1,135.34,1,4.8703017,1781193431000,2083959651317497
2083960713,gps,55.60995,37.51983,1,1.7,1,245.2,1,138.87,1,5.588854,1781193432000,2083960650951959
2083961713,gps,55.609905,37.519888333333334,1,1.7,1,245.2,1,146.01,1,3.5212147,1781193433000,2083961651962728
2083962709,gps,55.60985666666667,37.51994666666667,1,1.7,1,245.29999999999998,1,147.29,1,4.1646175,1781193434000,2083962649735344
2083963714,gps,55.609806666666664,37.520003333333335,1,1.7,1,245.2,1,147.33,1,4.7369885,1781193435000,2083963652632882
2083964716,gps,55.60975833333334,37.52005666666666,1,1.8,1,245.0,1,147.03,1,5.167811,1781193436000,2083964655063959
2083965717,gps,55.60971333333334,37.52010833333333,1,1.7,1,244.7,1,146.23,1,5.468409,1781193437000,2083965653081113
2083966709,gps,55.60967333333333,37.520155,1,1.8,1,244.4,1,146.37,1,5.6207666,1781193438000,2083966651826344
2083967712,gps,55.60963333333334,37.520205000000004,1,1.8,1,244.1,1,140.63,1,5.6449585,1781193439000,2083967651588267
2083968720,gps,55.6096,37.520255,1,1.8,1,244.0,1,141.59,1,5.617678,1781193440000,2083968652475575
2083969713,gps,55.60956833333333,37.52030166666667,1,1.8,1,244.1,1,142.02,1,5.561059,1781193441000,2083969651252882
2083970712,gps,55.60953833333333,37.52034333333334,1,1.8,1,244.29999999999998,1,143.63,1,5.3948035,1781193442000,2083970650411883
2083971710,gps,55.609503333333336,37.520405,1,1.5,1,244.9,1,139.39,1,5.1461926,1781193443000,2083971651123652
2083972714,gps,55.609473333333334,37.520451666666666,1,1.4,1,245.2,1,136.95,1,4.83633,1781193444000,2083972651575575
2083973710,gps,55.60944666666666,37.520495,1,1.3,1,245.4,1,137.57,1,4.552718,1781193445000,2083973651490037
2083974707,gps,55.609415000000006,37.520535,1,1.3,1,245.4,1,144.18,1,4.3355055,1781193446000,2083974651643575
