orientation,mtk,2026-06-11_18-56-46.727_Active 10 Pro
imuTimestamp,accuracy(more=better),azimuth[deg],pitch[deg],roll[deg]
2083938534,3,223.15108,-63.426296,1.733259
2083938544,3,217.1404,-65.20816,1.880068
2083938554,3,210.98851,-66.63082,2.06205
2083938564,3,204.62788,-66.74653,1.990392
2083938574,3,198.23341,-64.89104,2.159499
2083938584,3,191.89546,-62.88201,1.845992
2083938594,3,185.61371,-61.321712,1.850194
2083938604,3,179.33162,-60.75622,2.0076
2083938614,3,178.99428,-60.761803,2.265598
2083938624,3,178.69571,-61.236183,2.253532
2083938634,3,178.53885,-61.23671,2.247295
2083938645,3,178.59659,-61.21815,2.220276
2083938655,3,178.70267,-61.163723,2.181527
2083938665,3,178.76219,-61.10278,2.136369
2083938675,3,178.7735,-61.05,2.09953
2083938685,3,178.82039,-61.045097,2.058374
2083938695,3,178.84671,-61.114094,2.024529
2083938705,3,178.82307,-61.22817,2.001628
2083938715,3,178.7864,-61.350216,1.97746
2083938725,3,178.74095,-61.4136,1.94959
2083938735,3,178.69653,-61.396477,1.916992
2083938745,3,178.65376,-61.341003,1.880804
2083938755,3,178.61038,-61.314762,1.834685
2083938765,3,178.5596,-61.368267,1.781632
2083938775,3,178.5005,-61.496185,1.729613
2083938786,3,178.44241,-61.65096,1.688486
2083938796,3,178.39539,-61.798183,1.650597
2083938806,3,178.35988,-61.89861,1.607052
2083938816,3,178.32927,-61.96116,1.555675
2083938826,3,178.29976,-62.015812,1.482153
2083938836,3,178.27127,-62.093384,1.403611
2083938846,3,178.24791,-62.182983,1.326484
2083938856,3,178.22763,-62.286186,1.248722
2083938866,3,178.20879,-62.39035,1.172034
2083938876,3,178.19492,-62.48741,1.101533
2083938886,3,178.19135,-62.584843,1.024532
2083938896,3,178.20409,-62.687515,0.946322
2083938906,3,178.23305,-62.790146,0.865733
2083938917,3,178.27695,-62.922188,0.7917
2083938927,3,178.33118,-63.04479,0.722616
2083938937,3,178.40182,-63.201656,0.641626
2083938947,3,178.49036,-63.403896,0.577866
2083938957,3,178.59619,-63.641487,0.5318
2083938967,3,178.71149,-63.864964,0.4936
2083938977,3,178.8275,-64.03781,0.451728
2083938987,3,178.94405,-64.11975,0.409227
2083938997,3,179.06049,-64.10122,0.368362
2083939007,3,179.18628,-64.034195,0.330109
2083939017,3,179.32193,-63.95732,0.295531
2083939027,3,179.46658,-63.937496,0.271185
2083939037,3,179.61685,-64.02286,0.248409
2083939047,3,179.77649,-64.16731,0.232092
2083939058,3,179.9475,-64.3021,0.221613
2083939068,3,180.12822,-64.382866,0.215927
2083939078,3,180.30573,-64.42544,0.207777
2083939088,3,180.4697,-64.46241,0.194047
2083939098,3,180.6151,-64.498695,0.178032
2083939108,3,180.73729,-64.576,0.171698
2083939118,3,180.83412,-64.68714,0.180985
2083939128,3,180.90425,-64.80589,0.215998
2083939138,3,180.951,-64.92199,0.253869
2083939148,3,180.97307,-65.0472,0.289434
2083939158,3,180.98727,-65.178276,0.33059
2083939168,3,180.99757,-65.26091,0.387455
2083939178,3,181.00127,-65.294624,0.430062
2083939189,3,180.99673,-65.27493,0.475869
2083939199,3,180.9817,-65.22852,0.529523
2083939209,3,180.95518,-65.190735,0.584018
2083939219,3,180.91533,-65.16883,0.618001
