spl07,goermicro,2026-06-11_18-56-46.727_Active 10 Pro
imuTimestamp,accuracy(more=better),pressure[millibar]
2083938520,3,987.26996
2083938621,3,987.26996
2083938721,3,987.29
2083938821,3,987.27997
2083938921,3,987.27997
2083939020,3,987.26996
2083939121,3,987.26996
2083939220,3,987.27997
2083939320,3,987.27997
2083939421,3,987.27997
2083939520,3,987.29
2083939620,3,987.27997
2083939720,3,987.26996
2083939821,3,987.22
2083939921,3,987.13
2083940021,3,987.12
2083940121,3,987.16
2083940221,3,987.3
2083940320,3,987.37
2083940421,3,987.37
2083940520,3,987.32996
2083940620,3,987.29
2083940720,3,987.32996
2083940821,3,987.44
2083940921,3,987.49
2083941020,3,987.38995
2083941120,3,987.32996
2083941220,3,987.37
2083941321,3,987.31
2083941421,3,987.25
2083941521,3,987.27997
2083941620,3,987.37
2083941720,3,987.25995
2083941820,3,987.36
2083941920,3,987.35
2083942020,3,987.38
2083942120,3,987.37
2083942220,3,987.38995
2083942320,3,987.42
2083942420,3,987.43
2083942520,3,987.38
2083942620,3,987.37
2083942720,3,987.38995
2083942820,3,987.38995
2083942920,3,987.38
2083943020,3,987.55
2083943120,3,987.55
2083943220,3,987.58997
2083943320,3,987.56995
2083943420,3,987.42
2083943520,3,987.35
2083943620,3,987.35
2083943720,3,987.45996
2083943820,3,987.44995
2083943920,3,987.77997
2083944020,3,987.64996
2083944120,3,987.64996
2083944220,3,987.63995
2083944320,3,987.48
2083944420,3,987.73
2083944520,3,988.06995
2083944620,3,987.99
2083944720,3,988.0
2083944820,3,987.86
2083944920,3,987.64996
2083945020,3,987.85
2083945120,3,987.61
2083945220,3,987.44995
2083945320,3,987.43
2083945420,3,988.12
2083945520,3,987.19
2083945620,3,987.76996
2083945720,3,987.50995
2083945820,3,987.41
2083945920,3,987.35
2083946020,3,987.39996
2083946120,3,987.57996
2083946220,3,987.63
2083946320,3,987.35
2083946420,3,987.35
2083946520,3,987.31
2083946620,3,987.42
2083946720,3,987.48
2083946820,3,987.42
2083946920,3,987.31
2083947020,3,987.35
2083947120,3,987.38995
2083947220,3,987.43
2083947320,3,987.47
2083947420,3,987.41
2083947520,3,987.12
2083947620,3,987.61
2083947720,3,987.44
2083947820,3,987.52997
2083947920,3,987.49
2083948020,3,987.45996
2083948120,3,987.5
2083948220,3,987.38995
2083948320,3,987.39996
2083948420,3,987.39996
2083948520,3,987.38
2083948620,3,987.19
2083948720,3,987.19
2083948820,3,987.24
2083948920,3,987.14996
2083949020,3,987.06995
2083949120,3,987.18
2083949220,3,987.32996
2083949320,3,987.24
2083949420,3,987.29
2083949520,3,987.29
2083949620,3,987.22
2083949720,3,987.20996
2083949820,3,987.19995
2083949920,3,987.25
2083950020,3,987.20996
2083950120,3,987.17
2083950220,3,987.3
2083950320,3,987.31995
2083950420,3,987.44995
2083950520,3,987.32996
2083950620,3,987.52997
2083950720,3,987.44
2083950820,3,987.29
2083950920,3,987.50995
2083951020,3,987.33997
2083951120,3,987.56
2083951220,3,987.1
2083951320,3,987.12
2083951420,3,987.20996
2083951520,3,987.37
2083951620,3,987.35
2083951720,3,987.29
2083951820,3,987.81995
2083951920,3,987.35
