step_detect,mtk,2026-06-11_18-56-46.727_Active 10 Pro
imuTimestamp,accuracy(more=better),unknown
2083943174,3,1.0
2083943915,3,1.0
2083944816,3,1.0
2083945017,3,1.0
2083945416,3,1.0
2083946055,3,1.0
2083946317,3,1.0
2083946797,3,1.0
2083947538,3,1.0
2083948035,3,1.0
2083948916,3,1.0
2083949234,3,1.0
2083950156,3,1.0
2083950896,3,1.0
2083951294,3,1.0
2083951954,3,1.0
2083952579,3,1.0
2083953617,3,1.0
2083953639,3,1.0
2083954896,3,1.0
2083955495,3,1.0
2083955516,3,1.0
2083957038,3,1.0
2083957516,3,1.0
2083957798,3,1.0
2083958497,3,1.0
2083958916,3,1.0
2083959279,3,1.0
2083959616,3,1.0
2084075796,3,1.0
2084076934,3,1.0
2084077715,3,1.0
2084089896,3,1.0
2084090299,3,1.0
2084090938,3,1.0
