icm4n607_acc,iven_sense,2026-06-11_19-12-34.865_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_x[m/s^2],acc_y[m/s^2],acc_z[m/s^2],utcTimestamp(millis)
2084886475,3,6.426,2.028,6.6520505,1781194358052
2084886485,3,6.4180503,2.02095,6.60195,1781194358062
2084886495,3,6.438,1.9729501,6.6240005,1781194358072
2084886505,3,6.4450502,1.9020001,6.6720004,1781194358083
2084886515,3,6.4570503,1.8250501,6.7170005,1781194358092
2084886526,3,6.471,1.7890501,6.7530003,1781194358102
2084886536,3,6.46395,1.7890501,6.8149505,1781194358113
2084886546,3,6.4399505,1.8270001,6.846,1781194358122
2084886556,3,6.43305,1.899,6.9799504,1781194358132
2084886566,3,6.426,1.8900001,7.0639505,1781194358142
2084886576,3,6.42105,1.79595,7.1190004,1781194358153
2084886586,3,6.426,1.72905,7.1740503,1781194358162
2084886596,3,6.4420505,1.6840501,7.1530504,1781194358172
2084886606,3,6.4470005,1.7119501,7.0789504,1781194358183
2084886616,3,6.4450502,1.7719501,7.0090504,1781194358193
2084886626,3,6.4450502,1.866,6.91095,1781194358203
2084886636,3,6.4470005,1.9260001,6.8200502,1781194358213
2084886646,3,6.438,1.9300501,6.741,1781194358222
2084886656,3,6.4350004,1.9039501,6.7510505,1781194358233
2084886667,3,6.4279504,1.8370501,6.84105,1781194358244
2084886677,3,6.4090505,1.8079501,6.91305,1781194358253
2084886687,3,6.40605,1.8030001,6.9370503,1781194358263
2084886697,3,6.39195,1.8780001,6.8299503,1781194358272
2084886707,3,6.43305,1.9590001,6.6480002,1781194358286
2084886717,3,6.5170503,1.983,6.4540505,1781194358293
2084886727,3,6.6220503,1.9570501,6.2910004,1781194358303
2084886737,3,6.7060504,1.8730501,6.2119503,1781194358314
2084886747,3,6.70095,1.77495,6.2719502,1781194358325
2084886757,3,6.6889505,1.7629501,6.4420505,1781194358334
2084886767,3,6.6049504,1.81095,6.6070504,1781194358345
2084886777,3,6.53595,1.8940501,6.6720004,1781194358354
2084886787,3,6.4540505,1.983,6.6450005,1781194358364
2084886798,3,6.399,2.043,6.54195,1781194358375
2084886808,3,6.3780003,2.091,6.4870505,1781194358385
2084886818,3,6.327,2.11695,6.56895,1781194358395
2084886828,3,6.2700005,2.15295,6.729,1781194358405
2084886838,3,6.21495,2.25405,6.9469504,1781194358415
2084886848,3,6.13605,2.4,7.1359506,1781194358425
2084886858,3,6.0420003,2.5170002,7.2030005,1781194358435
2084886868,3,5.93205,2.60805,7.143,1781194358446
2084886878,3,5.8369503,2.6530502,7.1340003,1781194358455
2084886888,3,5.7379503,2.6869502,7.1910005,1781194358465
2084886898,3,5.6400003,2.70105,7.24905,1781194358475
2084886908,3,5.56395,2.7520502,7.21005,1781194358485
2084886918,3,5.49405,2.802,7.0519505,1781194358496
2084886928,3,5.43195,2.8279502,6.8029504,1781194358506
2084886939,3,5.3580003,2.8189502,6.597,1781194358517
2084886949,3,5.2639503,2.8159502,6.4849505,1781194358526
2084886959,3,5.169,2.8159502,6.5059505,1781194358536
2084886969,3,5.04405,2.80395,6.5230503,1781194358546
2084886979,3,4.9240503,2.8330503,6.55905,1781194358556
2084886989,3,4.83795,2.87805,6.63105,1781194358567
2084886999,3,4.7470503,2.8260002,6.69495,1781194358577
