timestamp_global[ms],timestampImu[ms],ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
238,2084886536,0.0064625,0.1073875,-1.375E-4,6.46395,1.7890501,6.8149505,-32.30625,-3.8812501,8.26875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,2084886546,0.0235125,0.1170125,-0.0066,6.4399505,1.8270001,6.846,-32.381252,-3.6937501,8.94375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,2084886556,0.0372625,0.1159125,-0.0055,6.43305,1.899,6.9799504,-32.381252,-3.6937501,8.94375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,2084886566,0.042625,0.104225,0.001925,6.426,1.8900001,7.0639505,-28.706251,-3.3000002,10.106251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,2084886576,0.042625,0.087175,0.0083875,6.42105,1.79595,7.1190004,-28.706251,-3.3000002,10.106251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,2084886586,0.044825,0.0638,0.003025,6.426,1.72905,7.1740503,-29.343752,-3.3937502,9.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,2084886596,0.044825,0.0391875,-0.012925,6.4420505,1.6840501,7.1530504,-29.343752,-3.3937502,9.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,2084886606,0.043725,0.0158125,-0.033275,6.4470005,1.7119501,7.0789504,-27.6375,-3.3937502,9.150001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,2084886616,0.0394625,0.003025,-0.0512875,6.4450502,1.7719501,7.0090504,-27.6375,-3.3937502,9.150001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,2084886626,0.0298375,-0.0012375,-0.0620125,6.4450502,1.866,6.91095,-30.431252,-3.8625002,9.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
