gravity,mtk,2026-06-11_19-12-34.865_Active 10 Pro
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
2084886636,3,-6.338589,1.996144,7.101362
2084886646,3,-6.630494,1.988158,6.946512
2084886656,3,-6.629885,1.963293,6.954167
2084886667,3,-6.59195,1.887531,7.010938
2084886677,3,-6.549681,1.849534,7.060525
2084886687,3,-6.535691,1.840404,7.075874
2084886697,3,-6.568389,1.92582,7.022628
2084886707,3,-6.666455,2.027049,6.900586
2084886717,3,-6.803517,2.070773,6.752214
2084886727,3,-6.944913,2.055485,6.611477
2084886737,3,-7.042928,1.973063,6.532496
2084886747,3,-7.030487,1.867472,6.576814
2084886757,3,-6.944191,1.830847,6.677999
2084886767,3,-6.813373,1.8644,6.802256
2084886777,3,-6.729715,1.945663,6.862573
2084886787,3,-6.683398,2.047903,6.878087
2084886798,3,-6.691973,2.132659,6.84392
2084886808,3,-6.610149,2.190926,6.904739
2084886818,3,-6.605944,2.193752,6.907811
2084886828,3,-6.597617,2.199324,6.913808
2084886838,3,-6.585173,2.207589,6.922647
2084886848,3,-6.568515,2.218537,6.934327
2084886858,3,-6.54746,2.232165,6.948915
2084886868,3,-6.521806,2.248444,6.966493
2084886878,3,-6.491382,2.267225,6.987153
2084886888,3,-6.456013,2.288334,7.010992
2084886898,3,-6.415486,2.311563,7.038144
2084886908,3,-6.369576,2.336757,7.068722
2084886918,3,-6.318104,2.363767,7.102792
2084886928,3,-6.261007,2.392424,7.140342
2084886939,3,-6.19838,2.422496,7.181267
2084886949,3,-6.138261,2.451564,7.220807
2084886959,3,-6.080945,2.479442,7.258793
2084886969,3,-6.026731,2.506042,7.295009
2084886979,3,-5.975934,2.531348,7.329194
2084886989,3,-5.928855,2.555413,7.361055
2084886999,3,-5.881441,2.581209,7.393571
2084887009,3,-5.842694,2.603189,7.419778
2084887019,3,-5.81286,2.621539,7.439454
2084887029,3,-5.792161,2.636531,7.452337
2084887039,3,-5.780799,2.648426,7.45814
2084887049,3,-5.771928,2.659208,7.461996
2084887059,3,-5.765891,2.669063,7.463618
2084887070,3,-5.763041,2.67823,7.462701
2084887080,3,-5.763797,2.68696,7.458892
2084887090,3,-5.768617,2.695371,7.451869
2084887100,3,-5.77793,2.703516,7.441365
2084887110,3,-5.792123,2.711354,7.427203
2084887120,3,-5.811476,2.718805,7.40931
2084887130,3,-5.836088,2.725851,7.387745
2084887140,3,-5.865836,2.732576,7.362684
