icm4n607_gyro,iven_sense,2026-06-11_19-12-34.865_Active 10 Pro
imuTimestamp,accuracy(more=better),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
2084886536,3,0.0064625,0.1073875,-1.375E-4
2084886546,3,0.0235125,0.1170125,-0.0066
2084886556,3,0.0372625,0.1159125,-0.0055
2084886566,3,0.042625,0.104225,0.001925
2084886576,3,0.042625,0.087175,0.0083875
2084886586,3,0.044825,0.0638,0.003025
2084886596,3,0.044825,0.0391875,-0.012925
2084886606,3,0.043725,0.0158125,-0.033275
2084886616,3,0.0394625,0.003025,-0.0512875
2084886626,3,0.0298375,-0.0012375,-0.0620125
2084886636,3,0.01925,0.001925,-0.0672375
2084886646,3,0.010725,0.013612499,-0.0694375
2084886656,3,0.0042625,0.034925,-0.066275
2084886667,3,0.0064625,0.0499125,-0.0672375
2084886677,3,0.0202125,0.0562375,-0.0715
2084886687,3,0.0405625,0.051975,-0.0790625
2084886697,3,0.059675,0.053075,-0.083325
2084886707,3,0.0713625,0.070125,-0.080025
2084886717,3,0.0735625,0.1170125,-0.073699996
2084886727,3,0.077825,0.1915375,-0.073699996
2084886737,3,0.0895125,0.297,-0.0842875
2084886747,3,0.1150875,0.4109875,-0.1013375
2084886757,3,0.161975,0.5110875,-0.12265
2084886767,3,0.2248125,0.58575,-0.1450625
2084886777,3,0.2897125,0.6411625,-0.1610125
2084886787,3,0.348425,0.68585,-0.1706375
2084886798,3,0.38665,0.7316375,-0.1769625
2084886808,3,0.4037,0.7827875,-0.181225
2084886818,3,0.407,0.828575,-0.1876875
2084886828,3,0.4016375,0.85525,-0.1973125
2084886838,3,0.3931125,0.85635,-0.2068
2084886848,3,0.379225,0.827475,-0.2121625
2084886858,3,0.35901248,0.778525,-0.2101
2084886868,3,0.3249125,0.728475,-0.2047375
2084886878,3,0.2748625,0.68585,-0.199375
2084886888,3,0.2226125,0.642125,-0.1865875
2084886898,3,0.1716,0.5867125,-0.1780625
2084886908,3,0.12045,0.5303375,-0.17379999
2084886918,3,0.0661375,0.4877125,-0.1780625
2084886928,3,0.0031625,0.4791875,-0.182325
2084886939,3,-0.0606375,0.509025,-0.19085
2084886949,3,-0.1128875,0.5698,-0.20899999
2084886959,3,-0.1458875,0.642125,-0.2281125
2084886969,3,-0.1566125,0.71775,-0.24419999
2084886979,3,-0.14905,0.79873747,-0.25795
2084886989,3,-0.132,0.8828875,-0.26015
2084886999,3,-0.1043625,0.9681375,-0.250525
2084887009,3,-0.0713625,1.066175,-0.2409
2084887019,3,-0.0276375,1.1801625,-0.2366375
2084887029,3,0.024475,1.2749,-0.233475
2084887039,3,0.0873125,1.3462625,-0.23567499
2084887049,3,0.1491875,1.39315,-0.2388375
2084887059,3,0.2003375,1.420925,-0.2399375
2084887070,3,0.2259125,1.453925,-0.2366375
2084887080,3,0.2226125,1.5188249,-0.217525
2084887090,3,0.2035,1.587025,-0.1865875
2084887100,3,0.1885125,1.63075,-0.1621125
2084887110,3,0.1810875,1.6531625,-0.1546875
