stk3a5x_als,sensortek,2026-06-11_19-12-34.865_Active 10 Pro
imuTimestamp,accuracy(more=better),ambient_brightness[lux]
2084886513,3,15111.0
2084886513,3,15111.0
2084886575,3,15076.0
2084886585,3,15076.0
2084886595,3,15076.0
2084886605,3,15076.0
2084886615,3,15076.0
2084886625,3,15211.0
2084886635,3,15211.0
2084886645,3,15211.0
2084886655,3,15211.0
2084886665,3,15211.0
2084886675,3,15282.0
2084886685,3,15282.0
2084886695,3,15282.0
2084886705,3,15282.0
2084886715,3,15282.0
2084886725,3,15387.0
2084886735,3,15387.0
2084886745,3,15387.0
2084886755,3,15387.0
2084886765,3,15387.0
2084886775,3,15772.0
2084886785,3,15772.0
2084886795,3,15772.0
2084886805,3,15772.0
2084886815,3,15772.0
2084886825,3,15772.0
2084886835,3,16728.0
2084886845,3,16728.0
2084886855,3,16728.0
2084886865,3,16728.0
2084886875,3,16728.0
2084886885,3,17658.0
2084886895,3,17658.0
2084886905,3,17658.0
2084886915,3,17658.0
2084886925,3,17658.0
2084886935,3,17956.0
2084886945,3,17956.0
2084886955,3,17956.0
2084886965,3,17956.0
2084886975,3,17956.0
2084886985,3,17578.0
2084886995,3,17578.0
2084887005,3,17578.0
2084887015,3,17578.0
2084887025,3,17578.0
2084887035,3,16472.0
2084887045,3,16472.0
2084887055,3,16472.0
2084887065,3,16472.0
2084887075,3,16472.0
2084887085,3,14309.0
2084887095,3,14309.0
2084887105,3,14309.0
2084887115,3,14309.0
2084887125,3,14309.0
2084887135,3,14309.0
2084887145,3,11223.0
2084887155,3,11223.0
2084887165,3,11223.0
2084887175,3,11223.0
2084887185,3,11223.0
2084887195,3,8142.0
2084887205,3,8142.0
2084887215,3,8142.0
2084887225,3,8142.0
2084887235,3,8142.0
2084887245,3,5524.0
2084887255,3,5524.0
2084887265,3,5524.0
2084887275,3,5524.0
2084887285,3,5524.0
2084887295,3,3529.0
2084887305,3,3529.0
2084887315,3,3529.0
2084887325,3,3529.0
2084887335,3,3529.0
2084887345,3,2493.0
2084887355,3,2493.0
2084887365,3,2493.0
2084887375,3,2493.0
