linear_acc,mtk,2026-06-11_19-12-34.865_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_lin_x[m/s^2],acc_lin_y[m/s^2],acc_lin_z[m/s^2]
2084886646,3,2.608088,-0.124082,-0.969168
2084886656,3,2.084363,-0.119504,-0.770038
2084886667,3,1.661873,-0.148148,-0.545415
2084886677,3,1.314493,-0.142524,-0.378362
2084886687,3,1.049232,-0.118489,-0.282259
2084886697,3,0.828214,-0.037521,-0.308487
2084886707,3,0.693662,0.034913,-0.390375
2084886717,3,0.620818,0.048616,-0.467127
2084886727,3,0.580357,0.019164,-0.504777
2084886737,3,0.531899,-0.050173,-0.469261
2084886747,3,0.42405,-0.118285,-0.331229
2084886757,3,0.329853,-0.106503,-0.131927
2084886767,3,0.198763,-0.048491,0.026743
2084886777,3,0.103079,0.027286,0.075793
2084886787,3,0.017662,0.092569,0.041991
2084886798,3,-0.030624,0.122706,-0.046724
2084886808,3,-0.042632,0.13679,-0.082709
2084886818,3,-0.035446,0.110135,-0.063996
2084886828,3,-0.03123,0.089767,-0.044748
2084886838,3,-0.029325,0.076155,-0.02354
2084886848,3,-0.029909,0.06916,-0.00153
2084886858,3,-0.032866,0.066693,0.017865
2084886868,3,-0.038168,0.067145,0.031785
2084886878,3,-0.044963,0.068719,0.042666
2084886888,3,-0.053017,0.070873,0.052903
2084886898,3,-0.062078,0.072979,0.062625
2084886908,3,-0.07137,0.076004,0.069381
2084886918,3,-0.080655,0.079765,0.070572
2084886928,3,-0.089743,0.083477,0.064885
2084886939,3,-0.098992,0.08619,0.054845
2084886949,3,-0.108881,0.088297,0.043812
2084886959,3,-0.119347,0.089983,0.03556
2084886969,3,-0.131039,0.091012,0.029406
2084886979,3,-0.143586,0.092602,0.025439
2084886989,3,-0.155921,0.095086,0.024182
2084886999,3,-0.168215,0.095669,0.0249
2084887009,3,-0.180796,0.092944,0.023879
2084887019,3,-0.193861,0.087699,0.025486
2084887029,3,-0.206868,0.081396,0.033925
