location due to GPS and WiFi+Cell,2026-06-11_19-12-34.865_Active 10 Pro
time,provider,lat (deg),long (deg),has accuracy,accuracy (m),has altitude,altitude (m above sea level),has bearing,bearing (degrees),has speed,speed (m/s over ground),UTC,realtime
2084886900,network,55.6032882,37.5457241,1,25.69,1,257.1000061035156,0,0.0,0,0.0,1781194353499,2084882148000000
2084886907,network,55.6032882,37.5457241,1,58.989,1,257.1000061035156,0,0.0,0,0.0,1781194358480,2084886905687917
2084891282,gps,55.60347,37.54513333333333,1,6.1,1,315.2,1,275.79,1,3.1125252,1781194362529,2084891218208533
2084892282,gps,55.60353333333334,37.54525,1,2.6,1,263.7,1,270.94,1,4.0127745,1781194363569,2084892223941456
2084893280,gps,55.60354333333333,37.54520166666667,1,2.8,1,262.4,1,276.17,1,3.524303,1781194364569,2084893217787379
2084894279,gps,55.603546666666674,37.54517333333333,1,2.8,1,260.9,1,271.98,1,2.9014893,1781194365569,2084894220216841
2084895278,gps,55.603546666666674,37.545190000000005,1,2.8,1,259.8,1,254.81,1,0.34126082,1781194366569,2084895225729841
2084896282,gps,55.60354833333334,37.54519833333333,1,2.1,1,256.1,1,269.42,1,0.32273084,1781194367569,2084896220349149
2084897282,gps,55.60354833333334,37.54519166666667,1,1.9,1,254.9,1,254.08,1,0.2547875,1781194368569,2084897216583610
2084898275,gps,55.60355,37.54518666666667,1,1.8,1,254.6,1,110.59,1,0.07463472,1781194369569,2084898224448533
2084899282,gps,55.60355333333334,37.545190000000005,1,1.7,1,254.4,1,86.99,1,0.37420306,1781194370569,2084899218719610
2084900710,gps,55.60355166666667,37.545195,1,1.6,1,254.7,1,116.74,1,0.28464139,1781194372000,2084900650558149
2084901707,gps,55.60354833333334,37.54519666666667,1,1.6,1,254.7,1,126.44,1,0.32736334,1781194373000,2084901650832303
2084902711,gps,55.60355,37.54519833333333,1,1.5,1,254.1,1,142.78,1,0.25942,1781194374000,2084902653739072
2084903713,gps,55.60355333333334,37.54521,1,1.5,1,253.9,1,106.24,1,0.2877297,1781194375000,2084903652004534
2084904708,gps,55.60355500000001,37.545226666666665,1,1.4,1,253.8,1,109.88,1,0.87966025,1781194376000,2084904651466765
