qmc6308,qst,2026-06-11_19-12-34.865_Active 10 Pro
imuTimestamp,accuracy(more=better),mfield_x[uT],mfield_y[uT],mfield_z[uT]
2084886498,0,-30.993752,-5.55,8.19375
2084886518,0,-32.30625,-3.8812501,8.26875
2084886538,0,-32.381252,-3.6937501,8.94375
2084886558,0,-28.706251,-3.3000002,10.106251
2084886578,0,-29.343752,-3.3937502,9.375
2084886598,0,-27.6375,-3.3937502,9.150001
2084886624,0,-30.431252,-3.8625002,9.84375
2084886644,0,-30.88125,-3.9562502,9.8625
2084886664,0,-31.368752,-3.6937501,9.8625
2084886684,0,-32.175003,-4.18125,9.84375
2084886704,0,-30.69375,-3.9750001,10.33125
2084886724,0,-31.575,-4.0875,10.44375
2084886744,0,-33.65625,-4.5750003,9.8625
2084886764,0,-32.90625,-4.6687503,9.637501
2084886784,0,-32.23125,-4.9875,9.056251
2084886804,0,-30.6,-4.9875,8.64375
2084886824,0,-30.54375,-5.0062504,8.606251
2084886844,0,-30.468752,-5.025,8.493751
2084886864,0,-30.281252,-5.1000004,8.34375
2084886884,0,-30.0375,-5.1937504,8.137501
2084886904,0,-29.79375,-5.30625,7.89375
2084886924,0,-29.5125,-5.4187503,7.6687503
2084886944,0,-29.400002,-5.5687504,7.425
2084886964,0,-29.268751,-5.7375,7.1250005
2084886984,0,-29.118752,-5.925,6.7875004
2084887004,0,-28.893751,-6.1125,6.4125004
2084887024,0,-28.63125,-6.3,5.9812503
2084887044,0,-28.29375,-6.525,5.4750004
2084887064,0,-27.91875,-6.7500005,4.9125004
2084887084,0,-27.45,-6.99375,4.2562504
2084887104,0,-26.8875,-7.2562504,3.525
2084887124,0,-26.2875,-7.5375004,2.775
2084887144,0,-25.66875,-7.8187504,2.0062501
2084887164,0,-25.050001,-8.08125,1.21875
2084887184,0,-24.468752,-8.34375,0.45000002
2084887204,0,-23.75625,-8.587501,-0.39375
2084887224,0,-22.96875,-8.85,-1.3125
2084887244,0,-21.91875,-9.075001,-2.30625
2084887264,0,-20.75625,-9.356251,-3.2625
2084887284,0,-19.5375,-9.618751,-4.21875
2084887304,0,-18.300001,-9.918751,-5.1937504
2084887324,0,-16.95,-10.293751,-6.1875005
2084887344,0,-15.543751,-10.70625,-7.14375
2084887364,0,-14.025001,-11.19375,-8.1
2084887384,0,-12.4125,-11.7375,-9.0
2084887404,0,-10.70625,-12.356251,-9.88125
2084887424,0,-8.981251,-13.05,-10.8
2084887444,0,-7.2187505,-13.81875,-11.587501
2084887464,0,-5.4187503,-14.681251,-12.3
2084887484,0,-3.5625002,-15.6,-12.975
2084887504,0,-1.7437501,-16.556252,-13.556251
2084887524,0,0.09375,-17.56875,-14.08125
2084887544,0,1.85625,-18.6,-14.475
2084887564,0,3.5625002,-19.63125,-14.868751
2084887584,0,5.175,-20.681252,-15.187501
2084887604,0,6.6000004,-21.75,-15.4125
2084887624,0,7.7812505,-22.81875,-15.58125
2084887644,0,8.8125,-23.831251,-15.675
2084887664,0,9.50625,-24.806252,-15.69375
2084887684,0,9.993751,-25.706251,-15.656251
2084887704,0,10.14375,-26.5125,-15.543751
2084887724,0,10.106251,-27.225,-15.3
2084887744,0,9.84375,-27.843752,-15.056251
2084887764,0,9.431251,-28.368752,-14.775001
2084887784,0,8.85,-28.837502,-14.437501
2084887804,0,8.118751,-29.306252,-14.1
2084887824,0,7.2000003,-29.718752,-13.725
2084887844,0,6.2625003,-30.112501,-13.368751
2084887864,0,5.2875004,-30.468752,-13.012501
2084887884,0,4.425,-30.7875,-12.69375
2084887904,0,3.5812502,-31.031252,-12.39375
2084887924,0,2.8312502,-31.218752,-12.1125
2084887944,0,2.025,-31.331251,-11.868751
2084887964,0,1.35,-31.368752,-11.64375
2084887984,0,0.61875004,-31.35,-11.400001
2084888004,0,-0.01875,-31.331251,-11.175
2084888024,0,-0.58125,-31.331251,-10.950001
2084888044,0,-1.0125,-31.331251,-10.6875
2084888064,0,-1.3875,-31.368752,-10.387501
2084888084,0,-1.7062501,-31.44375,-10.05
2084888104,0,-2.0062501,-31.5375,-9.675
2084888124,0,-2.2125,-31.706251,-9.31875
2084888144,0,-2.4375,-31.9125,-8.887501
2084888164,0,-2.68125,-32.175003,-8.400001
2084888184,0,-3.0,-32.5125,-7.8375
2084888204,0,-3.3187501,-32.943752,-7.18125
2084888224,0,-3.6937501,-33.487503,-6.3750005
2084888244,0,-3.9750001,-34.162502,-5.4187503
2084888264,0,-4.2562504,-34.987503,-4.33125
2084888284,0,-4.425,-35.943752,-3.1312501
2084888304,0,-4.51875,-36.99375,-1.7437501
2084888324,0,-4.59375,-38.11875,-0.20625001
2084888344,0,-4.8187504,-39.318752,1.44375
2084888364,0,-5.0062504,-40.55625,3.15
2084888384,0,-5.1937504,-41.756252,5.0062504
2084888404,0,-5.3625,-42.9375,6.9
2084888424,0,-5.5687504,-44.0625,8.887501
2084888444,0,-5.7562504,-45.131252,10.875
2084888464,0,-6.0,-46.162502,12.7875
2084888484,0,-6.1312504,-47.081253,14.64375
2084888504,0,-6.2250004,-47.943752,16.3875
2084888524,0,-6.2250004,-48.7125,18.0
2084888544,0,-6.2250004,-49.36875,19.3875
2084888564,0,-6.1875005,-49.912502,20.60625
2084888584,0,-6.20625,-50.343754,21.69375
2084888604,0,-6.3,-50.662502,22.556252
2084888624,0,-6.4500003,-50.86875,23.23125
2084888644,0,-6.5062504,-50.943752,23.71875
2084888664,0,-6.6375003,-50.943752,24.075
2084888684,0,-6.80625,-50.86875,24.206251
2084888704,0,-7.0312505,-50.7,24.281252
2084888724,0,-7.2562504,-50.531254,24.206251
2084888744,0,-7.51875,-50.287502,24.0375
2084888764,0,-7.74375,-49.987503,23.8125
2084888784,0,-8.137501,-49.65,23.53125
2084888804,0,-8.512501,-49.256252,23.25
2084888824,0,-8.981251,-48.843754,22.95
2084888844,0,-9.375,-48.45,22.706251
2084888864,0,-9.7875,-48.093754,22.518751
2084888884,0,-10.14375,-47.737503,22.368752
2084888904,0,-10.5,-47.41875,22.368752
2084888924,0,-10.8,-47.11875,22.425001
2084888944,0,-11.08125,-46.875,22.5375
2084888964,0,-11.306251,-46.66875,22.725
2084888984,0,-11.56875,-46.537502,22.96875
2084889004,0,-11.71875,-46.4625,23.23125
2084889024,0,-11.868751,-46.40625,23.550001
2084889044,0,-11.94375,-46.40625,23.925001
2084889064,0,-12.0,-46.443752,24.337502
2084889084,0,-11.94375,-46.55625,24.73125
2084889104,0,-11.868751,-46.706253,25.06875
2084889124,0,-11.6625,-46.893753,25.312502
2084889144,0,-11.45625,-47.04375,25.518751
2084889164,0,-11.19375,-47.193752,25.63125
2084889184,0,-10.931251,-47.325,25.63125
2084889204,0,-10.575001,-47.41875,25.518751
2084889224,0,-10.21875,-47.5125,25.331251
2084889244,0,-9.7875,-47.60625,25.06875
2084889264,0,-9.337501,-47.7,24.750002
2084889284,0,-8.7375,-47.79375,24.375002
2084889304,0,-8.212501,-47.86875,23.94375
2084889324,0,-7.5937505,-47.9625,23.493752
2084889344,0,-7.05,-48.037502,22.987501
2084889364,0,-6.525,-48.112503,22.462502
2084889384,0,-6.1125,-48.131252,22.0125
2084889404,0,-5.7000003,-48.131252,21.581251
2084889424,0,-5.4375,-48.112503,21.206251
2084889444,0,-5.1937504,-48.075,20.85
2084889464,0,-5.0062504,-48.037502,20.56875
2084889484,0,-4.74375,-47.9625,20.23125
2084889504,0,-4.5,-47.8875,19.85625
2084889524,0,-4.125,-47.79375,19.44375
2084889544,0,-3.7125,-47.68125,19.050001
2084889564,0,-3.24375,-47.5125,18.75
2084889584,0,-2.775,-47.34375,18.431252
2084889604,0,-2.1937501,-47.193752,18.056252
2084889624,0,-1.575,-47.081253,17.737501
2084889644,0,-0.80625004,-47.025,17.456251
2084889664,0,0.0375,-47.100002,17.175001
2084889684,0,1.0500001,-47.25,16.81875
2084889704,0,2.0812502,-47.475002,16.462502
2084889724,0,3.1875002,-47.71875,16.0125
2084889744,0,4.2937503,-47.90625,15.450001
2084889764,0,5.4187503,-47.9625,14.812501
2084889784,0,6.20625,-47.850002,14.343751
2084889804,0,6.8625,-47.643753,14.156251
2084889824,0,7.2000003,-47.475002,14.306251
2084889844,0,7.3500004,-47.4375,14.625001
2084889864,0,7.425,-47.60625,14.981251
2084889884,0,7.55625,-47.8875,15.431251
2084889904,0,7.65,-48.24375,15.993751
2084889924,0,7.6687503,-48.6375,16.556252
2084889944,0,7.5937505,-48.99375,17.081251
2084889964,0,7.5000005,-49.312504,17.625
2084889984,0,7.2000003,-49.593754,18.2625
2084890004,0,6.8625,-49.8375,18.993752
2084890024,0,6.4687505,-50.100002,19.875
2084890044,0,6.0937505,-50.475002,20.98125
2084890064,0,5.6625004,-51.018753,22.25625
2084890084,0,5.4750004,-51.768753,23.475
2084890104,0,5.34375,-52.687504,24.562502
2084890124,0,5.45625,-53.568752,25.406252
2084890144,0,5.55,-54.35625,26.1
2084890164,0,5.7000003,-54.975002,26.718752
2084890184,0,5.68125,-55.443752,27.300001
2084890204,0,5.6062503,-55.7625,27.825
2084890224,0,5.4187503,-56.025,28.3875
2084890244,0,5.2125,-56.250004,28.968752
2084890264,0,4.9125004,-56.4,29.587502
2084890284,0,4.7625003,-56.49375,30.206251
2084890304,0,4.55625,-56.568752,30.900002
2084890324,0,4.40625,-56.5875,31.612501
2084890344,0,4.14375,-56.5875,32.34375
2084890364,0,3.99375,-56.550003,33.037502
2084890384,0,3.7687502,-56.475002,33.7125
2084890404,0,3.5625002,-56.381252,34.3125
2084890424,0,3.2812502,-56.268753,34.875
2084890444,0,3.15,-56.11875,35.41875
2084890464,0,2.9437501,-55.987503,35.90625
2084890484,0,2.8125,-55.85625,36.225002
2084890504,0,2.6437502,-55.74375,36.506252
2084890524,0,2.53125,-55.631252,36.73125
2084890544,0,2.34375,-55.537502,36.91875
2084890564,0,2.1937501,-55.443752,37.125
2084890584,0,1.9312501,-55.3875,37.331253
2084890604,0,1.81875,-55.312504,37.40625
2084890624,0,1.66875,-55.275,37.443752
2084890644,0,1.575,-55.237503,37.3875
2084890664,0,1.48125,-55.218754,37.350002
2084890684,0,1.40625,-55.218754,37.3125
2084890704,0,1.35,-55.218754,37.21875
2084890724,0,1.3687501,-55.256252,37.068752
2084890744,0,1.29375,-55.256252,36.9
2084890764,0,1.29375,-55.275,36.73125
2084890784,0,1.21875,-55.331253,36.693752
2084890804,0,1.2,-55.350002,36.675003
2084890824,0,1.125,-55.3875,36.7125
2084890844,0,1.1437501,-55.425003,36.73125
2084890864,0,1.125,-55.443752,36.75
2084890884,0,1.1437501,-55.48125,36.693752
2084890904,0,1.0125,-55.575,36.5625
2084890924,0,0.88125,-55.687504,36.318752
2084890944,0,0.675,-55.85625,35.9625
2084890964,0,0.45000002,-56.025,35.60625
2084890984,0,0.13125001,-56.175003,35.23125
2084891004,0,-0.20625001,-56.287502,35.04375
2084891024,0,-0.58125,-56.381252,34.93125
2084891044,0,-0.91875005,-56.456253,34.875
2084891064,0,-1.29375,-56.49375,34.893753
2084891084,0,-1.66875,-56.531254,34.93125
2084891104,0,-2.1000001,-56.531254,35.025
2084891124,0,-2.41875,-56.5125,35.081253
2084891144,0,-2.7375002,-56.475002,35.193752
2084891164,0,-3.075,-56.4,35.325
2084891184,0,-3.3937502,-56.343754,35.53125
2084891204,0,-3.61875,-56.23125,35.79375
2084891224,0,-3.8625002,-56.081253,36.206253
2084891244,0,-3.9375002,-55.875004,36.6375
2084891264,0,-4.0875,-55.66875,37.10625
2084891284,0,-4.1062503,-55.48125,37.48125
2084891304,0,-4.1625004,-55.29375,37.78125
2084891324,0,-4.3125,-55.125004,38.025
2084891344,0,-4.4812503,-54.975002,38.175003
2084891364,0,-4.6687503,-54.843754,38.193752
2084891384,0,-4.9125004,-54.7125,38.100002
2084891404,0,-5.0625,-54.600002,37.95
2084891424,0,-5.30625,-54.525,37.78125
2084891444,0,-5.49375,-54.468754,37.518753
2084891464,0,-5.7562504,-54.43125,37.143753
2084891484,0,-5.925,-54.45,36.675003
2084891504,0,-6.1312504,-54.506252,36.15
2084891524,0,-6.24375,-54.600002,35.568752
2084891544,0,-6.39375,-54.73125,35.006252
2084891564,0,-6.3750005,-54.9,34.425003
2084891584,0,-6.3375,-55.10625,33.825
2084891604,0,-6.1687503,-55.36875,33.131252
2084891624,0,-5.86875,-55.631252,32.4375
2084891644,0,-5.4375,-55.912502,31.781252
2084891664,0,-5.0062504,-56.193752,31.143751
2084891684,0,-4.425,-56.49375,30.618752
2084891704,0,-3.91875,-56.79375,30.093752
2084891724,0,-3.3375,-57.093754,29.493752
2084891744,0,-2.775,-57.375004,28.95
2084891764,0,-2.0812502,-57.656254,28.406252
2084891784,0,-1.5,-57.881252,27.956251
2084891804,0,-0.82500005,-58.143753,27.562502
2084891824,0,-0.3,-58.406254,27.375002
2084891844,0,0.20625001,-58.631252,27.243752
2084891864,0,0.5625,-58.85625,27.225
2084891884,0,0.93750006,-59.062504,27.281252
2084891904,0,1.21875,-59.287502,27.45
2084891924,0,1.5375,-59.5125,27.618752
2084891944,0,1.7625,-59.775,27.825
2084891964,0,2.0625,-60.075,27.975
2084891984,0,2.2875001,-60.393753,28.087502
2084892004,0,2.53125,-60.7125,28.237501
2084892024,0,2.71875,-61.050003,28.518751
2084892044,0,2.9437501,-61.331253,28.875002
2084892064,0,3.1125002,-61.612503,29.343752
2084892084,0,3.3937502,-61.818752,29.868752
2084892104,0,3.54375,-61.968754,30.431252
2084892124,0,3.80625,-62.100002,30.91875
2084892144,0,3.9750001,-62.2125,31.425001
2084892164,0,4.2000003,-62.325,31.81875
2084892184,0,4.2937503,-62.41875,32.175003
2084892204,0,4.4625,-62.475002,32.4375
2084892224,0,4.4437504,-62.531254,32.737503
2084892244,0,4.5,-62.531254,33.0
2084892264,0,4.51875,-62.5125,33.375
2084892284,0,4.65,-62.531254,33.73125
2084892304,0,4.7625003,-62.60625,34.0875
2084892324,0,4.9875,-62.812504,34.36875
2084892344,0,5.26875,-63.16875,34.537502
2084892364,0,5.7000003,-63.656254,34.55625
2084892384,0,6.1125,-64.14375,34.425003
2084892404,0,6.6000004,-64.443756,34.068752
2084892424,0,6.8812504,-64.51875,33.787502
2084892444,0,7.1250005,-64.5,33.65625
2084892464,0,7.2187505,-64.537506,33.768753
2084892484,0,7.3500004,-64.631256,33.99375
2084892504,0,7.425,-64.725006,34.3125
2084892524,0,7.6125,-64.78125,34.59375
2084892544,0,7.7812505,-64.818756,34.875
2084892564,0,7.9875,-64.8375,35.081253
2084892584,0,8.0625,-64.8,35.268753
2084892604,0,8.175,-64.6875,35.4375
2084892624,0,8.231251,-64.481255,35.5875
2084892644,0,8.231251,-64.14375,35.775
2084892664,0,8.1,-63.73125,36.018753
2084892684,0,8.025001,-63.35625,36.300003
2084892704,0,7.9125004,-63.187504,36.693752
2084892724,0,7.9687505,-63.2625,36.975002
2084892744,0,8.137501,-63.43125,37.0125
2084892764,0,8.53125,-63.506252,36.80625
2084892784,0,9.0,-63.54375,36.45
2084892804,0,9.58125,-63.600002,36.0
2084892824,0,10.200001,-63.7125,35.5125
2084892844,0,10.9875,-63.862503,34.96875
2084892864,0,11.775001,-64.03125,34.40625
2084892884,0,12.731251,-64.200005,33.862503
2084892904,0,13.781251,-64.350006,33.28125
2084892924,0,14.887501,-64.51875,32.756252
2084892944,0,16.087502,-64.65,32.268753
2084892964,0,17.38125,-64.762505,31.837502
2084892984,0,18.69375,-64.856255,31.500002
2084893004,0,20.175001,-64.912506,31.25625
2084893024,0,21.75,-64.93125,31.0125
2084893044,0,23.4375,-64.912506,30.825
2084893064,0,25.050001,-64.875,30.750002
2084893084,0,26.718752,-64.818756,30.750002
2084893104,0,28.368752,-64.70625,30.862501
2084893124,0,30.000002,-64.55625,31.10625
2084893144,0,31.500002,-64.350006,31.500002
2084893164,0,33.05625,-64.0875,31.987501
2084893184,0,34.4625,-63.787502,32.550003
2084893204,0,35.831253,-63.45,33.2625
2084893224,0,37.0875,-63.037502,34.10625
2084893244,0,38.268753,-62.60625,35.15625
2084893264,0,39.3375,-62.100002,36.35625
2084893284,0,40.3125,-61.518753,37.74375
2084893304,0,41.11875,-60.862503,39.35625
2084893324,0,41.756252,-60.15,41.1375
2084893344,0,42.225002,-59.4,43.068752
2084893364,0,42.600002,-58.631252,45.018753
2084893384,0,42.80625,-57.9,47.006252
2084893404,0,42.956253,-57.131252,48.91875
2084893424,0,42.99375,-56.381252,50.831253
2084893444,0,43.03125,-55.575,52.7625
2084893464,0,42.975002,-54.73125,54.768753
2084893484,0,42.9375,-53.812504,56.79375
2084893504,0,42.7125,-52.800003,58.8375
2084893524,0,42.487503,-51.787502,60.787502
2084893544,0,42.09375,-50.775,62.60625
2084893564,0,41.568752,-49.818752,64.256256
2084893584,0,40.875,-49.0125,65.700005
2084893604,0,40.21875,-48.318752,66.881256
2084893624,0,39.506252,-47.775,67.875
2084893644,0,38.8125,-47.325,68.662506
2084893664,0,38.15625,-46.96875,69.39375
2084893684,0,37.59375,-46.631252,70.05
2084893704,0,36.99375,-46.29375,70.65
2084893724,0,36.487503,-45.956253,71.175
2084893744,0,35.8875,-45.675003,71.64375
2084893764,0,35.268753,-45.45,72.037506
2084893784,0,34.59375,-45.318752,72.375
2084893804,0,34.068752,-45.2625,72.61875
2084893824,0,33.581253,-45.2625,72.76875
2084893844,0,33.24375,-45.318752,72.787506
2084893864,0,33.037502,-45.506252,72.7125
2084893884,0,32.98125,-45.84375,72.43125
2084893904,0,32.86875,-46.29375,72.0
2084893924,0,32.925003,-46.818752,71.418755
2084893944,0,33.037502,-47.4,70.74375
2084893964,0,33.225002,-48.0,69.975006
2084893984,0,33.43125,-48.61875,69.131256
2084894004,0,33.75,-49.237503,68.30625
2084894024,0,34.03125,-49.893753,67.443756
2084894044,0,34.425003,-50.568752,66.506256
2084894064,0,34.800003,-51.281254,65.49375
2084894084,0,35.15625,-52.050003,64.387505
2084894104,0,35.30625,-52.912502,63.2625
2084894124,0,35.25,-53.850002,62.11875
2084894144,0,34.8375,-54.787502,60.975002
2084894164,0,34.21875,-55.66875,59.86875
2084894184,0,33.375,-56.4,58.912502
2084894204,0,32.41875,-56.98125,58.0875
2084894224,0,31.29375,-57.412502,57.412502
2084894244,0,30.075,-57.693752,56.86875
2084894264,0,28.743752,-57.9,56.475002
2084894284,0,27.431252,-58.068752,56.100002
2084894304,0,26.00625,-58.218754,55.781254
2084894324,0,24.54375,-58.406254,55.500004
2084894344,0,23.025002,-58.631252,55.275
2084894364,0,21.581251,-58.8375,55.068752
2084894384,0,20.19375,-59.025,54.862503
2084894404,0,18.993752,-59.175003,54.693752
2084894424,0,17.962502,-59.268753,54.54375
2084894444,0,17.268751,-59.325,54.468754
2084894464,0,16.800001,-59.343754,54.412502
2084894484,0,16.59375,-59.325,54.375004
2084894504,0,16.5375,-59.30625,54.35625
2084894524,0,16.612501,-59.30625,54.318752
2084894544,0,16.725,-59.362503,54.225002
2084894564,0,16.931252,-59.456253,54.112503
2084894584,0,17.0625,-59.550003,53.9625
2084894604,0,17.212502,-59.662502,53.79375
2084894624,0,17.34375,-59.756252,53.60625
2084894644,0,17.53125,-59.831253,53.381252
2084894664,0,17.625,-59.86875,53.175003
2084894684,0,17.75625,-59.925003,52.968754
2084894704,0,17.775002,-59.943752,52.781254
2084894724,0,17.8125,-59.9625,52.593754
2084894744,0,17.775002,-59.9625,52.312504
2084894764,0,17.737501,-59.9625,52.0125
2084894784,0,17.6625,-59.9625,51.750004
2084894804,0,17.53125,-59.98125,51.487503
2084894824,0,17.362501,-60.018753,51.281254
2084894844,0,17.23125,-60.037502,51.075
2084894864,0,17.0625,-60.093754,50.850002
2084894884,0,16.9125,-60.16875,50.68125
2084894904,0,16.7625,-60.225002,50.550003
