orientation,mtk,2026-06-11_19-12-34.865_Active 10 Pro
imuTimestamp,accuracy(more=better),azimuth[deg],pitch[deg],roll[deg]
2084886717,0,219.85518,-17.060783,43.94784
2084886727,0,205.11136,-17.273611,45.107113
2084886737,0,190.29219,-16.797909,45.917915
2084886747,0,175.26088,-15.835468,45.79756
2084886757,0,160.1226,-15.323213,45.06888
2084886767,0,144.96707,-15.327902,43.991047
2084886777,0,129.72404,-15.837703,43.32245
2084886787,0,114.65771,-16.593052,42.956535
2084886798,0,114.36199,-17.319614,43.032356
2084886808,0,114.12166,-17.848755,43.095795
2084886818,0,113.96537,-17.848785,43.076336
2084886828,0,114.02087,-17.844631,43.025436
2084886838,0,114.17456,-17.848568,42.933174
2084886848,0,114.332466,-17.875015,42.79807
2084886858,0,114.57074,-17.926497,42.63553
2084886868,0,114.6851,-18.006544,42.46081
2084886878,0,114.68512,-18.09869,42.27129
2084886888,0,114.62166,-18.193954,42.05832
2084886898,0,114.54527,-18.287245,41.82272
2084886908,0,114.46166,-18.395952,41.578503
2084886918,0,114.382996,-18.530203,41.341763
2084886928,0,114.31345,-18.691715,41.125713
2084886939,0,114.24524,-18.867886,40.924065
2084886949,0,114.17573,-19.052767,40.721367
2084886959,0,114.10375,-19.235334,40.50002
2084886969,0,114.02688,-19.412935,40.256435
2084886979,0,113.94403,-19.594118,39.986862
2084886989,0,113.854774,-19.779705,39.691124
2084886999,0,113.75096,-19.945501,39.373543
2084887009,0,113.63254,-20.086134,39.050285
2084887019,0,113.49938,-20.189268,38.700794
2084887029,0,113.346115,-20.247696,38.304485
2084887039,0,113.17321,-20.274998,37.85515
2084887049,0,112.98541,-20.294537,37.35815
2084887059,0,112.78562,-20.321033,36.823235
2084887070,0,112.57154,-20.382168,36.270218
2084887080,0,112.34576,-20.464155,35.697155
2084887090,0,112.10578,-20.535345,35.078136
2084887100,0,111.85676,-20.590197,34.40523
2084887110,0,111.60526,-20.589123,33.68374
2084887120,0,111.352486,-20.551704,32.930412
2084887130,0,111.10281,-20.499924,32.16154
2084887140,0,110.86137,-20.445883,31.395073
2084887150,0,110.63538,-20.372107,30.644306
2084887160,0,110.42151,-20.280458,29.895355
2084887170,0,110.22433,-20.144115,29.120926
2084887180,0,110.04264,-19.97523,28.327553
2084887190,0,109.8768,-19.785355,27.51759
2084887201,0,109.72982,-19.586992,26.689001
2084887211,0,109.603455,-19.373314,25.828375
2084887221,0,109.49469,-19.143291,24.924625
2084887231,0,109.39927,-18.906174,23.841335
2084887241,0,109.32818,-18.660606,22.777699
2084887251,0,109.289925,-18.417389,21.638138
2084887261,0,109.29241,-18.18786,20.579058
2084887271,0,109.34454,-17.9844,19.592579
2084887281,0,109.44828,-17.837217,18.611103
2084887291,0,109.599106,-17.772964,17.59225
2084887301,0,109.80312,-17.75868,16.584053
2084887311,0,110.066086,-17.785143,15.607689
2084887321,0,110.39329,-17.84723,14.677339
2084887331,0,110.78624,-17.954803,13.779775
2084887342,0,111.24396,-18.116331,12.8548
2084887352,0,111.77236,-18.339594,11.806514
2084887362,0,112.39191,-18.600428,10.622078
2084887372,0,113.13224,-18.821745,9.423862
2084887382,0,114.024765,-18.908266,8.243746
2084887392,0,115.11687,-18.852856,7.082673
2084887402,0,116.44765,-18.728231,5.973659
2084887412,0,118.04864,-18.619692,4.929887
2084887422,0,119.95459,-18.596903,3.942635
2084887432,0,122.2012,-18.691963,2.965458
2084887442,0,124.831795,-18.871706,1.970008
2084887452,0,127.89561,-19.08459,0.997129
2084887462,0,131.44019,-19.316757,0.023529
2084887473,0,135.48807,-19.64193,-0.964369
2084887483,0,140.07231,-20.267002,-2.022445
2084887493,0,145.24057,-21.058344,-3.080957
2084887503,0,150.97545,-21.82185,-4.078674
2084887513,0,157.25299,-22.466896,-5.087131
2084887523,0,163.9779,-22.977108,-6.053565
2084887533,0,170.96246,-23.453606,-6.915315
2084887543,0,178.02315,-23.99835,-7.753666
2084887553,0,184.98795,-24.607956,-8.501236
2084887563,0,191.70224,-25.18413,-9.26194
2084887573,0,197.99246,-25.714172,-10.008767
2084887583,0,203.76381,-26.246752,-10.804883
2084887593,0,208.93108,-26.800903,-11.606766
2084887603,0,213.44626,-27.344393,-12.325797
2084887614,0,217.36896,-27.894367,-13.017065
2084887624,0,220.75266,-28.444792,-13.683121
2084887634,0,223.64062,-28.919283,-14.272843
2084887644,0,226.08447,-29.390562,-14.816853
2084887654,0,228.13052,-29.876337,-15.253145
2084887664,0,229.82439,-30.399399,-15.6245
2084887674,0,231.2099,-30.960283,-16.006407
2084887684,0,232.37195,-31.64797,-16.385593
2084887694,0,233.36247,-32.468845,-16.688295
2084887704,0,234.20729,-33.314938,-16.903606
2084887714,0,234.94653,-34.188618,-17.09625
2084887724,0,235.5674,-34.958652,-17.187695
2084887734,0,236.08122,-35.690304,-17.154491
2084887745,0,236.49771,-36.42956,-16.963163
2084887755,0,236.83434,-37.285316,-16.642195
2084887765,0,237.08438,-38.177338,-16.374022
2084887775,0,237.21353,-38.956993,-16.03939
2084887785,0,237.17036,-39.425396,-15.566514
2084887795,0,236.9295,-39.79944,-15.006919
2084887805,0,236.48723,-40.191856,-14.186977
2084887815,0,235.84312,-40.73034,-13.200638
2084887825,0,234.95947,-41.275124,-12.063806
2084887835,0,233.8125,-41.89001,-10.895391
2084887845,0,232.42685,-42.56054,-9.968478
2084887855,0,230.8245,-43.009426,-9.333202
2084887865,0,228.8573,-43.472443,-8.824056
2084887876,0,226.99646,-43.928665,-8.332247
2084887886,0,225.028,-44.258125,-7.806828
2084887896,0,222.95052,-44.461136,-7.264744
2084887906,0,220.60706,-44.658478,-6.780755
2084887916,0,218.23355,-44.83971,-6.304085
2084887926,0,215.80202,-45.05718,-5.831968
2084887936,0,213.31366,-45.360687,-5.376472
2084887946,0,211.17876,-45.6932,-4.877313
2084887956,0,208.53491,-45.99141,-4.326306
2084887966,0,205.75876,-46.197563,-3.586784
2084887976,0,202.7938,-46.346786,-2.685755
2084887986,0,199.85606,-46.55797,-1.849011
2084887996,0,196.94447,-46.719555,-1.081556
2084888006,0,193.73355,-47.019352,-0.39664
2084888017,0,190.41751,-47.34146,0.265209
2084888027,0,186.83734,-47.716095,0.871505
2084888037,0,183.47246,-48.01661,1.411045
2084888047,0,180.3445,-48.211395,1.859043
2084888057,0,177.38374,-48.440712,2.220711
2084888067,0,174.63995,-48.611797,2.719933
2084888077,0,171.9369,-48.885376,3.148625
2084888087,0,169.65445,-49.18505,3.442209
2084888097,0,167.6689,-49.45354,3.56593
2084888107,0,166.08473,-49.721737,3.313723
2084888117,0,164.89581,-49.950264,2.973287
