spl07,goermicro,2026-06-11_19-12-34.865_Active 10 Pro
imuTimestamp,accuracy(more=better),pressure[millibar]
2084886679,3,987.06
2084886779,3,987.06
2084886879,3,987.06
2084886979,3,987.06995
2084887079,3,987.11
2084887179,3,987.18
2084887279,3,987.17
2084887379,3,987.02997
2084887479,3,986.92
2084887579,3,986.97
2084887679,3,987.20996
2084887779,3,987.19
2084887879,3,987.01996
2084887979,3,986.94995
2084888079,3,986.94995
2084888179,3,986.94995
2084888279,3,986.94995
2084888379,3,986.95996
2084888479,3,986.94995
2084888579,3,986.95996
2084888679,3,986.94
2084888779,3,986.93
2084888879,3,986.98
2084888979,3,987.00995
2084889079,3,987.13
2084889179,3,987.04
2084889279,3,987.16
2084889379,3,987.29
2084889479,3,987.31
2084889579,3,987.02997
2084889679,3,987.06
2084889779,3,987.13
2084889879,3,987.13
2084889979,3,986.99
2084890079,3,987.00995
2084890179,3,987.04
2084890279,3,987.07996
2084890379,3,987.02997
2084890479,3,987.06
2084890579,3,987.08997
2084890679,3,987.1
2084890779,3,987.12
2084890879,3,987.12
2084890979,3,987.24
2084891079,3,987.14996
2084891179,3,987.13995
2084891279,3,987.14996
2084891379,3,987.18
2084891479,3,987.19
2084891579,3,987.19995
2084891679,3,987.19
2084891779,3,987.38995
2084891879,3,987.19
2084891979,3,987.12
2084892079,3,987.14996
2084892179,3,987.18
2084892279,3,987.1
2084892379,3,986.89996
2084892479,3,987.33997
2084892579,3,987.11
2084892679,3,987.1
2084892779,3,987.1
2084892879,3,987.14996
2084892979,3,987.07996
2084893079,3,987.04
2084893179,3,987.05
2084893279,3,986.85
2084893379,3,986.95996
2084893479,3,986.88995
2084893579,3,987.04
2084893679,3,987.00995
2084893779,3,987.18
2084893879,3,987.37
2084893979,3,987.01996
2084894079,3,987.22
2084894179,3,987.31995
2084894279,3,987.25995
2084894379,3,987.02997
2084894479,3,987.13995
2084894579,3,987.19995
2084894679,3,987.16
2084894779,3,987.18
2084894879,3,986.94995
2084894979,3,987.19995
2084895079,3,987.33997
2084895179,3,986.94995
2084895279,3,986.97
2084895379,3,987.02997
2084895479,3,987.02997
2084895579,3,987.31995
2084895679,3,987.02997
2084895779,3,987.04
2084895879,3,987.07996
2084895979,3,987.08997
2084896079,3,987.07996
2084896179,3,987.08997
2084896279,3,987.07996
2084896379,3,987.08997
2084896479,3,987.07996
2084896579,3,987.07996
2084896679,3,987.08997
2084896779,3,987.07996
2084896879,3,987.1
2084896979,3,987.1
2084897079,3,987.07996
2084897179,3,987.06
2084897279,3,987.04
2084897379,3,987.1
2084897479,3,987.11
2084897579,3,987.16
2084897679,3,987.11
2084897779,3,987.13995
2084897879,3,987.11
2084897979,3,987.13
2084898079,3,987.13
2084898179,3,987.17
