Index,Name,Type,Vendor,Version,MinDelay,Resolution,MaxRange,Power
1,icm4n607_acc,1,iven_sense,1,2500,0.0012,78.453606,0.001
3,qmc6308,2,qst,1,20000,0.15,4912.0503,0.001
18,orientation,3,mtk,1,5000,0.00390625,360.0,0.001
2,icm4n607_gyro,4,iven_sense,1,2500,0.0011,34.9063,0.001
7,stk3a5x_als,5,sensortek,1,0,1.0,65535.0,0.001
8,spl07,6,goermicro,1,100000,0.0016,1572.8607,0.001
9,stk3a5x_ps,8,sensortek,1,0,1.0,1.0,0.001
12,gravity,9,mtk,1,5000,0.0012,39.226803,0.001
13,linear_acc,10,mtk,1,5000,0.0012,39.226803,0.001
14,rot_vec,11,mtk,1,5000,5.9604645E-8,1.0,0.001
10,game_rotvec,15,mtk,1,5000,5.9604645E-8,1.0,0.001
15,significant,17,mtk,1,-1,1.0,1.0,0.001
17,step_detect,18,mtk,1,0,1.0,1.0,0.001
16,step_count,19,mtk,1,0,1.0,2.1474836E9,0.001
11,geo_rotvec,20,mtk,1,5000,5.9604645E-8,1.0,0.001
-1,wake,23,mtk,1,-1,1.0,1.0,0.001
-1,step_detect_wakeup,18,mtk,1,0,1.0,1.0,0.001
